"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,63;0,0937;"SPI1 (directAnnotation). ";17;"AKR1A1;AOAH;AVPI1;CD302;CD36;F13A1;FGD2;HNMT;HRH2;LRRC25;MARCH1;MPEG1;NCF4;P2RY13;PRAM1;RCAN1;SIGLEC12"
"2";5,48;0,0919;"SPI1 (directAnnotation). ";19;"AKR1A1;AOAH;AVPI1;CD302;CD36;F13A1;FGD2;HBEGF;HNMT;HRH2;KLF9;LRRC25;MAN2B1;MARCH1;MPEG1;NCF4;P2RY13;PRAM1;PRKAG2-AS1"
"3";5,22;0,0886;"ZNF135 (directAnnotation). ";8;"C1orf56;HBEGF;ITM2B;MARCH1;MEGF9;MIS18BP1;NCOA7;TIMP2"
"4";5,2;0,0883;"SPI1 (inferredBy_Orthology). ";25;"AKR1A1;AOAH;AVPI1;CD302;CD36;FGD2;HBEGF;HNMT;HRH2;IFNGR1;ITGA4;ITM2B;KCNK6;KLF9;LRRC25;MARCH1;MPEG1;NCF4;NCOA7;P2RY13;PRAM1;PRKAG2-AS1;RCAN1;SIGLEC12;TSPAN4"
"5";4,86;0,0838;"";12;"CD36;DRAM2;F13A1;FABP5;HNMT;HRH2;ITGA4;KLF9;MARCH1;MEGF9;NCOA7;NFIA"
"6";4,83;0,0835;"SPI1 (inferredBy_Orthology). ";24;"AKR1A1;AOAH;AVPI1;CD302;CD36;FGD2;FGL2;HBEGF;HNMT;HRH2;IFNGR1;ITGA4;KCNK6;KLF9;LRRC25;MPEG1;NCF4;NCOA7;P2RY13;PRAM1;PRKAG2-AS1;RCAN1;SIGLEC12;TSPAN4"
"7";4,76;0,0826;"";7;"CD36;ITM2B;KCNK6;KLF9;MAT2A;NFIA;RCAN1"
"8";4,73;0,0822;"";7;"CD36;ITM2B;KCNK6;KLF9;MAT2A;NFIA;RCAN1"
"9";4,68;0,0815;"SPI1 (inferredBy_Orthology). ";22;"AKR1A1;AOAH;AVPI1;CD302;CD36;FGD2;HBEGF;HNMT;HRH2;ITM2B;KCNK6;KLF9;LRRC25;MARCH1;MPEG1;NCF4;NCOA7;P2RY13;PRAM1;PRKAG2-AS1;SIGLEC12;TSPAN4"
"10";4,65;0,0812;"";7;"CD36;ITM2B;KCNK6;KLF9;MAT2A;NFIA;RCAN1"
"11";4,55;0,0799;"IRF4 (directAnnotation). ";26;"CD302;CD36;DNASE2;DRAM2;GRN;HBEGF;HNMT;HRH2;ITM2B;KCNK6;KLF9;LRRC75A;MARCH1;MEGF9;METTL7A;MPEG1;MS4A6A;NCF4;NCOA7;NFIA;P2RY13;PPT1;PRCP;RCAN1;SIGLEC10;SIGLEC12"
"12";4,52;0,0795;"SPI1 (directAnnotation). ";27;"AKR1A1;AVPI1;CD302;CD36;DNASE2;ECHDC3;FGD2;FGL2;GABARAPL1;GRN;HBEGF;HNMT;HRH2;IFNGR1;KCNK6;KLF9;METTL7A;MPEG1;NCF4;NCOA7;P2RY13;PRAM1;RCAN1;SIGLEC10;SIGLEC12;TBXAS1;TMEM170B"
"13";4,45;0,0786;"SPIB (directAnnotation). ";22;"CD36;FGD2;GRN;HNMT;HRH2;IFNGR1;ITGA4;ITM2B;LRRC25;LRRC75A;MAN2B1;MARCH1;MGST2;MPEG1;NCF4;NCOA7;NFIA;P2RY13;RCAN1;RNF141;SIGLEC10;SIGLEC12"
"14";4,34;0,0772;"ZNF445 (directAnnotation). ";10;"CD36;CHCHD10;DRAM2;FGL2;HPS3;ITM2B;MARCH1;MPEG1;NCOA7;YWHAH"
