"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";8,21;0,097;"ELK4 (directAnnotation). ";103;"ABRACL;ANAPC11;ANAPC16;AP2S1;ARPC1B;ARPC3;BANF1;BLOC1S1;BTF3;C17orf49;CCT7;CIB1;COMMD6;COX14;COX4I1;COX5B;COX7A2L;CUTA;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3K;EIF3M;ERH;FIS1;GDI2;GTF2A2;GTF3A;HINT1;LAMTOR1;LIMD2;LSM3;LSM4;LSM5;MDH1;MGMT;MGST3;MRPL3;MRPL40;MRPL57;MRPS21;MRPS34;NAA10;NDUFA13;NDUFB11;NDUFB3;NDUFB5;NDUFB7;NDUFS3;NDUFV1;NEDD8;NME1;NSA2;NUDT1;PARK7;PARL;PHB2;PKN1;POLR2G;PSMA5;PSMB1;PSMC5;PTRHD1;RACK1;RCSD1;RGS19;RNASEH2B;SDHB;SEC11A;SLIRP;SMIM19;SMIM20;SNRPD1;SNRPD2;SNRPE;SNU13;SNX17;SPINT2;SRSF9;SUPT4H1;TIMM10;TIMM8B;TMEM219;TMEM230;TOMM22;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UCP2;UFC1;UQCR11;UQCRH;UQCRQ;UXT;WDR83OS;YIF1B;ZNF593"
"2";8,02;0,095;"GABPA (inferredBy_Orthology). ";90;"ANAPC11;AP2S1;ARHGDIB;ARPC1B;ARPC3;BANF1;BTF3;C17orf49;C1QBP;CCDC85B;CCT7;CIB1;CNPY3;COMMD6;CORO1B;COX14;COX5B;CUTA;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LEPROTL1;LIMD2;LSM3;LSM4;LSM5;MGST3;MRPL3;MRPL40;MRPL57;MRPS21;MRPS34;NAA10;NACA;NDUFA13;NDUFB3;NDUFB5;NDUFB8;NDUFS3;NME1;NME2;NSA2;NT5C;NUDT1;PARK7;PARL;PHB2;PKN1;POLR2J;PSMB1;PTRHD1;RACK1;RCSD1;RNASEH2B;RNF7;SDHB;SEC11A;SLIRP;SMIM19;SMIM20;SNHG6;SNRPD1;SNRPE;SNU13;SNX17;SUPT4H1;TIMM10;TMEM230;TOMM22;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UFC1;UQCR11;UQCRH;UQCRQ;WDR83OS;ZNF593"
"3";8,01;0,0949;"GABPA (directAnnotation). ";74;"ABI3;ANAPC11;ARHGDIB;ARPC1B;ARPC3;BANF1;BTF3;C17orf49;C20orf27;CCDC85B;CCT7;CIB1;COMMD6;CORO1B;COX14;COX4I1;COX5B;DBNL;DCTN3;EEF1B2;EIF3D;EIF3K;ERH;FIS1;GTF2A2;GTF3A;HINT1;JTB;LAMTOR4;LEPROTL1;LIMD2;LSM4;LSM5;LST1;MRPL3;MRPL40;MRPS21;NACA;NDUFA13;NDUFB5;NDUFS3;NME2;NSA2;NUDT1;PHB2;PKN1;PSMB1;PSMC5;RACK1;RCSD1;RGS19;RNF7;SDHB;SEC11A;SNHG6;SNRPD1;SNRPD2;SNRPE;SNU13;SUPT4H1;TIMM10;TMEM230;TOMM5;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UCP2;UFC1;UQCRH;UQCRQ;WDR83OS"
"4";7,94;0,0942;"GABPA (inferredBy_Orthology). ";92;"ABI3;ANAPC11;AP2S1;ARHGDIB;ARPC1B;ARPC3;BANF1;BTF3;C17orf49;C1QBP;CCDC85B;CCT7;CIB1;CNPY3;COMMD6;CORO1B;COX14;COX5B;CUTA;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LEPROTL1;LIMD2;LSM3;LSM4;LSM5;MGST3;MRPL3;MRPL40;MRPS21;MRPS34;NAA10;NACA;NDUFA13;NDUFB3;NDUFB5;NDUFB7;NDUFB8;NDUFS3;NME1;NME2;NSA2;NT5C;NUDT1;PARK7;PARL;PHB2;PKN1;POLR2J;PSMB1;PTRHD1;RACK1;RCSD1;RNASEH2B;RNF7;SDHB;SEC11A;SLIRP;SMIM19;SMIM20;SNHG6;SNRPD1;SNRPE;SNU13;SNX17;SUPT4H1;TIMM10;TMEM230;TMEM256;TOMM22;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UFC1;UQCR11;UQCRH;UQCRQ;WDR83OS;ZNF593"
"5";7,88;0,0936;"POLR2A (directAnnotation). ";73;"ANAPC16;AP2S1;ARPC1B;ARPC3;BANF1;C17orf49;CCT7;CIB1;CLTA;COMMD6;COX14;COX4I1;COX5B;DAD1;DBNL;EIF3D;EIF3K;EIF3M;FIS1;GTF2A2;HINT1;LEPROTL1;LIMD2;LSM5;MDH1;MGST3;MRPL3;MRPL40;MRPS21;NDUFA13;NDUFB11;NDUFB3;NDUFB5;NDUFC1;NDUFS3;NME1;NSA2;PA2G4;PARK7;PHB2;PKN1;POLD4;POLR2G;PSMA5;PSMB1;PSMC5;PYCARD;RACK1;RCSD1;RGS19;RNASEH2B;RNF7;SEC11A;SMIM19;SMIM20;SNRPD1;SNRPE;SNU13;SUMO2;SUPT4H1;TMEM230;TOMM22;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UCP2;UFC1;UQCRH;UQCRQ;WDR83OS"
"6";7,8;0,0927;"ELK4 (directAnnotation). ";96;"ADI1;ANAPC11;AP2S1;ARHGDIB;ARPC1B;ARPC3;BANF1;BLOC1S1;BTF3;C17orf49;CCDC85B;CCT7;CIB1;CLTA;COMMD6;COX14;COX4I1;COX5B;COX7A2L;CUTA;DAD1;DBNL;DDT;EEF1B2;EIF3D;EIF3K;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LEPROTL1;LSM3;LSM5;MDH1;MGMT;MGST3;MRPL3;MRPL40;MRPL57;MRPS21;MRPS34;NAA10;NAA38;NDUFA13;NDUFB3;NDUFB5;NDUFS3;NDUFV1;NEDD8;NME1;NSA2;NT5C;NUDT1;PARK7;PARL;PHB2;PKN1;POLR2G;PSMB1;PSMC5;PTRHD1;RAB20;RACK1;RCSD1;RGS19;SDHB;SEC11A;SLIRP;SMIM19;SNRPD1;SNRPE;SNU13;SPINT2;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM22;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UCP2;UFC1;UQCR11;UQCRH;UQCRQ;WDR83OS;YIF1B;ZNF593"
"7";7,78;0,0925;"ETV2 (inferredBy_Orthology). ";91;"ANAPC11;AP2S1;ARHGDIB;ARPC1B;ARPC3;BANF1;BLOC1S1;BTF3;C17orf49;CCDC85B;CCT7;CIB1;CLTA;COMMD6;CORO1B;COX14;COX4I1;COX5B;COX7A2L;DAD1;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LAMTOR4;LEPROTL1;LIMD2;LSM3;LSM4;LSM5;MGMT;MGST3;MRPL3;MRPL40;MRPS21;MRPS34;NAA10;NACA;NDUFA13;NDUFB3;NDUFB5;NDUFS3;NDUFV1;NME1;NME2;NSA2;NUDT1;PARK7;PHB2;PKN1;PSMB1;PTRHD1;RAB20;RACK1;RCSD1;RGS19;RNASEH2B;SDHB;SEC11A;SLIRP;SMIM19;SNRPD1;SNRPE;SNU13;SNX17;SPINT2;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UCP2;UFC1;UQCRH;UQCRQ;WDR83OS;YIF1B"
"8";7,78;0,0925;"ELK3 (directAnnotation). ";95;"ADI1;ANAPC11;AP2S1;ARHGDIB;ARPC1B;ARPC3;BANF1;BLOC1S1;BTF3;C17orf49;CCDC85B;CCT7;CIB1;COMMD6;COX14;COX4I1;COX5B;COX7A2L;DAD1;DBNL;DCTN3;DDT;EEF1B2;EIF3D;EIF3G;EIF3K;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LAMTOR1;LAMTOR4;LEPROTL1;LIMD2;LSM3;LSM5;MGMT;MGST3;MRPL3;MRPL40;MRPS21;MRPS34;NAA10;NDUFA13;NDUFB3;NDUFB5;NDUFS3;NDUFV1;NME1;NSA2;NUDT1;PARK7;PARL;PHB2;PKN1;PSMA5;PSMB1;PSMC5;PTRHD1;PYURF;RAB20;RACK1;RCSD1;RGS19;RNF7;SDHB;SEC11A;SLIRP;SMIM19;SNRPD1;SNRPE;SNU13;SNX17;SPINT2;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UCP2;UFC1;UQCR11;UQCRH;UQCRQ;WDR83OS;YIF1B"
"9";7,77;0,0924;"ELF1 (directAnnotation). ";94;"ABRACL;ACAA1;ANAPC11;ANAPC16;AP2S1;ARPC1B;ARPC3;BANF1;C17orf49;C9orf16;CCT7;CIB1;CLTA;COMMD6;COX5B;COX7A2L;CUTA;DAD1;DBNL;DDT;EEF1B2;EIF3D;EIF3K;EIF3M;ERH;FIS1;GTF2A2;GTF3A;HINT1;LEPROTL1;LIMD2;LSM3;LSM5;MGMT;MGST3;MRPL3;MRPL40;MRPL57;MRPS21;MRPS34;NAA10;NACA;NDUFA1;NDUFA13;NDUFB3;NDUFB7;NDUFS3;NME1;NSA2;NUDT1;PA2G4;PARK7;PARL;PHB2;PKN1;POLD4;POLR1D;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;PTRHD1;RACK1;RCSD1;RGS19;RNF7;SDHB;SEC11A;SLIRP;SMIM19;SMIM20;SNHG6;SNRPD1;SNRPE;SNU13;SUPT4H1;TIMM10;TMEM230;TMEM59;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;TXNDC17;UCP2;UFC1;UQCR11;UQCRH;UQCRQ;WDR83OS;ZNF593"
"10";7,76;0,0923;"POLR2A (directAnnotation). ";86;"ACAA1;ANAPC11;ANAPC16;AP2S1;ARPC1B;ARPC3;BANF1;BCKDHA;C17orf49;CCT7;CIB1;CLTA;COMMD6;COX4I1;COX5B;COX7A2L;DAD1;DBNL;DDT;EEF1B2;EIF3D;EIF3K;EIF3M;FIS1;GTF2A2;GTF3A;HINT1;HMGN2;LEPROTL1;LIMD2;LSM3;LSM5;MDH1;MGST3;MRPL3;MRPL57;MRPS21;MRPS34;NDUFA13;NDUFB11;NDUFB3;NDUFB5;NDUFC1;NDUFS3;NME1;NSA2;PA2G4;PARK7;PHB2;PKN1;POLD4;POLR2G;PSMA5;PSMB1;PSMC5;PYCARD;RACK1;RCSD1;RGS19;RNASEH2B;SEC11A;SLIRP;SMIM19;SMIM20;SNHG6;SNRPD1;SNRPE;SNU13;SUMO2;SUPT4H1;TIMM10;TMEM230;TOMM22;TOMM6;TPRKB;TRAPPC1;TRMT112;TUFM;TXN2;UCP2;UFC1;UQCRH;UQCRQ;WDR83OS;YIF1B;ZNF593"
