"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,35;0,202;"STAT1; STAT3 (directAnnotation). ";4;"CREB5;FCGR1A;TMEM154;TNFRSF1A"
"2";5,35;0,202;"CRX; NKX3-2 (directAnnotation). ";5;"ALDH1A1;CD14;CREB5;LINC00278;VNN1"
"3";5,3;0,201;"STAT1 (directAnnotation). ";5;"CD14;CREB5;FCGR1A;TMEM154;TNFRSF1A"
"4";5,25;0,199;"";4;"CREB5;PRDX1;TMEM154;TNFRSF1A"
"5";4,99;0,191;"ETV7 (directAnnotation). ";4;"CD14;CREB5;FCGR1A;TNFRSF1A"
"6";4,93;0,189;"";5;"ALDH1A1;CREB5;CREG1;PMP22;PRDX1"
"7";4,92;0,189;"ATF3 (directAnnotation). ";4;"CD14;CREB5;PRDX1;TNFRSF1A"
"8";4,9;0,188;"";4;"CREB5;PMP22;TMEM154;TNFRSF1A"
"9";4,88;0,187;"ZNF33A (directAnnotation). ";4;"ALDH1A1;CREB5;IGFBP7;TMEM154"
"10";4,87;0,187;"STAT4 (directAnnotation). ";5;"CD14;CREB5;PMP22;TMEM154;TNFRSF1A"
"11";4,83;0,186;"MTF1 (directAnnotation). ";4;"ALDH1A1;CREB5;IGFBP7;UPK3A"
"12";4,8;0,185;"GATA2 (directAnnotation). ";3;"CREB5;IGFBP7;TNFRSF1A"
"13";4,65;0,18;"";5;"ALDH1A1;CR1;CREB5;TMEM154;VNN1"
"14";4,62;0,179;"FOXP3 (directAnnotation). ";3;"CREB5;IGFBP7;PRDX1"
"15";4,56;0,177;"";4;"ALDH1A1;CREB5;IGFBP7;PMP22"
"16";4,55;0,177;"";4;"CR1;CREB5;PRDX1;TMEM154"
"17";4,55;0,177;"NFIL3 (directAnnotation). ";3;"ALDH1A1;CREB5;TMEM154"
"18";4,53;0,176;"";3;"CREB5;IGFBP7;VNN1"
"19";4,52;0,176;"SIN3A (directAnnotation). ";4;"ALDH1A1;CREB5;IGFBP7;PRDX1"
"20";4,5;0,175;"FOXP3 (directAnnotation). ";7;"ALDH1A1;CR1;CREB5;IGFBP7;PMP22;PRDX1;TMEM154"
"21";4,48;0,175;"IKZF2 (directAnnotation). ";4;"CD14;CREB5;PRDX1;TMEM154"
"22";4,47;0,174;"NFE2L2 (directAnnotation). ";4;"CREB5;PRDX1;TMEM154;TNFRSF1A"
"23";4,43;0,173;"DLX3; MGA (directAnnotation). ";3;"CREB5;PRDX1;UPK3A"
"24";4,41;0,172;"STAT1 (directAnnotation). ";6;"ALDH1A1;CD14;CREB5;FCGR1A;TMEM154;TNFRSF1A"
"25";4,38;0,171;"GATA2 (directAnnotation). ";3;"CREB5;IGFBP7;TNFRSF1A"
"26";4,35;0,17;"";4;"CREB5;IGFBP7;LINC00278;TNFRSF1A"
"27";4,33;0,17;"KAT2A (directAnnotation). ";4;"CREB5;FCGR1A;PRDX1;TMEM154"
"28";4,33;0,17;"";3;"CR1;CREB5;TNFRSF1A"
"29";4,28;0,168;"NFE2 (directAnnotation). ";5;"CREB5;PMP22;PRDX1;TMEM154;TNFRSF1A"
"30";4,28;0,168;"";3;"CREB5;PRDX1;TNFRSF1A"
"31";4,27;0,168;"NFE2L2 (inferredBy_Orthology). ";4;"CREB5;PRDX1;TMEM154;TNFRSF1A"
"32";4,27;0,168;"";3;"CD14;TMEM154;TNFRSF1A"
"33";4,24;0,167;"STAT1 (directAnnotation). ";5;"CD14;CREB5;FCGR1A;TMEM154;TNFRSF1A"
"34";4,22;0,166;"ZNF416 (directAnnotation). ";5;"ALDH1A1;IGFBP7;PMP22;PRDX1;TMEM154"
"35";4,22;0,166;"";3;"CREB5;TMEM154;TNFRSF1A"
"36";4,19;0,165;"RAB18 (directAnnotation). ";3;"CREB5;IGFBP7;TNFRSF1A"
"37";4,17;0,165;"NFE2 (directAnnotation). ";4;"CREB5;PRDX1;TMEM154;TNFRSF1A"
"38";4,16;0,164;"NFE2 (directAnnotation). ";4;"CREB5;PRDX1;TMEM154;TNFRSF1A"
"39";4,14;0,164;"STAT3 (inferredBy_Orthology). ";3;"CD14;TMEM154;TNFRSF1A"
"40";4,13;0,163;"STAT1 (directAnnotation). ";5;"CD14;CREB5;FCGR1A;TMEM154;TNFRSF1A"
"41";4,09;0,162;"STAT3 (directAnnotation). ";3;"CD14;TMEM154;TNFRSF1A"
"42";4,02;0,16;"STAT3 (directAnnotation). ";3;"CD14;TMEM154;TNFRSF1A"
"43";4,01;0,159;"FOXJ3 (inferredBy_Orthology). ";3;"ALDH1A1;CREB5;PRDX1"
"44";4;0,159;"NFE2 (directAnnotation). ";4;"CREB5;PRDX1;TMEM154;TNFRSF1A"
"45";3,98;0,159;"FOXG1; FOXO1 (directAnnotation). ";4;"ALDH1A1;CREB5;PRDX1;TMEM154"
"46";3,96;0,158;"BACH2 (inferredBy_Orthology). ";4;"CREB5;PRDX1;TMEM154;TNFRSF1A"
"47";3,96;0,158;"STAT3 (directAnnotation). ";7;"ALDH1A1;CD14;CREB5;CREG1;FCGR1A;TMEM154;TNFRSF1A"
"48";3,95;0,158;"MTF1 (directAnnotation). ";4;"ALDH1A1;CREB5;IGFBP7;UPK3A"
"49";3,95;0,157;"STAT3 (directAnnotation). ";5;"CD14;CREB5;FCGR1A;TMEM154;TNFRSF1A"
"50";3,94;0,157;"TCF7L1 (directAnnotation). ";3;"ALDH1A1;CREB5;PRDX1"
"51";3,93;0,157;"STAT1 (directAnnotation). ";6;"ALDH1A1;CD14;CREB5;FCGR1A;TMEM154;TNFRSF1A"
"52";3,93;0,157;"ZNF510 (directAnnotation). ";3;"CREB5;IGFBP7;LINC00278"
"53";3,92;0,157;"STAT1 (directAnnotation). ";4;"CREB5;FCGR1A;TMEM154;TNFRSF1A"
"54";3,91;0,156;"STAT4 (inferredBy_Orthology). ";2;"TMEM154;TNFRSF1A"
"55";3,91;0,156;"";3;"ALDH1A1;CREB5;TMEM154"
"56";3,9;0,156;"";5;"ALDH1A1;CREB5;IGFBP7;PRDX1;TMEM154"
"57";3,87;0,155;"STAT3 (directAnnotation). ";6;"ALDH1A1;CD14;CREB5;FCGR1A;TMEM154;TNFRSF1A"
"58";3,84;0,154;"NFE2 (directAnnotation). ";4;"CREB5;PRDX1;TMEM154;TNFRSF1A"
"59";3,83;0,154;"MTF1 (directAnnotation). ";4;"CREB5;IGFBP7;TMEM154;UPK3A"
"60";3,82;0,153;"STAT3 (directAnnotation). ";7;"ALDH1A1;CD14;CREB5;CREG1;FCGR1A;TMEM154;TNFRSF1A"
"61";3,82;0,153;"";3;"CREB5;TMEM154;UPK3A"
