"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";19,4;0,39;"STAT1; STAT2 (directAnnotation). ";35;"BATF2;CIITA;CMPK2;CXCL10;DDX58;EPSTI1;FCGR3A;HERC5;IDO2;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;IRF1;LHFPL2;LINC00910;LRRK2;MSR1;MX1;OAS2;OASL;PARP14;PELI1;RNF213;SAMD9;SAMD9L;SLC1A3;SMCHD1;TNFSF10;TRIM25;TSC22D1;WARS;XAF1"
"2";19,1;0,384;"STAT2 (directAnnotation). ";35;"BATF2;CIITA;CMPK2;CXCL10;DDX58;EPSTI1;FCGR3A;HERC5;IDO2;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;IRF1;LHFPL2;LINC00910;LRRK2;MSR1;MX1;OAS2;OASL;PARP14;PELI1;RNF213;SAMD9;SAMD9L;SLC1A3;SMCHD1;TNFSF10;TRIM25;TSC22D1;WARS;XAF1"
"3";18;0,363;"STAT2 (directAnnotation). ";31;"BATF2;CIITA;CMPK2;CXCL10;DDX58;EPSTI1;HERC5;IDO2;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;IRF1;LRRK2;MSR1;MX1;OAS2;OASL;PARP14;PELI1;RNF213;SAMD9L;SLC1A3;SMCHD1;TNFSF10;TRIM25;TSC22D1;WARS;XAF1"
"4";17,7;0,357;"IRF3 (directAnnotation). ";31;"APOL6;CIITA;CMPK2;CXCL10;DDX58;EPSTI1;ETV7;GBP1;HERC5;IDO2;IFI44;IFI6;IFIH1;IFIT2;IFIT3;IRF1;LINC00910;MSR1;MX1;OAS2;OAS3;PARP14;PELI1;RNF213;SAMD9;SAMD9L;SLC1A3;TAP1;TNFSF10;WARS;XAF1"
"5";17,1;0,345;"IRF3 (directAnnotation). ";30;"APOL6;CMPK2;CXCL10;DDX58;EPSTI1;ETV7;GBP5;HERC5;IDO2;IFI44;IFIH1;IFIT2;IFIT3;IRF1;LHFPL2;LINC00910;MSR1;MX1;OAS2;OAS3;PARP14;PELI1;RNF213;SAMD9;SAMD9L;SLC1A3;TAP1;TNFSF10;WARS;XAF1"
"6";16,9;0,342;"IRF9 (directAnnotation). ";32;"APOL6;BATF2;CIITA;CXCL10;CXCL11;CXCL9;DDX58;EPSTI1;ETV7;GBP1;GBP5;HELZ2;IDO2;IFI44;IFI44L;IFIH1;IFIT2;IFIT3;IRF1;LINC00910;MX1;OAS2;OAS3;PARP14;PELI1;RNF213;SAMD9;SAMD9L;TAP1;TNFSF10;TSC22D1;XAF1"
"7";16,8;0,34;"IRF9 (directAnnotation). ";27;"BATF2;CXCL10;DDX58;EPSTI1;ETV7;GBP1;IDO2;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;IRF1;MX1;OAS2;OAS3;PARP14;PELI1;RNF213;SAMD9;SAMD9L;SLC1A3;TAP1;TNFSF10;WARS;XAF1"
"8";16,6;0,335;"STAT2 (directAnnotation). ";34;"ANKRD22;APOL6;BATF2;CIITA;CMPK2;CXCL10;DDX58;EPSTI1;FCGR3A;HERC5;IDO2;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;IRF1;LHFPL2;LINC00910;MSR1;MX1;OAS2;OASL;PARP14;PELI1;RNF213;SAMD9L;SLC1A3;SMCHD1;TNFSF10;TSC22D1;WARS;XAF1"
"9";15,8;0,321;"STAT2 (directAnnotation). ";32;"APOL6;BATF2;CMPK2;CXCL10;DDX58;EPSTI1;ETV7;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;IRF1;LINC00910;MSR1;MX1;OAS2;OAS3;OASL;PARP14;PELI1;RNF213;SAMD9;SAMD9L;SLC1A3;SMCHD1;TNFSF10;TRIM25;WARS;XAF1"
"10";15,7;0,319;"IRF8 (directAnnotation). ";24;"BATF2;CXCL10;DDX58;EPSTI1;ETV7;GBP1;IDO2;IFI44;IFI6;IFIH1;IFIT2;IFIT3;IRF1;MX1;OAS2;OAS3;PARP14;PELI1;RNF213;SAMD9;SAMD9L;SLC1A3;TAP1;XAF1"
