"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";4,87;0,103;"";22;"ACE;ADORA3;BCO2;CMKLR1;DAB2;EGR2;ENPP2;FILIP1L;FRMD4B;GCNT1;IGF1;KCNMA1;LIMA1;LPAR6;OSBPL1A;P2RY6;RND3;SLC7A8;SLCO2B1;SPRED1;STON2;TNFRSF13C"
"2";4,23;0,094;"SRF (directAnnotation). ";14;"A2M;ADGRG6;CCND1;CMKLR1;DAB2;EGR2;FILIP1L;KCNMA1;LIMA1;MGAT4A;RND3;SDC3;TPM1;VCAM1"
"3";4,21;0,0937;"";14;"C1QC;CMKLR1;DAB2;ENPP2;FUT1;GFRA2;HEXA;KCNMA1;LIMA1;MGAT4A;OTOA;SRGAP3;STON2;TPM1"
"4";4,2;0,0935;"FOXA1 (directAnnotation). ";12;"C2;EGR2;ENPP2;FRMD4A;LIMA1;MAF;MGAT4A;NRP1;RND3;SLC40A1;TMEM26;WWP1"
"5";4,13;0,0925;"HSF1; HSF2; HSF4 (inferredBy_Orthology). ";20;"C1QC;CLIC2;CMKLR1;ENPP2;FUT1;GATM;GFRA2;GIMAP8;ITGB5;KCNMA1;LYVE1;MGAT4A;NRP1;OTOA;PRKACB;SLC7A8;SLCO2B1;SRGAP3;STON2;TPM1"
"6";4,07;0,0917;"GLI1 (directAnnotation). ";11;"ADORA3;CMKLR1;CXCL12;DAB2;ENPP2;GCNT1;OSBPL1A;RND3;SDC3;STON2;TNFRSF13C"
"7";4,02;0,091;"SPIB (directAnnotation). ";28;"A2M;ADGRG6;ADORA3;C1orf54;C1QB;C1QC;CCL24;CMKLR1;DAB2;DNAJC5B;DNASE1L3;EGR2;FCHO2;FILIP1L;FRMD4A;FUCA1;GFRA2;IGF1;IGFBP4;LIPA;OSBPL1A;PER3;PLD3;PLTP;PRKACB;SHE;SIGLEC1;STON2"
"8";4,01;0,0908;"";28;"A2M;ACE;AP2A2;BCO2;CCL24;CCND1;CD84;CTTNBP2;CXCL12;DAB2;DNASE1L3;FILIP1L;FRMD4A;GCLC;HEXA;KCNMA1;LGMN;LIMA1;LPAR6;OSBPL1A;PLD3;RND3;SIGLEC1;SLCO2B1;SPRED1;SRGAP3;STON2;TPM1"
"9";3,97;0,0903;"CEBPA; CEBPB; DDIT3 (directAnnotation). ";12;"DNAJC5B;EGR2;FILIP1L;FUT1;GPR155;GPR34;KCNMA1;LIMA1;MGAT4A;OSBPL1A;SERPINF1;SPRED1"
"10";3,97;0,0903;"CDX4 (directAnnotation). ";24;"ACE;BCO2;CD163L1;CMKLR1;CXCL12;DAB2;DNAJC5B;EGR2;ENPP2;FILIP1L;FRMD4B;GCNT1;LGMN;LIMA1;LPAR6;LYVE1;MAF;ME1;MGAT4A;PRKACB;SLCO2B1;STON2;TPM1;WWP1"
