"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";7,72;0,144;"IRF4; SPI1 (directAnnotation). ";24;"ADK;CHMP1B;CREBL2;CSF1R;CST3;CYSLTR1;CYSLTR2;FAM110A;GPR183;GRASP;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;ITGB7;JAML;LMO2;MLEC;PALLD;PLD4;PTMS;RGS1;SDS;ZFAND5"
"2";6,32;0,123;"SPI1 (directAnnotation). ";18;"ADK;CHMP1B;CSF1R;CYSLTR1;CYSLTR2;FAM110A;GPR183;HIC1;HLA-DMB;HLA-DQA1;HLA-DQA2;ITGB7;JAML;LMO2;MLEC;PALLD;SDS;ZFAND5"
"3";5,63;0,112;"E2F4 (directAnnotation). ";12;"ARL4C;CST3;CYSLTR2;DHRS3;DNMT1;FAM110A;FAM20C;GPR183;NUCKS1;PALLD;YPEL2;ZFAND5"
"4";5,04;0,103;"SPI1 (directAnnotation). ";17;"ADK;CHMP1B;CSF1R;CYSLTR1;CYSLTR2;DHRS3;FAM110A;HIC1;HLA-DMB;HLA-DQA1;HLA-DQA2;ITGB7;JAML;LMO2;MLEC;PALLD;ZFAND5"
"5";4,91;0,101;"E2F4 (directAnnotation). ";23;"ARL4C;CCDC112;CD101;CSF1R;CST3;CYSLTR1;CYSLTR2;DHRS3;DNMT1;FAM110A;FAM20C;GLO1;GPR183;ITGB7;LMO2;NUCKS1;PALLD;PLA2G7;RNASE6;SHTN1;YPEL2;ZFAND5;ZNF331"
"6";4,7;0,0982;"EGR1 (inferredBy_Orthology). ";13;"CLEC11A;CREBL2;FAM110A;GRASP;HIC1;HLA-DPA1;HLA-DPB1;MLEC;NUCKS1;PALLD;PID1;PLA2G7;YPEL2"
"7";4,69;0,0981;"EGR1 (directAnnotation). ";23;"CCDC107;CLEC11A;CREBL2;CSF1R;DBNDD2;DHRS3;DNAJC4;FAM110A;GRASP;HIC1;HLA-DPA1;HLA-DPB1;LMO2;MLEC;NUCKS1;PALLD;PID1;PLA2G7;PTMS;RGS10;TUBA1B;YPEL2;ZFAND5"
"8";4,63;0,0972;"EZH2 (directAnnotation). ";11;"DHRS3;GPR183;HLA-DPA1;HLA-DPB1;MLEC;NUCKS1;PALLD;PID1;PLA2G7;RGS1;ZFAND5"
"9";4,54;0,0958;"";9;"ARPIN;DHRS3;GLO1;GPR183;HIC1;PALLD;PLA2G7;SPATS2L;ZFAND5"
"10";4,52;0,0956;"MEF2A (directAnnotation). ";10;"ARL4C;CYSLTR2;DBNDD2;FAM110A;FAM20C;HIC1;LMO2;PALLD;YPEL2;ZFAND5"
"11";4,4;0,0938;"FOXP1; FOXP2; FOXP3; FOXP4 (inferredBy_Orthology). ";8;"CYSLTR2;DHRS3;GRASP;PALLD;PTMS;RGS1;SPATS2L;YPEL2"
"12";4,36;0,0932;"";8;"CREBL2;CYSLTR1;DHRS3;DNAJC4;FAM110A;GRASP;HIC1;PALLD"
"13";4,36;0,0931;"ZSCAN22 (directAnnotation). ";7;"AKR1B1;BORCS5;CYSLTR2;OPN3;PALLD;PLA2G7;SHTN1"
"14";4,32;0,0926;"FOXP1; FOXP2; FOXP3; FOXP4 (inferredBy_Orthology). ";7;"DHRS3;GRASP;PALLD;PTMS;RGS1;SPATS2L;YPEL2"
