"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";6,19;0,131;"CEBPA (inferredBy_Orthology). ";7;"ANXA1;FGR;HTRA1;PLCB1;SLC16A7;TSPO;VNN3"
"2";6,04;0,129;"CEBPA (directAnnotation). ";10;"ALOX5AP;ANXA1;FGR;GLIPR2;HTRA1;OSM;PLCB1;SLC16A7;TSPO;VNN3"
"3";5,99;0,128;"CEBPE (directAnnotation). ";8;"ANXA1;HTRA1;LILRA5;OSM;PLCB1;SLC16A7;TNFSF13;VNN3"
"4";5,9;0,126;"CEBPB (inferredBy_Orthology). ";10;"ALOX5AP;ANXA1;FGR;GLIPR2;HTRA1;OSM;PLCB1;SLC16A7;TSPO;VNN3"
"5";5,66;0,122;"";7;"AGTRAP;FGR;HTRA1;OSM;PLCB1;SLC16A7;VNN3"
"6";5,48;0,119;"CEBPB (directAnnotation). ";7;"ANXA1;FGR;HTRA1;PLCB1;SLC16A7;TSPO;VNN3"
"7";5,47;0,119;"CEBPG (directAnnotation). ";6;"HTRA1;OSM;PLCB1;SLC16A7;TNFSF13;VNN3"
"8";5,36;0,117;"CEBPB (directAnnotation). ";7;"ANXA1;GLIPR2;HTRA1;OSM;PLCB1;TSPO;VNN3"
"9";5,33;0,116;"CEBPB (directAnnotation). ";7;"ANXA1;HTRA1;OSM;PLCB1;SLC16A7;TNFSF13;VNN3"
"10";5,26;0,115;"CEBPB (inferredBy_Orthology). ";7;"FGR;HTRA1;OSM;PLCB1;SLC16A7;TSPO;VNN3"
"11";5,26;0,115;"CEBPB (directAnnotation). ";10;"ALOX5AP;ANXA1;AP1S2;FGR;GLIPR2;HTRA1;OSM;PLCB1;TSPO;VNN3"
"12";5,14;0,113;"";8;"ANXA1;AP1S2;HTRA1;OSM;PLCB1;SLC16A7;TNFSF13;VNN3"
"13";5,11;0,112;"";6;"ANXA1;FGR;HTRA1;PLCB1;SLC16A7;VNN3"
"14";5,06;0,111;"CEBPA (directAnnotation). ";13;"ALOX5AP;ANXA1;AP1S2;CLEC4E;FGR;GLIPR2;HTRA1;OSM;PLCB1;SELL;SLC16A7;TSPO;VNN3"
"15";4,93;0,109;"CEBPG (directAnnotation). ";5;"HTRA1;OSM;PLCB1;SLC16A7;VNN3"
"16";4,89;0,108;"ETV2; SPDEF (directAnnotation). ";7;"AGTRAP;ALOX5AP;FCN1;FGR;OSM;RETN;THBD"
"17";4,84;0,108;"CEBPD (directAnnotation). ";6;"ANXA1;HTRA1;OSM;PLCB1;SLC16A7;VNN3"
"18";4,83;0,107;"CEBPA (directAnnotation). ";7;"AGTRAP;ANXA1;FGR;HTRA1;PLCB1;SLC16A7;VNN3"
"19";4,81;0,107;"CEBPA (directAnnotation). ";10;"ALOX5AP;ANXA1;GLIPR2;HTRA1;OSM;PLCB1;SELL;SLC16A7;TSPO;VNN3"
"20";4,77;0,106;"CEBPB (directAnnotation). ";7;"ALOX5AP;ANXA1;AP1S2;HTRA1;PLCB1;SLC16A7;VNN3"
"21";4,76;0,106;"CEBPB (directAnnotation). ";17;"AGTRAP;ALOX5AP;ANXA1;AP1S2;CD55;FAM89A;FGR;HTRA1;LTA4H;OSM;PLCB1;SELL;SLA;SLC16A7;TSPO;TWISTNB;VNN3"
"22";4,75;0,106;"";6;"ALOX5AP;HTRA1;OSM;PLCB1;SLC16A7;VNN3"
"23";4,75;0,106;"CEBPD (directAnnotation). ";7;"ANXA1;HTRA1;OSM;PLCB1;SLC16A7;TNFSF13;VNN3"
"24";4,73;0,105;"";7;"ALOX5AP;ANXA1;HTRA1;OSM;PLCB1;SLC16A7;VNN3"
"25";4,71;0,105;"ZNF57 (directAnnotation). ";12;"AP1S2;CD55;CLEC4E;FGR;GPBAR1;MTMR11;OSM;PLCB1;SLA;TNNT1;TSPO;ZBTB16"
"26";4,68;0,105;"CEBPE (directAnnotation). ";8;"ANXA1;HTRA1;OSM;PLCB1;SLC16A7;TNFSF13;TSPO;VNN3"
"27";4,66;0,104;"CEBPB (directAnnotation). ";8;"ANXA1;GLIPR2;HTRA1;OSM;SLC16A7;TSPO;VNN3;ZBTB16"
"28";4,65;0,104;"SMAD1; SMAD2; SMAD3; SMAD4 (directAnnotation). ";8;"ALOX5AP;CAPG;FAM89A;FGR;GPBAR1;THBD;TNNT1;TSPO"
"29";4,63;0,104;"CEBPG (directAnnotation). ";6;"HTRA1;OSM;PLCB1;SLC16A7;TNFSF13;VNN3"
"30";4,59;0,103;"";6;"AGTRAP;BST1;CD55;FGR;SLC16A7;STXBP2"
"31";4,57;0,103;"CEBPB (directAnnotation). ";8;"ANXA1;HTRA1;OSM;PLCB1;SLC16A7;TNFSF13;TSPO;VNN3"
"32";4,54;0,102;"CEBPB (directAnnotation). ";6;"ANXA1;GLIPR2;HTRA1;OSM;PLCB1;VNN3"
"33";4,51;0,102;"";6;"AP1S2;CAPG;FGR;GLIPR2;TNNT1;VNN3"
"34";4,5;0,102;"DBP (directAnnotation). ";6;"HTRA1;OSM;PLCB1;SLC16A7;TNFSF13;VNN3"
"35";4,49;0,101;"";6;"AGTRAP;BST1;CD55;FGR;SLC16A7;STXBP2"
"36";4,48;0,101;"DBP (directAnnotation). ";10;"ANXA1;AP1S2;CD55;FGR;HTRA1;OSM;PLCB1;SLC16A7;TNFSF13;VNN3"
