"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,75;0,139;"ZNF546 (directAnnotation). ";7;"CD93;ELK3;G0S2;KCNJ15;MAPK7;MCTP2;TMEM158"
"2";5,16;0,127;"";7;"ANPEP;ELK3;S100A10;S100A9;SERPINA1;VCAN;VNN2"
"3";5,13;0,127;"ELF1; HDX (directAnnotation). ";20;"CCL2;CCR1;CD93;ELK3;HPSE;IL1RAP;KCNJ15;MARCO;MCTP2;NRGN;RAB27A;RSPO3;S100A10;S100A12;S100A8;SERPINA1;TIMP1;TMEM158;VCAN;VNN2"
"4";5,08;0,126;"ZBTB1 (directAnnotation). ";7;"ANPEP;ELK3;G0S2;NRGN;S100A12;S100A9;TIMP1"
"5";5,08;0,126;"BCL6 (directAnnotation). ";9;"CCL2;ELK3;KCNJ15;MCTP2;S100A10;S100A12;S100A8;S100A9;VCAN"
"6";4,84;0,121;"TCF7L2 (directAnnotation). ";7;"ANPEP;ELK3;KCNJ15;MCTP2;PPP1R3B;S100A10;SERPINA1"
"7";4,76;0,12;"ZNF366 (directAnnotation). ";9;"CCR1;CD300E;KCNJ15;NRGN;PROK2;RAB27A;S100A10;S100A12;VCAN"
"8";4,57;0,116;"PITX1; TEAD4 (directAnnotation). ";8;"CKAP4;IL1RAP;KCNJ15;MCTP2;PPP1R3B;PROK2;SLC25A37;VCAN"
"9";4,53;0,115;"STAT3 (directAnnotation). ";17;"ANPEP;CCL2;CDA;ELK3;G0S2;KCNJ15;LRG1;MGST1;PPP1R3B;RAB27A;RSPO3;S100A10;S100A12;S100A8;S100A9;SERPINA1;VCAN"
"10";4,51;0,115;"ZNF335 (directAnnotation). ";20;"ANPEP;CCR1;CD93;CES1;ELK3;HPSE;IL1RAP;KCNJ15;MCTP2;PPP1R3B;RAB27A;RSPO3;S100A10;S100A12;S100A8;S100A9;SERPINA1;SLC25A37;TIMP1;VCAN"
"11";4,39;0,112;"BCL6 (inferredBy_Orthology). ";7;"ELK3;KCNJ15;MCTP2;S100A10;S100A12;S100A8;VCAN"
"12";4,35;0,112;"BCL6 (inferredBy_Orthology). ";8;"CCL2;ELK3;KCNJ15;MGST1;S100A10;S100A8;S100A9;VCAN"
"13";4,33;0,111;"ZNF788 (directAnnotation). ";12;"ASPH;CKAP4;ELK3;KCNJ15;MCTP2;PROK2;RAB27A;RSPO3;SERPINA1;TMEM158;TREM1;VCAN"
"14";4,28;0,11;"RUNX1 (directAnnotation). ";5;"ELK3;MAPK7;MCTP2;PPP1R3B;S100A10"
"15";4,26;0,11;"HOXA3; TEAD4 (directAnnotation). ";10;"ASPH;CKAP4;ELK3;KCNJ15;RAB27A;RSPO3;S100A10;SERPINA1;SLC25A37;VCAN"
"16";4,25;0,11;"NR5A2 (directAnnotation). ";9;"CCL2;CCR1;CKAP4;ELK3;FOLR3;G0S2;S100A8;SERPINA1;VCAN"
"17";4,16;0,108;"BCL6 (directAnnotation). ";9;"CCL2;ELK3;G0S2;KCNJ15;MGST1;S100A10;S100A8;S100A9;VCAN"
"18";4,14;0,107;"NR5A2 (directAnnotation). ";7;"CCR1;CKAP4;ELK3;G0S2;GK5;S100A8;SERPINA1"
"19";4,12;0,107;"PLAGL2 (directAnnotation). ";9;"ANPEP;CD93;G0S2;GK5;KCNJ15;MCTP2;PROK2;RAB27A;S100A8"
"20";4,12;0,107;"STAT4 (inferredBy_Orthology). ";10;"CCL2;ELK3;G0S2;KCNJ15;MCTP2;MGST1;RAB27A;S100A12;S100A8;VCAN"
"21";4,03;0,105;"ZNF253 (directAnnotation). ";6;"IL1RAP;KCNJ15;PPP1R3B;RAB27A;S100A8;VCAN"
"22";4,03;0,105;"ZNF417 (directAnnotation). ";6;"ELK3;KCNJ15;RAB27A;S100A10;S100A12;VCAN"
"23";4,01;0,105;"IRF8; PDX1 (directAnnotation). ";6;"IL1RAP;KCNJ15;MCTP2;PPP1R3B;RAB27A;VCAN"
"24";4,01;0,105;"STAT1 (directAnnotation). ";7;"ELK3;G0S2;KCNJ15;RAB27A;S100A12;S100A8;VCAN"
"25";4;0,105;"";8;"ASPH;ELK3;KCNJ15;MGST1;PROK2;RAB27A;RSPO3;S100A12"
"26";3,99;0,105;"GATA1; GATA2; GATA3 (inferredBy_Orthology). ";6;"ASPH;KCNJ15;MCTP2;MGST1;RAB27A;SERPINA1"
"27";3,98;0,104;"";7;"CCL2;CCR1;ELK3;KCNJ15;PPP1R3B;S100A10;S100A8"
"28";3,98;0,104;"";8;"IL1RAP;KCNJ15;MCTP2;PPP1R3B;PROK2;S100A8;SERPINA1;SLC25A37"
"29";3,97;0,104;"HOXA2; TEAD4 (directAnnotation). ";16;"ASPH;CKAP4;ELK3;FOLR3;GK5;IL1RAP;KCNJ15;NRGN;PPP1R3B;PROK2;RAB27A;RSPO3;S100A10;SERPINA1;SLC25A37;VCAN"
"30";3,95;0,104;"";4;"ELK3;HPSE;KCNJ15;VCAN"
"31";3,93;0,103;"";12;"ANPEP;CCR1;ELK3;FPR2;G0S2;KCNJ15;PADI4;RAB27A;S100A8;SLC25A37;TMEM158;VCAN"
"32";3,89;0,103;"NR5A2 (directAnnotation). ";12;"ANPEP;CCL2;CCR1;CKAP4;ELK3;FOLR3;G0S2;GK5;KCNJ15;S100A8;SERPINA1;VCAN"
"33";3,89;0,103;"STAT3 (directAnnotation). ";13;"ANPEP;CCL2;ELK3;G0S2;IL1RAP;KCNJ15;MGST1;RAB27A;S100A10;S100A12;S100A8;S100A9;VCAN"
"34";3,88;0,102;"BCL6 (inferredBy_Orthology). ";4;"KCNJ15;S100A10;S100A8;VCAN"
"35";3,87;0,102;"RUNX1 (inferredBy_Orthology). ";7;"ELK3;HPSE;KCNJ15;MAPK7;PPP1R3B;S100A10;S100A12"
"36";3,86;0,102;"";6;"CCR1;ELK3;FOLR3;KCNJ15;RAB27A;S100A12"
"37";3,86;0,102;"EGR4 (inferredBy_Orthology). ";10;"CD93;CES1;ELK3;FOLR3;HPSE;MAPK7;MCEMP1;PADI4;PPP1R3B;RAB27A"
"38";3,86;0,102;"STAT3 (directAnnotation). ";11;"ANPEP;ELK3;G0S2;KCNJ15;MGST1;RAB27A;S100A10;S100A12;S100A8;S100A9;VCAN"
"39";3,85;0,102;"";10;"CES1;GK5;KCNJ15;MCTP2;PPP1R3B;PROK2;RAB27A;SERPINA1;SLC25A37;VCAN"
"40";3,85;0,102;"";10;"ANPEP;ELK3;G0S2;KCNJ15;MARCO;MCTP2;RAB27A;S100A10;S100A8;S100A9"
"41";3,83;0,101;"MAFG (directAnnotation). ";14;"CCL2;CDA;CES1;FOLR3;KCNJ15;MARCO;MCTP2;PPP1R3B;RSPO3;S100A10;S100A9;SLC11A1;SLC25A37;VCAN"
"42";3,82;0,101;"TCF12 (directAnnotation). ";8;"CCR1;CD93;CDA;ELK3;IL1RAP;PPP1R3B;SERPINA1;VCAN"
"43";3,8;0,101;"STAT1 (directAnnotation). ";11;"CCL2;CCR1;ELK3;KCNJ15;MCTP2;MGST1;RAB27A;S100A12;S100A8;S100A9;VCAN"
"44";3,8;0,101;"IL21; STAT3 (inferredBy_Orthology). ";7;"CCL2;ELK3;G0S2;KCNJ15;RAB27A;S100A8;VCAN"
"45";3,8;0,101;"ZNF782 (directAnnotation). ";9;"CCR1;CKAP4;KCNJ15;MCTP2;NRGN;RAB27A;RSPO3;S100A12;SLC25A37"
"46";3,79;0,101;"";7;"CDA;ELK3;KCNJ15;MCTP2;NRGN;S100A10;S100A8"
"47";3,78;0,1;"ETV7; FOXO1 (directAnnotation). ";6;"CD300E;CES1;ELK3;S100A10;S100A8;VCAN"
"48";3,78;0,1;"ZNF44 (directAnnotation). ";11;"ANPEP;CCL2;ELK3;KCNJ15;NRGN;PPP1R3B;S100A10;S100A12;S100A8;SERPINA1;SLC25A37"
"49";3,76;0,1;"";7;"ANPEP;ELK3;FOLR3;G0S2;KCNJ15;S100A10;VCAN"
"50";3,76;0,1;"STAT6 (directAnnotation). ";12;"ASPH;CCL2;ELK3;G0S2;KCNJ15;MCTP2;MGST1;RAB27A;S100A10;S100A12;S100A8;VCAN"
"51";3,75;0,0998;"EP300 (directAnnotation). ";11;"CCR1;CD93;CDA;ELK3;IL1RAP;KCNJ15;PPP1R3B;S100A10;S100A12;SERPINA1;VCAN"
"52";3,75;0,0997;"HIVEP1 (directAnnotation). ";9;"CCL2;CD93;G0S2;IL1RAP;KCNJ15;S100A10;S100A12;S100A8;VCAN"
"53";3,72;0,0991;"STAT5A (directAnnotation). ";6;"ELK3;KCNJ15;MGST1;RAB27A;S100A8;VCAN"
"54";3,7;0,0988;"STAT3 (directAnnotation). ";9;"ANPEP;ELK3;G0S2;KCNJ15;MGST1;RAB27A;S100A12;S100A8;VCAN"
"55";3,7;0,0988;"PDX1; RUNX3 (directAnnotation). ";7;"CDA;MCTP2;PROK2;RAB27A;SERPINA1;VCAN;VNN2"
"56";3,69;0,0985;"STAT1 (directAnnotation). ";12;"ASPH;CCL2;CCR1;ELK3;IL1RAP;KCNJ15;MCTP2;MGST1;RAB27A;S100A12;S100A8;VCAN"
"57";3,68;0,0985;"";7;"ASPH;CCL2;CCR1;G0S2;HPSE;S100A12;S100A8"
"58";3,68;0,0985;"NR4A1 (directAnnotation). ";6;"CCL2;G0S2;IL1RAP;KCNJ15;PPP1R3B;SERPINA1"
"59";3,68;0,0985;"ELF2 (directAnnotation). ";7;"IL1RAP;LRG1;PROK2;S100A12;S100A8;S100A9;SERPINA1"
"60";3,68;0,0984;"BCL6 (inferredBy_Orthology). ";5;"ELK3;KCNJ15;S100A10;S100A8;VCAN"
"61";3,67;0,0983;"";7;"ELK3;G0S2;IL1RAP;KCNJ15;S100A10;S100A8;VCAN"
"62";3,67;0,0982;"NR5A2 (directAnnotation). ";10;"ANPEP;CCL2;CCR1;CKAP4;ELK3;FOLR3;G0S2;GK5;S100A8;SERPINA1"
"63";3,67;0,0982;"STAT1 (directAnnotation). ";17;"ASPH;CCL2;CCR1;ELK3;G0S2;IL1RAP;KCNJ15;MCTP2;MGST1;RAB27A;RSPO3;S100A10;S100A12;S100A8;S100A9;SLC25A37;VCAN"
"64";3,66;0,098;"ELF3 (directAnnotation). ";7;"ELK3;G0S2;IL1RAP;KCNJ15;MCTP2;PPP1R3B;VCAN"
"65";3,66;0,098;"RUNX1 (directAnnotation). ";7;"ELK3;HPSE;KCNJ15;MAPK7;PPP1R3B;S100A10;S100A12"
"66";3,66;0,098;"NFAT5 (directAnnotation). ";6;"CCL2;KCNJ15;RAB27A;RSPO3;SERPINA1;VCAN"
"67";3,65;0,0979;"";6;"ASPH;KCNJ15;RSPO3;S100A12;SLC25A37;VCAN"
"68";3,65;0,0978;"STAT1 (directAnnotation). ";14;"ASPH;CCL2;CCR1;ELK3;IL1RAP;KCNJ15;MCTP2;MGST1;RAB27A;S100A10;S100A12;S100A8;S100A9;VCAN"
"69";3,64;0,0975;"ZNF587 (directAnnotation). ";6;"ELK3;KCNJ15;PPP1R3B;S100A10;S100A12;VCAN"
"70";3,63;0,0974;"ZNF355P (directAnnotation). ";14;"ANPEP;CD93;CES1;ELK3;GK5;KCNJ15;MCTP2;PLP2;PPP1R3B;RAB27A;S100A12;S100A8;TMEM158;VCAN"
"71";3,63;0,0974;"NFATC1 (directAnnotation). ";10;"CCL2;ELK3;FOLR3;KCNJ15;NRGN;PROK2;S100A10;SERPINA1;TMEM158;VCAN"
"72";3,62;0,0972;"GCM1; MAX (directAnnotation). ";8;"CCR1;CES1;HPSE;KCNJ15;S100A8;SERPINA1;TMEM158;TREM1"
"73";3,61;0,097;"";5;"CES1;ELK3;KCNJ15;NRGN;VCAN"
"74";3,61;0,097;"JUN (directAnnotation). ";4;"KCNJ15;MCTP2;RSPO3;VCAN"
"75";3,61;0,0969;"";7;"CCR1;CD93;KCNJ15;RAB27A;S100A8;TIMP1;VCAN"
"76";3,6;0,0969;"STAT3 (directAnnotation). ";18;"ANPEP;CCL2;CCR1;ELK3;G0S2;IL1RAP;KCNJ15;MCTP2;MGST1;PPP1R3B;RAB27A;RSPO3;S100A10;S100A12;S100A8;S100A9;SLC25A37;VCAN"
"77";3,59;0,0967;"";8;"ANPEP;CD93;IL1RAP;KCNJ15;PROK2;RAB27A;S100A12;TMEM158"
