"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,65;0,197;"POU1F1 (directAnnotation). ";14;"BMP2;CBARP;CCL22;CSRP2;EGR4;EHF;GCNT2;HOMER1;IGLON5;MMP10;SHF;ST18;TCHH;XIST"
"2";5,56;0,194;"";9;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;IL20;IRF4;ZDBF2"
"3";5,52;0,193;"";9;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;IL20;IRF4;ZDBF2"
"4";5,35;0,188;"";10;"CBARP;CCND2;CKB;CSRP2;EGR4;GEM;HOMER1;IL20;IRF4;ZDBF2"
"5";5,34;0,188;"";10;"CBARP;CCND2;CKB;CSRP2;EGR4;GEM;HOMER1;IL20;IRF4;ZDBF2"
"6";5,34;0,188;"";10;"CBARP;CCND2;CKB;CSRP2;EGR4;GEM;HOMER1;IL20;IRF4;ZDBF2"
"7";5,33;0,188;"";10;"CBARP;CCND2;CKB;CSRP2;EGR4;GEM;HOMER1;IL20;IRF4;ZDBF2"
"8";5,24;0,185;"";10;"CBARP;CCND2;CKB;CSRP2;EGR4;GEM;HOMER1;IL20;IRF4;ZDBF2"
"9";5,19;0,184;"CREB1 (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"10";5,12;0,182;"CREB1 (directAnnotation). ";9;"CBARP;CCND2;CKB;EGR4;GCNT2;GEM;HOMER1;IRF4;ZDBF2"
"11";5,11;0,182;"";8;"CBARP;CCND2;CKB;CSRP2;EGR4;HOMER1;IL20;IRF4"
"12";5,09;0,181;"";6;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1"
"13";5,08;0,181;"";6;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1"
"14";5,03;0,18;"";12;"CBARP;CCND2;CKB;CSRP2;EGR4;EHF;GCNT2;GEM;HOMER1;IL20;IRF4;ZDBF2"
"15";4,9;0,176;"XBP1 (inferredBy_Orthology). ";9;"ADCY3;BMP2;CALCRL;CCND2;EGR4;HOMER1;IGLON5;IRF4;ZDBF2"
"16";4,89;0,176;"ATF5; CREB3 (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"17";4,88;0,176;"";15;"BMP2;CALCRL;CBARP;CCND2;CKB;EGR4;EHF;GCNT2;GEM;HOMER1;IL20;IRF4;ST18;XIST;ZDBF2"
"18";4,88;0,176;"ATF1; ATF2; ATF3; ATF4; ATF5; ATF6; ATF7; CREB1; CREM (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"19";4,86;0,175;"CREB1 (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"20";4,84;0,174;"E4F1 (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;IRF4"
"21";4,82;0,174;"ATF2 (directAnnotation). ";6;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1"
"22";4,8;0,173;"CREB1 (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"23";4,71;0,171;"ATF1 (directAnnotation). ";8;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;IRF4;ZDBF2"
"24";4,68;0,17;"CREB1; CREM (directAnnotation). ";6;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1"
"25";4,67;0,17;"ATF2 (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"26";4,65;0,169;"CREB1; CREM (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"27";4,64;0,169;"E4F1 (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;IRF4"
"28";4,62;0,168;"CREB1 (directAnnotation). ";6;"CBARP;CCND2;EGR4;GEM;HOMER1;ZDBF2"
"29";4,58;0,167;"CREB1 (directAnnotation). ";6;"CBARP;CCND2;EGR4;GEM;HOMER1;ZDBF2"
"30";4,56;0,167;"ATF1 (directAnnotation). ";8;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;IRF4;ZDBF2"
"31";4,54;0,166;"CREM (directAnnotation). ";9;"CBARP;CCND2;CKB;CSRP2;EGR4;GEM;HOMER1;IRF4;ZDBF2"
"32";4,53;0,166;"";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"33";4,52;0,166;"";8;"ADCY3;BMP2;CBARP;CCND2;EGR4;GEM;HOMER1;ZDBF2"
"34";4,51;0,165;"CREM (inferredBy_Orthology). ";16;"BMP2;CALCRL;CBARP;CCND2;CKB;CSRP2;EGR4;EHF;GCNT2;GEM;HOMER1;IL20;IRF4;TCHH;XIST;ZDBF2"
"35";4,51;0,165;"";6;"BMP2;CCL22;EHF;GCNT2;IGLON5;TCHH"
"36";4,5;0,165;"CREB1 (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"37";4,49;0,165;"CREM (inferredBy_Orthology). ";15;"BMP2;CALCRL;CBARP;CCND2;CKB;CSRP2;EGR4;EHF;GCNT2;GEM;HOMER1;IL20;IRF4;TCHH;ZDBF2"
"38";4,46;0,164;"";13;"CBARP;CCND2;CKB;CSRP2;EGR4;EHF;GCNT2;GEM;HOMER1;IL20;IRF4;TCHH;ZDBF2"
"39";4,45;0,164;"";9;"AKAP12;ATP6V0D2;BMP2;CCND2;CKB;CSRP2;EHF;TCHH;TNFSF9"
"40";4,41;0,163;"ATF2 (directAnnotation). ";12;"CALCRL;CBARP;CCND2;CKB;CSRP2;EGR4;GEM;HOMER1;IL20;IRF4;ST18;ZDBF2"
"41";4,4;0,162;"ATF2; JUN (directAnnotation). ";18;"ADCY3;AKAP12;CALCRL;CBARP;CCND2;CKB;CSRP2;EGR4;EHF;GCNT2;GEM;HOMER1;IL20;P2RY10;SHF;ST18;TCHH;ZDBF2"
"42";4,38;0,162;"CREB1 (directAnnotation). ";6;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1"
"43";4,37;0,162;"POU3F2 (inferredBy_Orthology). ";7;"BMP2;CCL22;EHF;GCNT2;IGLON5;MMP10;TCHH"
"44";4,35;0,161;"";13;"CBARP;CCND2;CKB;CSRP2;EGR4;EHF;GCNT2;GEM;HOMER1;IL20;IRF4;TCHH;ZDBF2"
"45";4,31;0,16;"CREB1 (directAnnotation). ";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;ZDBF2"
"46";4,31;0,16;"SRF (directAnnotation). ";6;"AKAP12;EGR4;EHF;GEM;HOMER1;ST18"
"47";4,28;0,159;"CREB1 (directAnnotation). ";6;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1"
"48";4,28;0,159;"";8;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;IRF4;ZDBF2"
"49";4,27;0,159;"CREM (directAnnotation). ";13;"AKAP12;CBARP;CCND2;CKB;CSRP2;EHF;GCNT2;GEM;HOMER1;IL20;IRF4;ST18;ZDBF2"
"50";4,27;0,159;"";17;"BMP2;CALCRL;CBARP;CCND2;CKB;CSRP2;EGR4;GCNT2;GEM;HOMER1;IL20;IRF4;P2RY10;ST18;TCHH;XIST;ZDBF2"
"51";4,26;0,159;"POU5F1 (directAnnotation). ";14;"ADCY3;BMP2;CALCRL;CCL22;CSRP2;EGR4;EHF;GCNT2;IGLON5;IL20;MMP10;P2RY10;ST18;TCHH"
"52";4,25;0,158;"";7;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;IRF4"
"53";4,25;0,158;"";12;"ADCY3;AKAP12;BMP2;CBARP;CCND2;CSRP2;EHF;GCNT2;GNB5;HELLS;HOMER1;ZDBF2"
"54";4,22;0,157;"";12;"ADCY3;AKAP12;BMP2;CBARP;CCND2;CSRP2;EHF;GCNT2;GNB5;HELLS;HOMER1;ZDBF2"
"55";4,22;0,157;"SRF (directAnnotation). ";8;"AKAP12;EGR4;EHF;GEM;HOMER1;IL20;ST18;TCHH"
"56";4,22;0,157;"CREB1 (directAnnotation). ";14;"CBARP;CCND2;CKB;CSRP2;EGR4;EHF;GCNT2;GEM;HOMER1;IL20;IRF4;ST18;TCHH;ZDBF2"
"57";4,21;0,157;"";15;"ADCY3;BMP2;CALCRL;CBARP;CCL22;EGR4;EHF;GCNT2;IGLON5;MMP10;P2RY10;SHF;ST18;TCHH;XIST"
"58";4,19;0,156;"SRF (directAnnotation). ";8;"AKAP12;EGR4;EHF;GEM;HOMER1;IL20;ST18;TCHH"
"59";4,12;0,155;"CREB1 (inferredBy_Orthology). ";8;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1;IRF4;ZDBF2"
"60";4,11;0,154;"ATF2 (directAnnotation). ";12;"CBARP;CCND2;CKB;CSRP2;EGR4;GCNT2;GEM;HOMER1;IL20;IRF4;ST18;ZDBF2"
"61";4,11;0,154;"ATF2 (directAnnotation). ";6;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1"
"62";4,07;0,153;"E4F1 (directAnnotation). ";6;"CBARP;CCND2;CKB;EGR4;GEM;HOMER1"
"63";4,07;0,153;"";13;"CALCRL;CBARP;CCL22;EHF;GCNT2;GEM;IGLON5;MMP10;P2RY10;SHF;TCHH;XIST;ZDBF2"
"64";4,04;0,152;"POU2F1 (directAnnotation). ";7;"CCL22;EGR4;EHF;GCNT2;IGLON5;MMP10;TCHH"
"65";4,02;0,152;"REL; RELA; RELB (inferredBy_Orthology). ";7;"CCL22;CCND2;GCNT2;GEM;HELLS;SHF;ST18"
"66";4,01;0,152;"";8;"CBARP;CCND2;CKB;CSRP2;GEM;HOMER1;IRF4;ZDBF2"
"67";4,01;0,152;"ATF1 (directAnnotation). ";14;"CALCRL;CBARP;CCND2;CKB;CSRP2;EGR4;EHF;GCNT2;GEM;HOMER1;IL20;IRF4;ST18;ZDBF2"
"68";3,99;0,151;"";11;"ADCY3;AKAP12;BMP2;CBARP;CCND2;CSRP2;GCNT2;GNB5;HELLS;HOMER1;ZDBF2"
"69";3,96;0,15;"ATF1 (directAnnotation). ";16;"AKAP12;CALCRL;CBARP;CCND2;CKB;CSRP2;EGR4;EHF;GCNT2;GEM;GNB5;HOMER1;IL20;IRF4;ST18;ZDBF2"
"70";3,95;0,15;"";6;"CBARP;CCND2;CKB;EGR4;GEM;ZDBF2"
"71";3,95;0,15;"";13;"CALCRL;CBARP;CCL22;EHF;GCNT2;GEM;IGLON5;MMP10;P2RY10;SHF;TCHH;XIST;ZDBF2"
