"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";7,38;0,311;"NFKB1 (directAnnotation). POLD2 (inferredBy_Orthology). ";6;"GPR157;IL4I1;LIF;MMP14;MMP9;TNFRSF4"
"2";7,08;0,3;"REL (directAnnotation). ";7;"CSF2;IL4I1;LIF;MCOLN2;MMP9;NRP2;TNFRSF4"
"3";6,94;0,295;"RELA (directAnnotation). ";6;"IL4I1;LIF;MCOLN2;MMP14;MMP9;TNFRSF4"
"4";6,53;0,279;"RELA (directAnnotation). ";6;"FGFR1;IL4I1;LIF;MMP14;MMP9;TNFRSF4"
"5";6,5;0,278;"RELA (directAnnotation). ";6;"IL4I1;LIF;MCOLN2;MMP14;MMP9;TNFRSF4"
"6";6,39;0,274;"NFKB1; NFKB2; RELA (directAnnotation). POLD2; REL (inferredBy_Orthology). ";8;"CSF2;FGFR1;IL4I1;LIF;MCOLN2;MMP14;MMP9;TNFRSF4"
"7";6,33;0,272;"RELA (directAnnotation). ";8;"CSF2;GPR157;IL4I1;LIF;MCOLN2;MMP14;MMP9;TNFRSF4"
"8";6,29;0,27;"RELA (directAnnotation). ";9;"CCR7;CSF2;FGFR1;IL4I1;LIF;MCOLN2;MMP14;NRP2;TNFRSF4"
"9";5,97;0,258;"RELA (directAnnotation). ";6;"FGFR1;IL4I1;LIF;MMP14;MMP9;TNFRSF4"
"10";5,84;0,253;"RELA (directAnnotation). ";10;"CCR7;CSF2;FGFR1;GPR157;IL4I1;LIF;MCOLN2;MMP14;MMP9;TNFRSF4"
"11";5,79;0,251;"RELA (directAnnotation). ";5;"IL4I1;LIF;MCOLN2;MMP14;TNFRSF4"
"12";5,63;0,245;"RELA (directAnnotation). ";5;"IL4I1;LIF;MCOLN2;MMP14;TNFRSF4"
"13";5,63;0,245;"HIVEP1; HIVEP2; HIVEP3; ZNF831 (inferredBy_Orthology). ";6;"FGFR1;GPR157;IL4I1;LIF;MMP14;MMP9"
"14";5,61;0,245;"RELA (directAnnotation). ";8;"CCR7;CSF2;FGFR1;IL4I1;LIF;MCOLN2;MMP14;TNFRSF4"
"15";5,56;0,243;"NFKB1 (directAnnotation). POLD2; REL (inferredBy_Orthology). ";8;"CSF2;IL4I1;LIF;MMP14;MMP9;RHCG;TM4SF19;TNFRSF4"
"16";5,38;0,236;"NFKB2 (directAnnotation). ";12;"CSF2;FGFR1;GPR157;IL4I1;LIF;MCOLN2;MMP14;MMP9;NRP2;RHCG;TM4SF19;TNFRSF4"
"17";5,29;0,233;"RELA (directAnnotation). ";11;"CCR7;CSF2;FGFR1;IL4I1;LIF;MCOLN2;MMP14;MMP9;NRP2;TM4SF19;TNFRSF4"
