"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";4,64;0,222;"";12;"ARID3A;BCL11A;GFOD1;NFATC1;NFKBID;NR4A3;PRDM1;PRDM8;RASGRP3;SFMBT2;SLC16A6;UBASH3B"
"2";4,41;0,214;"POU3F2 (directAnnotation). ";12;"ADA;ARID3A;BCL11A;GFOD1;IL10;NFATC1;NR4A3;PRDM8;RASGRP3;TTYH2;UBASH3B;ZSCAN5A"
"3";4,4;0,213;"";10;"ARID3A;BCL11A;KDM6B;MAFF;NFATC1;NFKBID;NR4A3;PRDM8;SFMBT2;UBASH3B"
"4";4,09;0,203;"BCL11B (directAnnotation). ";9;"ARID3A;KDM6B;MMP19;PHLDB1;PRDM8;RASGRP3;REV3L;SFMBT2;ZSCAN5A"
"5";4,01;0,2;"";10;"ARID3A;BCL11A;EIF4E;GFOD1;MAFF;MMP19;NFATC1;NR4A3;PRDM8;UBASH3B"
"6";4;0,2;"TEAD1; TEAD2; TEAD3; TEAD4 (inferredBy_Orthology). ";12;"ARID3A;GFOD1;MAFF;NFATC1;NR4A3;PRDM1;RBBP8;REV3L;SFMBT2;SLC16A6;UBASH3B;ZSCAN5A"
"7";3,99;0,199;"SMAD1; SMAD5; SMAD9 (inferredBy_Orthology). ";12;"BCL11A;CCDC71L;CDK1;EIF4E;LPXN;NR4A3;PRDM1;PRDM8;RASGRP3;REV3L;SFMBT2;UBASH3B"
"8";3,98;0,199;"";11;"ARID3A;BCL11A;EIF4E;GFOD1;MAFF;MMP19;NFATC1;NR4A3;PRDM8;TIPARP;UBASH3B"
"9";3,97;0,199;"SMAD1; SMAD5; SMAD9 (inferredBy_Orthology). ";11;"BCL11A;CCDC71L;CDK1;EIF4E;NR4A3;PRDM1;PRDM8;RASGRP3;REV3L;SFMBT2;UBASH3B"
"10";3,95;0,198;"DBP; HLF; TEF (inferredBy_Orthology). ";10;"ARID3A;BCL11A;CDK1;INSIG1;NFATC1;NR4A3;PRDM8;SFMBT2;SLC16A6;UBASH3B"
