"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";8,44;0,222;"REL (directAnnotation). ";17;"BIRC3;CCL20;CD40;CXCL2;CXCL3;DENND4A;E2F7;HEY1;ICAM1;IL1R1;IL6;MAPK6;MIR3142HG;NUMB;PIM1;SGPP2;TNFRSF9"
"2";8,15;0,215;"REL (directAnnotation). ";20;"ABCA1;BIRC3;CCL20;CD40;CXCL2;CXCL3;DENND4A;E2F7;HEY1;ICAM1;IL1R1;IL6;MAPK6;MGLL;MIR3142HG;NUMB;PIM1;SAV1;SGPP2;TNFRSF9"
"3";8,09;0,214;"REL (directAnnotation). ";19;"BIRC3;CCL20;CD40;CXCL2;CXCL3;DENND4A;E2F7;HEY1;ICAM1;IL1R1;IL6;MAPK6;MGLL;MIR3142HG;NUMB;PIM1;SAV1;SGPP2;TNFRSF9"
"4";8,05;0,213;"REL (directAnnotation). ";19;"BIRC3;CCL20;CD40;CXCL2;CXCL3;DENND4A;E2F7;HEY1;ICAM1;IL1R1;IL6;MAPK6;MGLL;MIR3142HG;NUMB;PIM1;SAV1;SGPP2;TNFRSF9"
"5";7,21;0,195;"RELA (directAnnotation). ";11;"BIRC3;CD40;CXCL2;CXCL3;HEY1;ICAM1;IL1R1;IL6;MAPK6;MIR3142HG;TNFRSF9"
"6";7,16;0,193;"";18;"ABCA5;BIRC3;CCL20;CD40;CXCL2;CXCL3;DENND4A;E2F7;ICAM1;IL1R1;IL6;MGLL;MIR3142HG;NUMB;PIM1;SGPP2;STAT4;TNFRSF9"
"7";7,07;0,192;"REL; RELA; RELB (inferredBy_Orthology). ";15;"ABCA5;BIRC3;CCL20;CD40;CXCL2;CXCL3;ICAM1;IL1R1;IL23A;MAPK6;MIR3142HG;NCR3LG1;SAV1;SGPP2;TNFRSF9"
"8";6,98;0,189;"RELA (directAnnotation). ";17;"BIRC3;CD40;CD83;CXCL2;CXCL3;DENND4A;E2F7;HEY1;ICAM1;IL1R1;IL6;MAPK6;MIR3142HG;NUMB;SAV1;SGPP2;TNFRSF9"
"9";6,87;0,187;"RELA (directAnnotation). ";15;"BIRC3;CD40;CXCL2;CXCL3;DENND4A;E2F7;HEY1;ICAM1;IL1R1;IL6;MAPK6;MIR3142HG;NUMB;SAV1;TNFRSF9"
"10";6,69;0,183;"RELA (directAnnotation). ";12;"BIRC3;CD40;CXCL2;CXCL3;DENND4A;HEY1;ICAM1;IL1R1;IL6;MAPK6;MIR3142HG;TNFRSF9"
"11";6,62;0,181;"NFKB1 (inferredBy_Orthology). ";10;"BIRC3;CD40;CD83;CXCL2;CXCL3;ICAM1;IL1R1;IL6;MIR3142HG;TNFRSF9"
