"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";6,51;0,149;"RELA (directAnnotation). ";42;"ACSL1;ADORA2A;BCL2A1;CD82;CDC42EP3;CDKN1A;DDX60L;DUSP6;EHD1;ELOVL7;FFAR2;FLNA;FLT1;GRAMD1A;HIVEP1;HIVEP2;IL1B;IL1RN;ITGB8;JAG1;KYNU;LAMB3;MAML2;NFAT5;NFKB1;OPTN;PALM2-AKAP2;PDE4DIP;PPARG;RALGDS;RIN2;SDC4;SLC2A6;SLCO4A1;SRC;STK26;TNFAIP2;TNIP1;TNIP3;TRAF1;ZC3H12C;ZNF697"
"2";6,38;0,147;"CEBPB (directAnnotation). ";26;"ACSL1;AQP9;BCAT1;CD44;CDKN1A;DRAM1;EHD1;FLNA;FLT1;ITGA5;JAG1;KCNJ2;KYNU;LUCAT1;MAP4K4;MEFV;PDE4DIP;PPARG;SDC4;SERPINB2;SLC2A6;TNFAIP8;TNIP1;TNIP3;USP12;ZC3H12C"
"3";6,38;0,147;"RELA (directAnnotation). ";19;"BCL2A1;CD82;FLNA;FLT1;HIVEP1;HIVEP2;IL1B;LAMB3;MAML2;NFAT5;NFKB1;PDE4DIP;PPARG;RALGDS;SLCO4A1;SRC;TNIP1;TRAF1;ZC3H12C"
"4";6,33;0,146;"RELA (directAnnotation). ";32;"ACSL1;BCL2A1;CD82;CDKN1A;DDX60L;DUSP6;FLT1;GRAMD1A;HIVEP1;HIVEP2;IL1B;IL1RN;ITGA5;ITGB8;JAG1;LAMB3;MAML2;NFAT5;NFKB1;OPTN;PALM2-AKAP2;PDE4DIP;PPARG;RALGDS;SLCO4A1;SRC;STK26;TNFAIP2;TNIP1;TRAF1;ZC3H12C;ZNF697"
"5";6,28;0,145;"RELA (directAnnotation). ";26;"ACSL1;BCL2A1;CD82;CDKN1A;FLNA;FLT1;HIVEP1;HIVEP2;IL1B;ITGB8;KYNU;LAMB3;MAML2;NFAT5;NFKB1;PDE4DIP;PPARG;RALGDS;SDC4;SLCO4A1;SRC;STK26;TNFAIP2;TNIP1;TRAF1;ZC3H12C"
"6";6,18;0,144;"RELA (directAnnotation). ";29;"ACSL1;BCL2A1;CD82;CDKN1A;DDX60L;DUSP6;FLNA;FLT1;GRAMD1A;HIVEP1;HIVEP2;IL1B;IL1RN;ITGA5;LAMB3;MAML2;NFAT5;NFKB1;OPTN;PDE4DIP;PPARG;RALGDS;RIN2;SLCO4A1;SRC;TNFAIP2;TNIP1;TRAF1;ZC3H12C"
"7";6,18;0,144;"RELA (directAnnotation). ";18;"BCL2A1;CD82;CDKN1A;FLNA;HIVEP1;HIVEP2;IL1B;KYNU;LAMB3;MAML2;NFKB1;PDE4DIP;PPARG;RALGDS;SRC;TNIP1;TRAF1;ZC3H12C"
"8";6,05;0,142;"RELA (directAnnotation). ";17;"BCL2A1;CD82;CDKN1A;FLNA;HIVEP1;HIVEP2;IL1B;KYNU;LAMB3;MAML2;NFKB1;PDE4DIP;RALGDS;SRC;TNIP1;TRAF1;ZC3H12C"
"9";5,97;0,14;"RELA (directAnnotation). ";43;"ACSL1;ADORA2A;BCL2A1;CD82;CDC42EP3;CDKN1A;DDX60L;DUSP6;FFAR2;FLNA;FLT1;FNDC3B;GRAMD1A;HIVEP1;HIVEP2;IL1B;IL1RN;ITGA5;ITGB8;IVNS1ABP;JAG1;KYNU;LAMB3;LUCAT1;MAML2;NFAT5;NFKB1;OPTN;PALM2-AKAP2;PDE4DIP;PPARG;RALGDS;RIN2;RNF19B;SDC4;SLC2A6;SLCO4A1;SRC;TNFAIP2;TNIP1;TNIP3;TRAF1;ZC3H12C"
"10";5,93;0,14;"RELA (directAnnotation). ";34;"ACSL1;BCL2A1;CD82;CDKN1A;DDX60L;DUSP6;EHD1;FLNA;FLT1;GRAMD1A;HIVEP1;HIVEP2;IL1B;IL1RN;ITGA5;KYNU;LAMB3;MAML2;NFAT5;NFKB1;OPTN;PALM2-AKAP2;PDE4DIP;PPARG;RALGDS;RIN2;SLC2A6;SLCO4A1;SRC;STK26;TNFAIP2;TNIP1;TRAF1;ZC3H12C"
