"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";4,68;0,132;"STAT1 (directAnnotation). ";19;"C1orf21;C1orf61;CCL5;CRIM1;DLL1;EDN1;ETS1;GLIS3;IDO1;IL7R;INHBA;ISG15;LINC01366;MET;RSAD2;SLC39A8;SSTR2;TIFA;ZC3HAV1"
"2";4,66;0,131;"IRF9 (directAnnotation). ";10;"C1orf21;CCL5;CD274;GALNT4;IDO1;ISG15;MPP6;RSAD2;SLC1A2;ZC3HAV1"
"3";4,51;0,128;"";13;"C1orf61;CNKSR3;CRIM1;EMP1;ETS1;GLIS3;IL36G;INHBA;MET;NDRG1;PPP1R17;PTGIR;SLC7A11"
"4";4,5;0,128;"";13;"ARID5B;CD80;CEMIP;EMP1;ETS1;INHBA;MPP6;MSC;SLAMF1;SLC1A2;SLC39A8;SSTR2;TNFSF15"
"5";4,49;0,128;"IRF8 (directAnnotation). ";21;"C1orf21;C1orf61;CCL5;CDKN2B;CNKSR3;CRIM1;EDN1;EMP1;ETS1;GLIS3;IDO1;INHBA;ISG15;LINC01366;MET;MPP6;SLC1A2;SLC39A8;SSTR2;TNFSF15;ZC3HAV1"
"6";4,48;0,128;"";14;"ARID5B;C1orf21;CEMIP;CNKSR3;EMP1;ETS1;GATA2;GBE1;GLIS3;INHBA;MET;PPP1R17;SLC7A11;TIFA"
"7";4,38;0,126;"BCL3; NFKB1 (directAnnotation). ";31;"ADAM19;ARID5B;C1orf21;CCL23;CCL5;CEMIP;CNKSR3;CXCL1;CXCL5;EMP1;GATA2;GCSAML;GGT5;GLIS3;IL7R;LINC01366;MPP6;MSANTD3;MSC;NDRG1;NEURL3;PLOD2;PTGIR;SLC1A2;SLC39A8;SSTR2;STEAP4;SUCNR1;TIFA;TNFSF15;ZC3HAV1"
"8";4,29;0,124;"IRF3 (directAnnotation). ";9;"C1orf61;CCL5;CD274;CRIM1;GLIS3;INHBA;ISG15;SPP1;ZC3HAV1"
"9";4,26;0,124;"IRF7 (directAnnotation). ";18;"C1orf21;C1orf61;CCL5;CD274;CDKN2B;CNKSR3;CRIM1;DLL1;EDN1;ETS1;GLIS3;IDO1;ISG15;MET;RSAD2;SLC39A8;TM4SF1;ZC3HAV1"
"10";4,26;0,124;"";16;"ARID5B;C1orf21;C1orf61;CCL18;CEMIP;EDN1;ETS1;GLIS3;MET;MSC;P2RX7;PLOD2;SLAMF1;SSTR2;STEAP4;TIFA"
"11";4,2;0,122;"NFATC3; ZEB1 (directAnnotation). ";21;"ARID5B;ARNT2;CD274;CD80;CNKSR3;CSF3;EDN1;ETS1;GATA2;GCSAML;GLIS3;IL36G;IL7R;MET;MMP1;NDRG1;NEURL3;SSTR2;STEAP4;TIFA;TNFSF15"
"12";4,2;0,122;"IRF3 (directAnnotation). ";10;"C1orf61;CCL5;CD274;CRIM1;GLIS3;INHBA;ISG15;SLC39A8;SPP1;ZC3HAV1"
"13";4,19;0,122;"RELA (directAnnotation). ";31;"ARID5B;C1orf21;CCL23;CCL5;CEMIP;CNKSR3;CXCL1;CXCL5;EMP1;GATA2;GCSAML;GGT5;GLIS3;IL36G;IL7R;LINC01366;MPP6;MSANTD3;MSC;NDRG1;NEURL3;PLOD2;PTGIR;SLC1A2;SLC39A8;SSTR2;STEAP4;SUCNR1;TIFA;TNFSF15;ZC3HAV1"
"14";4,18;0,122;"BACH2 (directAnnotation). ";12;"CEMIP;ETS1;GATA2;GLIS3;IL7R;MET;MSANTD3;NDRG1;PTGIR;SLC39A8;SSTR2;ZC3HAV1"
"15";4,17;0,122;"IRF9 (directAnnotation). ";12;"C1orf21;CCL5;CD274;EDN1;GALNT4;IDO1;ISG15;MPP6;RSAD2;SLC1A2;SLC39A8;ZC3HAV1"
