"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";14,4;0,436;"HSF2 (directAnnotation). ";15;"BAG3;CHORDC1;DNAJB1;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;OLIG2;SERPINH1;SLC5A3"
"2";14,1;0,427;"HSF1 (directAnnotation). ";14;"CHORDC1;DNAJB1;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;OLIG2;SERPINH1;SLC5A3"
"3";13,8;0,419;"HSF4 (directAnnotation). ";17;"BAG3;CHORDC1;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;OLIG2;SERPINH1;SLC5A3;ZFAND2A"
"4";13,7;0,417;"HSF4 (directAnnotation). ";17;"BAG3;CHORDC1;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;OLIG2;SERPINH1;SLC5A3;ZFAND2A"
"5";13,7;0,415;"HSF2 (directAnnotation). ";15;"BAG3;CHORDC1;DNAJB1;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;OLIG2;SERPINH1;SLC5A3"
"6";13,7;0,415;"HSF1 (directAnnotation). ";17;"BAG3;CHORDC1;CSF1;DNAJA4;DNAJB1;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;OLIG2;SERPINH1;SLC5A3"
"7";13,5;0,41;"";12;"CHORDC1;DNAJA4;DNAJB1;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;SERPINH1;SLC5A3"
"8";13,4;0,408;"HSF1; HSF2; HSF4 (inferredBy_Orthology). ";14;"BAG3;CHORDC1;DNAJB1;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;SERPINH1;SLC5A3"
"9";13,4;0,408;"HSF4 (directAnnotation). ";15;"BAG3;CHORDC1;DNAJB1;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;OLIG2;SERPINH1;SLC5A3"
"10";13,4;0,407;"HSF1 (directAnnotation). ";15;"CHORDC1;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;OLIG2;SERPINH1;SLC5A3"
"11";13,4;0,406;"HSF1 (directAnnotation). ";15;"CHORDC1;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG1;OLIG2;SERPINH1;SLC5A3"
"12";12,8;0,391;"HSF1 (directAnnotation). ";12;"BAG3;DNAJB1;HSP90AA1;HSPA1A;HSPA1B;HSPB1;HSPD1;HSPH1;IER5;OLIG1;SERPINH1;SLC5A3"
"13";12,8;0,389;"HSF1; HSF2; HSF4 (inferredBy_Orthology). ";12;"CHORDC1;DNAJB1;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;SERPINH1;SLC5A3"
