"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,88;0,255;"TBP (inferredBy_Orthology). ";7;"BNIP3;BNIP3L;CA2;KDM5B;P4HA1;SCD;TNS1"
"2";5,68;0,248;"";4;"BNIP3L;ENO2;KDM5B;LDHA"
"3";5,46;0,24;"GATA1; GATA2; GATA3; GATA4; GATA5; GATA6; TRPS1 (inferredBy_Orthology). ";4;"BNIP3L;CA2;KDM5B;TNS1"
"4";5,29;0,233;"TBP (directAnnotation). ";5;"BNIP3;CA2;KDM5B;P4HA1;TNS1"
"5";5,27;0,233;"GATA2 (directAnnotation). ";5;"BNIP3L;CA2;KDM5B;P4HA1;TNS1"
"6";5,17;0,229;"STAT1; USF2 (directAnnotation). ";3;"KDM5B;SCD;SH2D3A"
"7";5,16;0,229;"TAF7; TBP (directAnnotation). ";6;"BNIP3;BNIP3L;CA2;KDM5B;P4HA1;TNS1"
"8";5;0,223;"";4;"GPRC5A;LDHA;SCD;TNS1"
"9";4,99;0,222;"HSF1; HSF2; HSF4 (inferredBy_Orthology). ";4;"BNIP3L;CA2;ERO1A;TNS1"
"10";4,97;0,222;"ZNF121 (directAnnotation). ";8;"BNIP3L;ERO1A;FCGR2B;GPRC5A;KDM5B;P4HA1;SCD;SH2D3A"
"11";4,93;0,22;"GATA2 (directAnnotation). ";6;"BNIP3L;CA2;KDM5B;P4HA1;SLC2A3;TNS1"
"12";4,93;0,22;"ETS1; YY1 (directAnnotation). ";5;"BNIP3L;FCGR2B;KDM5B;SCD;TNS1"
"13";4,86;0,218;"HSF1; HSF2; HSF4 (inferredBy_Orthology). ";4;"BNIP3L;CA2;ERO1A;TNS1"
"14";4,73;0,213;"ETV2; GSC2 (directAnnotation). ";4;"BNIP3L;KDM5B;LDHA;TNS1"
"15";4,64;0,209;"";4;"CA2;P4HA1;SCD;TNS1"
"16";4,53;0,205;"TBP (directAnnotation). ";4;"CA2;P4HA1;SCD;TNS1"
"17";4,53;0,205;"DLX3; ETV2 (directAnnotation). ";4;"BNIP3L;LDHA;RRAD;TNS1"
"18";4,34;0,198;"";4;"BNIP3L;GPRC5A;LDHA;TNS1"
"19";4,33;0,198;"";4;"BNIP3L;CA2;RRAD;TNS1"
"20";4,24;0,195;"ZBTB33 (directAnnotation). ";3;"CA2;GPRC5A;TNS1"
"21";4,23;0,194;"GATA1; GATA2; GATA3; GATA4; GATA5; GATA6; TRPS1 (inferredBy_Orthology). ";3;"BNIP3L;CA2;KDM5B"
"22";4,23;0,194;"GATA1; GATA2; GATA3; GATA4; GATA5; GATA6; TRPS1 (inferredBy_Orthology). ";3;"BNIP3L;CA2;KDM5B"
"23";4,2;0,193;"";7;"BNIP3;BNIP3L;GPRC5A;LDHA;P4HA1;RRAD;TNS1"
"24";4,2;0,193;"";6;"BNIP3L;FCGR2B;GPRC5A;LDHA;P4HA1;SH2D3A"
"25";4,19;0,193;"JUN (directAnnotation). ";6;"BNIP3L;GPRC5A;LDHA;RRAD;SCD;TNS1"
"26";4,19;0,193;"BACH1; BACH2; FOXG1; FOXO1; MAF; MAFB; MAFF; MAFG; MAFK; NFE2; NFE2L1; NFE2L2; NFE2L3 (directAnnotation). ";7;"BNIP3L;FCGR2B;GPRC5A;KDM5B;P4HA1;SCD;TNS1"
"27";4,16;0,192;"";4;"BNIP3L;KDM5B;LDHA;P4HA1"
"28";4,11;0,19;"";4;"ERO1A;FCGR2B;P4HA1;TNS1"
"29";4,1;0,19;"";4;"BNIP3L;GPRC5A;LDHA;TNS1"
"30";4,08;0,189;"FOXJ3 (directAnnotation). ";6;"ERO1A;FCGR2B;GPRC5A;SCD;SLC2A3;TNS1"
"31";4,06;0,188;"TBX15 (directAnnotation). ";4;"BNIP3L;P4HA1;RRAD;SH2D3A"
"32";4,06;0,188;"ZNF683 (inferredBy_Orthology). ";4;"BNIP3L;SCD;SH2D3A;TNS1"
"33";4,06;0,188;"FOXJ3 (directAnnotation). ";6;"ERO1A;FCGR2B;GPRC5A;SCD;SLC2A3;TNS1"
"34";4,05;0,188;"ZNF527 (directAnnotation). ";4;"BNIP3;BNIP3L;ERO1A;SCD"
"35";4,04;0,187;"";4;"ENO2;GPRC5A;SCD;TNS1"
"36";4,02;0,187;"TBP (directAnnotation). ";6;"BNIP3;CA2;GPRC5A;P4HA1;SCD;TNS1"
"37";3,99;0,185;"ZNF208 (directAnnotation). ";4;"BNIP3L;ENO2;KDM5B;TNS1"
"38";3,98;0,185;"MXI1 (directAnnotation). ";3;"BNIP3L;LDHA;TNS1"
"39";3,98;0,185;"SOX9; SRY (directAnnotation). ";3;"CA2;KDM5B;TNS1"
"40";3,97;0,185;"ZNF683 (inferredBy_Orthology). ";4;"BNIP3L;SCD;SH2D3A;TNS1"
"41";3,95;0,184;"";4;"BNIP3L;GPRC5A;LDHA;TNS1"
"42";3,93;0,183;"CREM (directAnnotation). ";9;"BNIP3L;CA2;FCGR2B;GPRC5A;KDM5B;LDHA;RRAD;SCD;TNS1"
"43";3,93;0,183;"";4;"BNIP3L;GPRC5A;LDHA;TNS1"
"44";3,93;0,183;"ATF2 (directAnnotation). ";4;"BNIP3L;GPRC5A;LDHA;TNS1"
"45";3,93;0,183;"HSF1; HSF2; HSF4 (inferredBy_Orthology). ";4;"BNIP3L;CA2;KDM5B;TNS1"
"46";3,92;0,183;"ATF1 (inferredBy_Orthology). ";4;"BNIP3L;GPRC5A;LDHA;TNS1"
