"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";6,91;0,122;"SPIB (inferredBy_Orthology). ";14;"AOAH;CD36;DNASE2;FGD2;HNMT;HRH2;ITGA4;LRRC25;METTL7A;MPEG1;NCF4;PRAM1;RCAN1;SIGLEC10"
"2";6,85;0,121;"SPIB (directAnnotation). ";14;"AOAH;CD36;DNASE2;FGD2;HNMT;HRH2;ITGA4;LRRC25;METTL7A;MPEG1;NCF4;PRAM1;RCAN1;SIGLEC10"
"3";6,7;0,119;"SPI1 (directAnnotation). ";13;"CD36;DNASE2;FGD2;HNMT;ITGA4;KCNK6;LRRC25;METTL7A;MPEG1;NCF4;RCAN1;SIGLEC10;SIGLEC12"
"4";6,63;0,118;"SPI1 (directAnnotation). ";16;"CD36;DNASE2;FGD2;HNMT;ITGA4;ITM2B;KCNK6;KLF9;LRRC25;METTL7A;MPEG1;NCF4;PRAM1;RCAN1;SIGLEC10;SIGLEC12"
"5";6,59;0,117;"EP300 (directAnnotation). ";19;"CD36;DNASE2;FGD2;HNMT;IFNGR1;ITGA4;ITM2B;KCNK6;KLF9;METTL7A;MPEG1;NCF4;NCOA7;PPT1;PRAM1;RCAN1;SAMHD1;SIGLEC10;SIGLEC12"
"6";6,58;0,117;"SPI1 (directAnnotation). ";12;"CD36;DNASE2;FGD2;HNMT;KCNK6;KLF9;METTL7A;MPEG1;NCF4;PRAM1;RCAN1;SIGLEC10"
"7";6,48;0,116;"SPI1 (directAnnotation). ";16;"AOAH;CD36;DNASE2;FGD2;HNMT;HRH2;ITGA4;KCNK6;LRRC25;METTL7A;MPEG1;NCF4;PRAM1;RCAN1;SIGLEC10;TBXAS1"
"8";6,48;0,116;"IRF4; SPI1 (directAnnotation). ";12;"CD36;DNASE2;FGD2;HNMT;ITGA4;LRRC25;METTL7A;MPEG1;NCF4;RCAN1;SIGLEC10;SIGLEC12"
"9";6,31;0,113;"SPIB (directAnnotation). ";22;"ADAP2;AOAH;CD36;DNASE2;F13A1;FGD2;HNMT;HRH2;ITGA4;LRRC25;MARCH1;METTL7A;MPEG1;MS4A4A;NCF4;NFIA;P2RY13;PRAM1;RCAN1;SIGLEC10;SIGLEC12;TBXAS1"
"10";6,23;0,112;"SPIB (directAnnotation). ";13;"AOAH;CD36;FGD2;HNMT;ITGA4;LRRC25;METTL7A;MPEG1;NCF4;PRAM1;RCAN1;SIGLEC10;TBXAS1"
"11";6,09;0,11;"SPI1 (directAnnotation). ";15;"AOAH;FGD2;HLA-DMA;HNMT;IFNGR1;KCNK6;METTL7A;MPEG1;MS4A4A;NCF4;P2RY13;PRAM1;RCAN1;SIGLEC10;TBXAS1"
"12";6,04;0,11;"SPIB (directAnnotation). ";22;"ADAP2;AOAH;CD36;DNASE2;F13A1;FGD2;HNMT;IFNGR1;ITGA4;KLF9;MARCH1;METTL7A;MPEG1;NCF4;NFIA;P2RY13;PRAM1;PRKAG2-AS1;RCAN1;SIGLEC10;SIGLEC12;TBXAS1"
"13";5,94;0,108;"SPI1 (directAnnotation). ";21;"AOAH;ATOX1;CD36;DNASE2;FGD2;HNMT;HRH2;ITGA4;ITM2B;KCNK6;KLF9;LRRC25;METTL7A;MPEG1;NCF4;P2RY13;PRAM1;RCAN1;SAMHD1;SIGLEC10;SIGLEC12"
"14";5,9;0,108;"BCL11A (directAnnotation). ";12;"CD36;DNASE2;FGD2;HNMT;KCNK6;KLF9;METTL7A;MPEG1;NCF4;PRAM1;SIGLEC10;SIGLEC12"
"15";5,81;0,106;"IRF4 (directAnnotation). ";11;"CD36;DNASE2;FGD2;KCNK6;KLF9;LRRC25;METTL7A;MPEG1;NCF4;SIGLEC10;SIGLEC12"
"16";5,76;0,106;"SPIB (directAnnotation). ";15;"AOAH;CD36;FGD2;ITGA4;KCNK6;KLF9;LRRC25;MARCH1;MPEG1;NCF4;NCOA7;RCAN1;RPN2;SIGLEC12;TBXAS1"
"17";5,71;0,105;"SPI1 (directAnnotation). ";12;"F13A1;FGD2;HNMT;ITGA4;LRRC25;MARCH1;MPEG1;NCF4;NFIA;PRAM1;SIGLEC12;TBXAS1"
"18";5,65;0,104;"SPIB (directAnnotation). ";16;"CD36;F13A1;FGD2;ITGA4;KCNK6;LRRC25;MARCH1;MPEG1;NCF4;NCOA7;PRAM1;RAD51C;RCAN1;RPN2;SIGLEC12;TBXAS1"
"19";5,62;0,104;"";16;"CD36;F13A1;FGD2;ITGA4;KCNK6;LRRC25;MARCH1;MPEG1;NCF4;NCOA7;PRAM1;RAD51C;RCAN1;RPN2;SIGLEC12;TBXAS1"
"20";5,6;0,103;"FOXM1 (directAnnotation). ";11;"CD36;FGD2;HNMT;KCNK6;METTL7A;MPEG1;NCF4;NCOA7;RCAN1;SIGLEC10;SIGLEC12"
"21";5,52;0,102;"SPIB (directAnnotation). ";11;"CD36;DNASE2;F13A1;FGD2;HNMT;HRH2;ITGA4;METTL7A;MPEG1;NCF4;TBXAS1"
"22";5,49;0,102;"SPI1 (directAnnotation). ";17;"AOAH;CD36;DNASE2;FGD2;HNMT;ITGA4;KCNK6;KLF9;LRRC25;METTL7A;MPEG1;NCF4;PRAM1;RCAN1;SIGLEC10;SIGLEC12;TBXAS1"
"23";5,49;0,102;"SPI1 (directAnnotation). ";11;"FGD2;ITGA4;KCNK6;LRRC25;MARCH1;MPEG1;NCF4;NCOA7;PRAM1;SIGLEC12;TBXAS1"
"24";5,41;0,101;"SPI1 (directAnnotation). ";17;"AOAH;CD36;FGD2;HNMT;HRH2;ITGA4;KCNK6;LRRC25;MARCH1;METTL7A;MPEG1;NCF4;PRAM1;RCAN1;SAMHD1;SIGLEC10;TBXAS1"
"25";5,32;0,0994;"IKZF1 (directAnnotation). ";12;"CD36;DNASE2;FGD2;HNMT;KCNK6;METTL7A;MPEG1;NCF4;NCOA7;PRAM1;RCAN1;SIGLEC10"
"26";5,3;0,0991;"SPI1 (inferredBy_Orthology). ";18;"CD36;DNASE2;F13A1;FABP5;FGD2;HNMT;HRH2;ITGA4;LRRC25;METTL7A;MPEG1;NCF4;NCOA7;NFIA;PRAM1;SIGLEC12;TBXAS1;TSPAN4"
"27";5,14;0,0969;"SPI1 (directAnnotation). ";16;"ADAP2;AOAH;FGD2;HLA-DMA;HNMT;IFNGR1;KCNK6;METTL7A;MPEG1;MS4A4A;NCF4;P2RY13;PRAM1;RCAN1;SIGLEC10;TBXAS1"
"28";5,11;0,0965;"SPIB (directAnnotation). ";26;"ADAP2;AOAH;CD36;DNASE2;F13A1;FGD2;HLA-DMA;HNMT;IFNGR1;ITGA4;KCNK6;KLF9;LRRC25;MARCH1;METTL7A;MPEG1;MS4A4A;NCF4;NFIA;P2RY13;PRAM1;RAD51C;RCAN1;SIGLEC10;SIGLEC12;TBXAS1"
"29";4,99;0,0948;"PAX3 (directAnnotation). ";27;"ADAP2;AOAH;C1orf56;CD302;CD36;CHCHD10;CTSA;CTSD;FABP5;FCGRT;GABARAPL1;HBEGF;HNMT;IFNGR1;ITGA4;LRRC25;METTL7A;MS4A6A;NCOA7;NFIA;NPC2;PPT1;RCAN1;SIGLEC10;SIGLEC12;TESC;YWHAH"
"30";4,94;0,0941;"";26;"ADAP2;AOAH;CD36;DNASE2;F13A1;FGD2;HLA-DMA;HNMT;IFNGR1;ITGA4;KCNK6;KLF9;LRRC25;MARCH1;METTL7A;MPEG1;MS4A4A;NCF4;NFIA;P2RY13;PRAM1;PRKAG2-AS1;RAD51C;RCAN1;SIGLEC10;TBXAS1"
"31";4,94;0,0941;"IRF8 (directAnnotation). ";9;"CD36;DNASE2;FGD2;KCNK6;METTL7A;MPEG1;NCF4;NCOA7;SIGLEC10"
"32";4,9;0,0935;"SPI1 (inferredBy_Orthology). ";22;"AOAH;CD36;DNASE2;FGD2;HLA-DMA;HNMT;HRH2;ITGA4;KCNK6;KLF9;LRRC25;MARCH1;METTL7A;MPEG1;NCF4;NCOA7;PRAM1;RCAN1;SAMHD1;SIGLEC10;TBXAS1;TSPAN4"
"33";4,88;0,0933;"";13;"CD36;F13A1;IFNGR1;ITM2B;MARCH1;MIS18BP1;NCF4;NFIA;PDCL3;SAMHD1;TBXAS1;TMEM170B;YWHAH"
"34";4,83;0,0926;"";9;"CD36;CTSA;DNASE2;FABP5;FCGRT;ITGA4;ITM2B;METTL7A;RCAN1"
"35";4,8;0,0921;"SPIC (inferredBy_Orthology). ";24;"ADAP2;AOAH;CD36;DNASE2;F13A1;FCGRT;FGD2;HLA-DMA;HNMT;HRH2;IFNGR1;ITGA4;KCNK6;MARCH1;METTL7A;MPEG1;MS4A4A;NCF4;NFIA;P2RY13;RAD51C;RCAN1;SIGLEC10;TBXAS1"
"36";4,8;0,0921;"SPI1 (inferredBy_Orthology). ";26;"AOAH;CD36;DNASE2;FGD2;HLA-DMA;HNMT;HRH2;ITGA4;KCNK6;KLF9;LRRC25;MARCH1;METTL7A;MPEG1;NCF4;NCOA7;PRAM1;PRKAG2-AS1;RAD51C;RCAN1;RPN2;SAMHD1;SIGLEC10;SIGLEC12;TBXAS1;TSPAN4"
"37";4,76;0,0916;"EP300 (directAnnotation). ";10;"CD36;DRAM2;FGD2;HNMT;METTL7A;MPEG1;NCF4;PRAM1;RCAN1;SIGLEC10"
