"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";6,08;0,107;"ETV1; ETV4; ETV5 (inferredBy_Orthology). ";118;"ACAA1;ANAPC11;ANAPC16;AP2S1;ARPC3;BANF1;BTF3;C17orf49;C1QBP;C7orf50;C9orf16;CAMK1;CCT7;CIB1;CLNS1A;CLTA;CMC1;COMMD6;CORO1B;COX14;COX4I1;COX5B;COX7C;DAD1;DBNL;DCTN3;DDT;ECH1;EEF1B2;EIF3D;EIF3F;EIF3G;EIF3M;ERH;FIS1;GDI2;GTF2A2;GTF3A;HCST;HIGD2A;LAMTOR1;LAMTOR2;LAMTOR4;LEPROTL1;LSM3;LSM5;LST1;MDH1;MDH2;MGST3;MIF4GD;MRPL21;MRPL3;MRPL40;MRPS21;MRPS34;MRPS36;NAA10;NAA38;NACA;NDUFA1;NDUFA13;NDUFA4;NDUFB5;NDUFB7;NDUFS3;NDUFS5;NDUFV1;NEDD8;NHP2;NME1;NME2;NT5C;NUDT1;OSTC;PA2G4;PARL;PHB2;POLD4;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;RACK1;RGS19;RNH1;RWDD1;SDHB;SDHD;SLIRP;SMIM19;SMIM20;SNRPD1;SNRPD2;SNRPE;SNU13;SUPT4H1;TIMM10;TIMM8B;TMEM14B;TMEM230;TMEM258;TOMM22;TOMM5;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;TXNDC17;UFC1;UQCR11;UQCRH;UQCRQ;UXT;WDR83OS;ZNF593"
"2";6,04;0,107;"ELF1 (directAnnotation). ";124;"ACAA1;ANAPC11;ANAPC16;AP2S1;ARPC3;BANF1;BCKDHA;BTF3;C17orf49;C19orf53;C1QBP;C20orf27;C9orf16;CCT7;CLNS1A;CLTA;CMC1;COA4;COMMD6;COX14;COX4I1;COX5B;COX7A2L;CUTA;DAD1;DBNL;DCTN3;DDT;ECH1;EEF1B2;EIF3D;EIF3G;EIF3K;EIF3M;ERH;FIS1;GADD45GIP1;GDI2;GTF2A2;GTF3A;HIGD2A;HMGN1;LAMTOR1;LAMTOR4;LEPROTL1;LSM3;LSM5;MDH1;MGMT;MRPL21;MRPL3;MRPL40;MRPS21;MRPS34;MRPS36;NAA38;NACA;NDUFA1;NDUFA13;NDUFA4;NDUFB5;NDUFB7;NDUFS3;NDUFS5;NDUFS7;NDUFV1;NEDD8;NHP2;NME1;NME2;NT5C;NUDT1;OSTC;PA2G4;PARL;PHB2;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;RAB20;RACK1;RGS19;RWDD1;SAP30;SDHB;SDHD;SLIRP;SMIM19;SMIM20;SNHG6;SNRPD1;SNRPD2;SNRPE;SNRPF;SNU13;SPINT2;SRSF9;SUCLG1;SUPT4H1;TIMM10;TIMM8B;TMEM219;TMEM230;TMEM258;TMEM59;TOMM22;TOMM5;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;TXNDC17;UBE2L6;UFC1;UQCR11;UQCRFS1;UQCRH;UQCRQ;UXT;WDR83OS;ZNF593"
"3";5,96;0,106;"ETV1; ETV4; ETV5 (inferredBy_Orthology). ";92;"ANAPC11;AP2S1;ARPC3;BANF1;BTF3;C17orf49;C1QBP;CCT7;CLNS1A;CLTA;COX14;COX4I1;COX5B;COX7C;DAD1;DBNL;DCTN3;DDT;ECH1;EEF1B2;EIF3D;EIF3G;EIF3M;ERH;FIS1;GDI2;GTF2A2;HCST;HMGN1;LAMTOR1;LAMTOR4;LEPROTL1;LSM3;LSM5;LST1;MDH1;MRPL3;MRPL40;MRPS21;MRPS34;NAA10;NACA;NDUFA1;NDUFA13;NDUFB5;NDUFB7;NDUFS3;NEDD8;NME1;NME2;NT5C;NUDT1;OSTC;PARL;PHB2;POLD4;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;RACK1;RGS19;SDHB;SDHD;SLIRP;SMIM19;SMIM20;SNRPD1;SNRPD2;SNRPE;SNU13;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM258;TOMM22;TOMM5;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;TXNDC17;UFC1;UQCR11;UQCRH;UQCRQ;UXT;WDR83OS;ZNF593"
"4";5,86;0,104;"ELF1 (directAnnotation). ";119;"ACAA1;ANAPC11;ANAPC16;AP2S1;APBB1IP;ARHGDIB;ARPC1B;ARPC3;ATP6V0E1;BANF1;BCKDHA;BTF3;C17orf49;C1QBP;C9orf16;CCT7;CLNS1A;CLTA;CLTB;CMC1;COA4;COMMD6;CORO1B;COX14;COX4I1;COX5B;COX7C;CUTA;DAD1;DBNL;DCTN3;DDT;ECH1;EEF1B2;EIF3D;EIF3G;EIF3K;EIF3M;ERH;FIS1;GDI2;GTF2A2;GTF3A;HCST;HMGN1;HMGN2;KRTCAP2;LAMTOR1;LAMTOR4;LEPROTL1;LSM3;LSM5;LST1;MDH1;MGMT;MRPL21;MRPL3;MRPL40;MRPS21;MRPS34;NACA;NDUFA1;NDUFA13;NDUFB4;NDUFB5;NDUFB7;NDUFS3;NDUFS7;NDUFV1;NEDD8;NHP2;NME1;NME2;NT5C;NUDT1;PARL;PHB2;PKN1;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;PYCARD;RAB20;RAB32;RACK1;RGS19;RWDD1;SDHB;SDHD;SLIRP;SMIM20;SNRPD1;SNRPD2;SNRPE;SNRPF;SNU13;SUCLG1;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM22;TOMM5;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;TXNDC17;UQCR11;UQCRH;UQCRQ;UXT;VAMP8;WDR83OS;ZNF593"
"5";5,85;0,104;"TAF1 (directAnnotation). ";98;"ANAPC11;ANAPC16;AP2S1;ARPC3;BANF1;BCKDHA;BTF3;C17orf49;CCT7;CLNS1A;CLTA;CMC1;COMMD6;COX14;COX4I1;COX5B;COX7C;CUTA;DAD1;DBNL;DCTN3;DDT;ECH1;EEF1B2;EIF3D;EIF3F;EIF3G;EIF3K;EIF3M;ERH;FIS1;GDI2;GTF2A2;HIGD2A;HMGN1;LAMTOR4;LEPROTL1;LSM3;LSM5;MDH1;MRPL21;MRPL3;MRPL40;MRPS21;MRPS34;NACA;NDUFA1;NDUFA12;NDUFA13;NDUFA4;NDUFB5;NDUFB7;NDUFC1;NDUFS3;NDUFS7;NEDD8;NHP2;NME1;NME2;OSTC;PA2G4;PARL;PHB2;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;PYCARD;RAB20;RACK1;RWDD1;SDHB;SDHD;SLIRP;SMIM20;SNRPD1;SNRPE;SNRPF;SNU13;SRSF9;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM22;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;UBE2L6;UQCR11;UQCRH;UQCRQ;UXT;ZNF593"
"6";5,83;0,104;"ELF5 (directAnnotation). ";100;"ACAA1;AIF1;ANAPC16;AP2S1;ARHGDIB;ARPC1B;ARPC3;ATP6V0E1;BANF1;BTF3;C17orf49;CCT7;CEACAM4;CEBPD;CLNS1A;CLTA;CLTB;CMC1;COA4;COMMD6;CORO1B;COX14;COX5B;COX7C;CUTA;DBNL;DCTN3;DDT;EIF3D;EIF3F;EIF3G;EIF3K;EIF3M;FIS1;GDI2;GTF2A2;GTF3A;HMGN1;HMGN2;LAMTOR4;LEPROTL1;LSM3;LSM5;LST1;MDH1;MRPL21;MRPL3;MRPS21;MRPS36;NACA;NDUFA13;NDUFB5;NDUFB7;NDUFS3;NDUFS7;NEDD8;NHP2;NME1;NME2;OSTC;PARL;PHB2;PKN1;POLD4;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;PYCARD;RAB32;RACK1;RGS19;SDHB;SDHD;SLIRP;SMIM20;SNRPD2;SNRPE;SNU13;SUCLG1;SUPT4H1;TIMM10;TIMM8B;TMEM230;TMEM59;TOMM22;TOMM5;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;UQCR11;UQCRH;UQCRQ;UXT;VAMP8;WDR83OS;ZNF593"
"7";5,79;0,103;"GABPA (directAnnotation). ";127;"ACAA1;ANAPC11;ANAPC16;AP2S1;ARPC3;ATP6V0E1;BANF1;BCKDHA;BTF3;C17orf49;C19orf53;C1QBP;C20orf27;C9orf16;CCT7;CLNS1A;CLTA;CMC1;COA4;COMMD6;COX14;COX4I1;COX5B;COX7C;CUTA;DAD1;DBNL;DCTN3;DDT;ECH1;EEF1B2;EIF3D;EIF3F;EIF3G;EIF3K;EIF3M;ERH;FIS1;GADD45GIP1;GDI2;GTF2A2;GTF3A;HACD4;HIGD2A;HMGN1;LAMTOR1;LAMTOR4;LEPROTL1;LSM3;LSM5;MDH1;MDH2;MGMT;MIF4GD;MRPL21;MRPL3;MRPL40;MRPS21;MRPS34;MRPS36;NACA;NDUFA1;NDUFA13;NDUFA4;NDUFB5;NDUFB7;NDUFS3;NDUFS5;NDUFS7;NDUFV1;NEDD8;NHP2;NME1;NME2;NT5C;NUDT1;OSTC;PA2G4;PARL;PHB2;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;PYCARD;RAB20;RAB32;RACK1;RGS19;RWDD1;SDHB;SDHD;SEC11A;SLIRP;SMIM19;SMIM20;SNHG6;SNRPD1;SNRPD2;SNRPE;SNU13;SPINT2;SRSF9;SUCLG1;SUPT4H1;TIMM10;TIMM8B;TMEM219;TMEM230;TMEM258;TMEM59;TOMM22;TOMM5;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;TXNDC17;UFC1;UQCR11;UQCRH;UQCRQ;UXT;WDR83OS;ZNF593"
"8";5,78;0,103;"POLR2A (directAnnotation). ";124;"ACAA1;ANAPC11;ANAPC16;AP2S1;ARPC3;ATP6V0E1;BANF1;BCKDHA;BTF3;C17orf49;C19orf53;C1QBP;C20orf27;C9orf16;CCT7;CLNS1A;CLTA;CMC1;COA4;COMMD6;COX14;COX4I1;COX5B;COX7A2L;COX7C;CUTA;DAD1;DBNL;DCTN3;DDT;DUSP23;ECH1;EEF1B2;EIF3D;EIF3F;EIF3G;EIF3K;EIF3M;ERH;FIS1;GDI2;GTF2A2;GTF3A;HMGN2;LAMTOR1;LAMTOR4;LEPROTL1;LSM3;LSM5;MDH1;MDH2;MGMT;MIF4GD;MRPL21;MRPL3;MRPL40;MRPS21;MRPS34;MRPS36;NACA;NDUFA1;NDUFA13;NDUFB5;NDUFB7;NDUFC1;NDUFS3;NDUFS7;NDUFS8;NEDD8;NHP2;NME1;NME2;NT5C;NUDT1;OSTC;PA2G4;PARL;PHB2;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;PSMG2;PYCARD;RAB32;RACK1;RGS19;RWDD1;SAP30;SARAF;SDHB;SDHD;SLIRP;SMIM20;SNHG6;SNRPD1;SNRPD2;SNRPE;SNRPF;SNU13;SRSF9;SUCLG1;SUPT4H1;TIMM10;TIMM8B;TMEM219;TMEM230;TMEM258;TMEM59;TOMM22;TOMM5;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;TXNDC17;UFC1;UQCR11;UQCRH;UQCRQ;UXT;ZNF593"
"9";5,75;0,103;"";127;"ACAA1;ANAPC11;ANAPC16;AP2S1;ARPC3;ATP6V0E1;BANF1;BCKDHA;BRK1;BTF3;C17orf49;C1QBP;C9orf16;CCT7;CLNS1A;CLTA;CMC1;COMMD6;COX14;COX4I1;COX5B;COX7A2L;CUTA;DAD1;DBNL;DCTN3;DDT;ECH1;EEF1B2;EIF3D;EIF3E;EIF3G;EIF3K;EIF3M;ERH;FIS1;GDI2;GTF2A2;GTF3A;HIGD2A;HMGN1;HMGN2;LAMTOR4;LEPROTL1;LSM3;LSM5;MDH1;MGMT;MRPL12;MRPL21;MRPL3;MRPL40;MRPS21;MRPS34;NACA;NDUFA1;NDUFA13;NDUFA4;NDUFB4;NDUFB5;NDUFB7;NDUFB8;NDUFC1;NDUFS3;NDUFS5;NDUFS7;NDUFS8;NDUFV1;NEDD8;NHP2;NME1;NME2;NPM1;NT5C;NUDT1;OSTC;PA2G4;PARL;PGLS;PHB;PHB2;POLR1D;POLR2G;POLR2J;PPCS;PSMA5;PSMB1;PSMC5;PSMG2;PYCARD;RAB20;RACK1;RGS19;SAP30;SDHB;SDHD;SLIRP;SMIM19;SMIM20;SNRPD1;SNRPD2;SNRPE;SNRPF;SNU13;SPINT2;SRSF9;SUCLG1;SUPT4H1;TIMM10;TIMM8B;TMEM219;TMEM230;TMEM258;TMEM59;TOMM22;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;TXNDC17;UQCR10;UQCR11;UQCRH;UQCRQ;UXT;ZNF593"
"10";5,73;0,102;"POLR2A (directAnnotation). ";107;"ACAA1;ANAPC16;ARPC3;BANF1;BCKDHA;BRK1;BTF3;C17orf49;C9orf16;CCT7;CLNS1A;CLTA;CMC1;COMMD6;COMMD8;COX14;COX4I1;COX5B;COX7A2L;COX7C;CUTA;DAD1;DBNL;DCTN3;DDT;DUT;EID1;EIF3D;EIF3E;EIF3G;EIF3K;EIF3M;FIS1;GDI2;GTF2A2;GTF3A;HIGD2A;HINT1;LAMTOR4;LEPROTL1;LSM3;LSM5;MDH1;MRPL21;MRPL3;MRPS21;MRPS34;NAA38;NDUFA1;NDUFA12;NDUFA13;NDUFA4;NDUFB4;NDUFB7;NDUFB8;NDUFC1;NDUFS3;NDUFS7;NDUFS8;NDUFV1;NEDD8;NHP2;NME1;NME2;NPM1;OSTC;PA2G4;PGLS;PHB;PHB2;POLR2G;POLR2J;PSMA5;PSMB1;PSMC5;RACK1;RGS19;SAP30;SDHB;SDHD;SLIRP;SMIM19;SMIM20;SNRPD1;SNRPD2;SNRPE;SNRPF;SNU13;SPINT2;SRSF9;SUPT4H1;TIMM10;TMEM14B;TMEM219;TMEM230;TMEM59;TOMM22;TPRKB;TRAPPC1;TRAPPC6A;TUFM;TXN2;UQCR10;UQCR11;UQCRH;UQCRQ;ZNF593"
