"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,52;0,228;"";5;"CREB5;IGFBP7;PMP22;PRDX1;TNFRSF1A"
"2";5,12;0,214;"";4;"CREB5;IGFBP7;PRDX1;TNFRSF1A"
"3";4,97;0,209;"";4;"ALDH1A1;CREB5;SDF2L1;TMEM154"
"4";4,97;0,209;"";5;"ALDH1A1;CD14;CREB5;PMP22;TNFRSF1A"
"5";4,83;0,204;"E2F6; IKZF1 (directAnnotation). ";4;"CD14;CD163;FCGR1A;VNN1"
"6";4,8;0,203;"AR (directAnnotation). ";5;"CD14;CREB5;PMP22;TMEM154;TNFRSF1A"
"7";4,76;0,202;"ZNF585B (directAnnotation). ";4;"CD14;CREG1;FCGR1A;TMEM154"
"8";4,7;0,199;"AR (directAnnotation). ";5;"ALDH1A1;CREB5;IGFBP7;PMP22;VNN1"
"9";4,64;0,197;"";4;"ALDH1A1;CREB5;IGFBP7;TMEM154"
"10";4,63;0,197;"ETS1; SOX10 (directAnnotation). ";4;"CD14;CD163;CR1;FCGR1A"
"11";4,61;0,196;"ZNF749 (directAnnotation). ";4;"CREB5;FCGR1A;PMP22;PRDX1"
"12";4,49;0,192;"SPDEF (directAnnotation). ";4;"CR1;SDF2L1;TMEM154;TNFRSF1A"
"13";4,44;0,19;"CUX1; EP300 (directAnnotation). ";3;"ALDH1A1;CD14;PMP22"
"14";4,35;0,187;"";4;"ALDH1A1;CD14;CREB5;FCGR1A"
"15";4,33;0,186;"PGR (directAnnotation). ";7;"ALDH1A1;CD14;CREB5;IGFBP7;PMP22;TMEM154;VNN1"
"16";4,28;0,184;"GTF3A; ZXDA; ZXDB; ZXDC (inferredBy_Orthology). ";4;"ALDH1A1;CREB5;PMP22;TMEM154"
"17";4,27;0,184;"";3;"ALDH1A1;CREB5;TMEM154"
"18";4,24;0,183;"GTF3A; ZXDA; ZXDB; ZXDC (inferredBy_Orthology). ";4;"ALDH1A1;CREB5;PMP22;TMEM154"
"19";4,22;0,183;"PRDM1 (directAnnotation). ";7;"ALDH1A1;CD14;CD163;CREB5;IGFBP7;PMP22;TMEM154"
"20";4,2;0,182;"";7;"ALDH1A1;CD14;CREB5;FCGR1A;IGFBP7;PMP22;PRDX1"
"21";4,19;0,181;"";5;"ALDH1A1;IGFBP7;PMP22;PRDX1;TMEM154"
"22";4,19;0,181;"";4;"ALDH1A1;CREB5;FCGR1A;PMP22"
"23";4,14;0,18;"CEBPB; JUN (inferredBy_Orthology). ";3;"CREB5;TMEM154;TNFRSF1A"
"24";4,13;0,179;"";4;"ALDH1A1;CREG1;FCGR1A;SDF2L1"
"25";4,1;0,178;"";4;"ALDH1A1;CD14;SDF2L1;TNFRSF1A"
