"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,63;0,119;"SPIB (directAnnotation). ";13;"C1orf162;C3AR1;CALM2;CD37;CFP;EVI2B;FBP1;GMFG;LY96;NRG1;SLC7A7;TNFSF13B;TRMT1"
"2";5,45;0,116;"ZBTB26 (directAnnotation). ";14;"CALM2;CFP;COX7A2;EVI2B;FKBP1A;GLIPR1;IFI16;KRT10;MYL12A;NRG1;PSMB6;PSMB8;PSMB9;REEP5"
"3";5,34;0,114;"IRF8 (directAnnotation). ";22;"BAX;CALM2;COPE;COX7A2;CSTA;DYNLT1;GLIPR1;HMGB2;IFI16;IFITM2;JDP2;KRT10;MNDA;NDUFC2;NKG7;NRG1;PLBD1;PSMB8;TKT;TNFSF13B;VAMP5;ZNHIT1"
"4";5,31;0,114;"";14;"C1orf162;C3AR1;CALM2;CD37;CFP;EVI2B;FBP1;FKBP1A;GMFG;LY96;NRG1;SLC7A7;TNFSF13B;TRMT1"
"5";5,3;0,114;"";9;"CALM2;CFP;COTL1;EVI2B;FKBP1A;PRELID1;PSMB6;PSMB8;PSMB9"
"6";4,81;0,105;"NR1I2 (directAnnotation). ";6;"C3AR1;CPPED1;FBP1;HMGB2;JDP2;NKG7"
"7";4,8;0,105;"SPIC (directAnnotation). ";11;"C1orf162;CALM2;CD37;CSTA;EVI2B;FBP1;GMFG;LY96;NRG1;TNFSF13B;TRMT1"
"8";4,79;0,105;"ZNF671 (directAnnotation). ";12;"CALM2;CFP;CLIC1;EVI2B;FBP1;GMFG;NKG7;NRG1;PLBD1;SH3BGRL3;TNFSF13B;TRAPPC5"
"9";4,72;0,104;"SPIB (inferredBy_Orthology). ";9;"CD37;CFP;EVI2B;GMFG;MNDA;NRG1;PSMB8;SLC7A7;ZNHIT1"
"10";4,71;0,104;"SPI1 (directAnnotation). ";22;"ASGR1;C1orf162;C3AR1;CALM2;CD37;CFP;CLIC1;COX7A2;CSTA;EVI2B;FBP1;FKBP1A;GMFG;IFI16;IFITM2;LY96;MNDA;NRG1;SLC7A7;TNFSF13B;TRMT1;ZNHIT1"
"11";4,7;0,103;"SPIC (directAnnotation). ";12;"C1orf162;CALM2;CD37;CFP;CSTA;EVI2B;FBP1;GMFG;LY96;NRG1;TNFSF13B;TRMT1"
"12";4,67;0,103;"SPI1 (directAnnotation). ";16;"C1orf162;CALM2;CD37;CFP;EVI2B;GMFG;IFI16;IFITM2;LY96;MNDA;MYL12A;NRG1;SH3BGRL3;SLC7A7;TRMT1;ZNHIT1"
"13";4,61;0,102;"SPIC (inferredBy_Orthology). ";17;"C1orf162;C3AR1;CALM2;CD37;CFP;CSTA;EVI2B;FBP1;FKBP1A;GMFG;LY96;MNDA;NRG1;SLC7A7;STX10;TNFSF13B;TRMT1"
"14";4,6;0,102;"SPIC (inferredBy_Orthology). ";17;"C1orf162;C3AR1;CALM2;CD37;CFP;CSTA;EVI2B;FBP1;FKBP1A;GMFG;LY96;MNDA;NRG1;SLC7A7;STX10;TNFSF13B;TRMT1"
"15";4,58;0,101;"SPI1 (directAnnotation). ";18;"ASGR1;C1orf162;C3AR1;CALM2;CD37;CFP;CSTA;EVI2B;FBP1;FKBP1A;GMFG;LY96;MNDA;NRG1;SLC7A7;TNFSF13B;TRMT1;ZNHIT1"
"16";4,5;0,1;"STAT2 (directAnnotation). ";21;"C3AR1;CALM2;CD37;CFP;CSTA;DYNLT1;GLIPR1;HSBP1;IFI16;IFITM2;JDP2;MNDA;NRG1;PLBD1;PSMA2;PSMB8;TKT;TNFSF13B;TRMT1;VAMP5;ZNHIT1"
"17";4,5;0,1;"";22;"C1orf162;C3AR1;CALM2;CD37;CFP;CLIC1;COPE;CSTA;EVI2B;FBP1;FKBP1A;GLIPR1;GMFG;HMGB2;JDP2;LY96;MNDA;NRG1;PLBD1;SLC7A7;TNFSF13B;TRMT1"
"18";4,47;0,0995;"STAT2 (directAnnotation). ";27;"C3AR1;CALM2;CD37;CFP;CLIC1;COPE;CORO1A;COX7A2;CSTA;DYNLT1;GLIPR1;HSBP1;IFI16;IFITM2;JDP2;KRT10;MNDA;NDUFC2;NRG1;PLBD1;PSMA2;PSMB8;TKT;TNFSF13B;TRMT1;VAMP5;ZNHIT1"
"19";4,41;0,0984;"ZNF382 (directAnnotation). ";10;"CALM2;CFP;EVI2B;FKBP1A;GCA;IFI16;PSMB6;PSMB8;PSMB9;TRMT1"
"20";4,4;0,0983;"";23;"BAX;CALM2;CD37;CFP;COPS9;COTL1;COX7A2;CPPED1;EVI2B;FKBP1A;GMFG;HSBP1;MYL12A;NDUFC2;NKG7;NRG1;PHC2;PLBD1;PSMB6;PSMB8;PSMB9;TKT;TRMT1"
"21";4,4;0,0983;"";20;"ASGR1;C1orf162;C3AR1;CD37;CFP;CLIC1;EVI2B;FKBP1A;GMFG;HMGB2;HSBP1;IFITM2;JDP2;LY96;NKG7;PHC2;SH3BGRL3;SLC7A7;TRMT1;ZNHIT1"
"22";4,39;0,0981;"";8;"CALM2;CFP;EVI2B;FKBP1A;PSMB6;PSMB8;PSMB9;TKT"
"23";4,37;0,0978;"IRF8 (directAnnotation). ";18;"BAX;CALM2;COPE;CSTA;DYNLT1;GLIPR1;IFI16;IFITM2;JDP2;KRT10;MNDA;NDUFC2;NKG7;PSMB8;TKT;TNFSF13B;VAMP5;ZNHIT1"
"24";4,36;0,0976;"SPIB (directAnnotation). ";11;"C1orf162;CALM2;CD37;CFP;EVI2B;FBP1;GMFG;LY96;NRG1;SLC7A7;TRMT1"
"25";4,34;0,0972;"";8;"CALM2;CFP;EVI2B;FKBP1A;JDP2;PSMB6;PSMB8;PSMB9"
"26";4,33;0,0971;"";8;"CALM2;CFP;EVI2B;FKBP1A;NRG1;PSMB6;PSMB8;PSMB9"
"27";4,31;0,0968;"CEBPB (directAnnotation). ";18;"ASGR1;C1orf162;CALM2;CFP;COTL1;CSTA;EVI2B;FBP1;GCA;GLIPR1;HSBP1;IFI16;JDP2;KRT10;MNDA;SLC7A7;TNFSF13B;VAMP5"
"28";4,26;0,0959;"SPIB; TEAD4 (directAnnotation). ";23;"ASGR1;C1orf162;C3AR1;CALM2;CD37;CFP;CLIC1;CSTA;EVI2B;FBP1;FKBP1A;GLIPR1;GMFG;HMGB2;IFI16;IFITM2;JDP2;LY96;MNDA;PSMB8;SLC7A7;TNFSF13B;TRMT1"
"29";4,26;0,0959;"SPIB (directAnnotation). ";15;"C1orf162;CALM2;CD37;CFP;CSTA;EVI2B;FBP1;GMFG;LY96;NRG1;PSMB8;SLC7A7;TNFSF13B;TRMT1;ZNHIT1"
"30";4,26;0,0958;"IRF4; SPI1 (directAnnotation). ";6;"CFP;GMFG;MNDA;PSMB8;SLC7A7;ZNHIT1"
"31";4,25;0,0957;"ETV2 (directAnnotation). ";12;"C3AR1;CFP;CLIC1;CSTA;EVI2B;FKBP1A;GMFG;HSBP1;JDP2;LY96;NKG7;SLC7A7"
"32";4,21;0,095;"SPIB (directAnnotation). ";22;"ASGR1;C1orf162;C3AR1;CALM2;CD37;CFP;CLIC1;CSTA;EVI2B;FBP1;FKBP1A;GMFG;IFI16;JDP2;LY96;MNDA;NRG1;PHC2;PSMB8;SLC7A7;TNFSF13B;ZNHIT1"
"33";4,19;0,0948;"SPIB (directAnnotation). ";20;"ASGR1;C1orf162;C3AR1;CD37;CFP;CLIC1;EVI2B;FKBP1A;GMFG;HMGB2;HSBP1;IFITM2;JDP2;LY96;NKG7;PHC2;SH3BGRL3;SLC7A7;TRMT1;ZNHIT1"
"34";4,18;0,0945;"SPIB (directAnnotation). ";16;"C1orf162;CALM2;CD37;CFP;COPE;CSTA;EVI2B;FBP1;GMFG;IFITM2;LY96;MNDA;NRG1;SLC7A7;TNFSF13B;TRMT1"
"35";4,15;0,0941;"SPIB (directAnnotation). ";28;"C1orf162;C3AR1;CALM2;CD37;CFP;CLIC1;CORO1A;CSTA;EVI2B;FBP1;FKBP1A;GLIPR1;GMFG;HMGB2;IFI16;IFITM2;JDP2;LY96;MNDA;MYL12A;NRG1;PHC2;PSMB8;SLC7A7;STX10;TNFSF13B;TRMT1;ZNHIT1"
"36";4,15;0,094;"RARB (inferredBy_Orthology). ";5;"BLVRB;FBP1;JDP2;NRG1;TKT"
"37";4,14;0,0938;"SPI1 (directAnnotation). ";9;"C1orf162;CD37;CFP;EVI2B;GMFG;NRG1;SLC7A7;TNFSF13B;ZNHIT1"
"38";4,12;0,0935;"IRF9 (inferredBy_Orthology). ";21;"BAX;C3AR1;CALM2;CLIC1;CORO1A;COX7A2;CSTA;DYNLT1;HMGB2;HSBP1;IFI16;IFITM2;MNDA;MYL12A;NDUFC2;NRG1;PSMB8;TKT;TNFSF13B;TRMT1;VAMP5"
"39";4,09;0,0931;"STAT1; STAT2 (directAnnotation). ";15;"CALM2;CFP;DYNLT1;GLIPR1;HSBP1;IFI16;IFITM2;MNDA;NRG1;PLBD1;PSMA2;PSMB8;TNFSF13B;VAMP5;ZNHIT1"
"40";4,07;0,0927;"SPIB (directAnnotation). ";20;"ASGR1;C1orf162;C3AR1;CD37;CFP;CLIC1;EVI2B;FKBP1A;GMFG;HMGB2;HSBP1;IFI16;IFITM2;JDP2;LY96;MYL12A;NKG7;PHC2;SH3BGRL3;SLC7A7"
"41";4,06;0,0925;"IRF8 (directAnnotation). ";11;"CSTA;DYNLT1;IFI16;IFITM2;JDP2;KRT10;PSMB8;TKT;TNFSF13B;VAMP5;ZNHIT1"
"42";4,02;0,0919;"";9;"CALM2;CD37;CLIC1;DYNLT1;HMGB2;KRT10;MYL12A;NRG1;SLC7A7"
