"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";14,7;0,454;"STAT2 (directAnnotation). ";32;"APOL6;BATF2;CASP5;CMPK2;CXCL10;CXCL11;CXCL9;DDX58;EPSTI1;ETV7;GBP1;GBP4;HELZ2;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;MSR1;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;SLC1A3;TNFSF10;TRIM25;WARS"
"2";14,7;0,453;"IRF1; IRF2; IRF7 (directAnnotation). ";35;"APOL6;BATF2;CASP5;CIITA;CMPK2;CXCL10;CXCL11;CXCL9;DDX58;EPSTI1;ETV7;FCGR3A;GBP1;GBP4;HELZ2;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;LRRK2;MSR1;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;SLC1A3;TNFSF10;TRIM25;WARS"
"3";14,7;0,453;"IRF3 (directAnnotation). ";31;"ANKRD22;APOL6;BATF2;CASP5;CMPK2;CXCL10;CXCL11;CXCL9;DDX58;EPSTI1;ETV7;GBP1;GBP4;HELZ2;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;MSR1;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;TNFSF10;WARS"
"4";14,6;0,451;"IRF3 (directAnnotation). ";29;"APOL6;BATF2;CASP5;CMPK2;CXCL11;CXCL9;DDX58;EPSTI1;ETV7;GBP1;GBP4;HELZ2;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;MSR1;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;TNFSF10;WARS"
"5";14,3;0,442;"STAT1; STAT2 (directAnnotation). ";33;"APOL6;BATF2;CASP5;CIITA;CMPK2;CXCL10;CXCL11;CXCL9;DDX58;EPSTI1;ETV7;GBP1;HELZ2;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;LRRK2;MSR1;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;SERPING1;TNFSF10;TRIM25;WARS"
"6";14,1;0,435;"STAT2 (directAnnotation). ";37;"APOL6;BATF2;CASP5;CIITA;CMPK2;CXCL10;CXCL11;CXCL9;DDX58;EPSTI1;ETV7;FCGR3A;GBP1;GBP4;HAPLN3;HELZ2;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;LRRK2;MSR1;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;SERPING1;SLC1A3;TNFSF10;TRIM25;WARS"
"7";14,1;0,435;"IRF9 (directAnnotation). ";29;"APOL6;BATF2;CASP5;CMPK2;CXCL10;CXCL11;DDX58;EPSTI1;ETV7;GBP1;GBP4;HELZ2;HERC5;IDO2;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;TNFSF10;XAF1"
"8";14,1;0,434;"IRF9 (directAnnotation). ";29;"APOL6;BATF2;CMPK2;CXCL10;CXCL11;DDX58;EPSTI1;ETV7;GBP1;GBP4;HELZ2;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;LRRK2;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;TNFSF10;TRIM25;WARS"
"9";14;0,432;"STAT2 (directAnnotation). ";35;"APOL6;BATF2;CASP5;CIITA;CMPK2;CXCL10;CXCL11;CXCL9;DDX58;EPSTI1;ETV7;GBP1;GBP4;HAPLN3;HELZ2;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;LRRK2;MSR1;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;SLC1A3;TNFSF10;TRIM25;WARS"
"10";14;0,432;"STAT1 (directAnnotation). ";33;"APOL6;BATF2;CASP5;CIITA;CMPK2;CXCL10;CXCL11;CXCL9;DDX58;EPSTI1;ETV7;GBP1;HERC5;IFI44;IFI44L;IFI6;IFIH1;IFIT2;IFIT3;LRRK2;MSR1;MX1;OAS2;OAS3;OASL;PARP14;SAMD9;SAMD9L;SERPING1;TNFSF10;TRIM25;WARS;XAF1"
