"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";4,54;0,103;"STAT1 (directAnnotation). ";16;"A2M;C1QB;C1QC;CCND1;CD209;CLIC2;EGR2;ENPP2;GPR155;IGF1;LGALS3BP;LYVE1;PDK4;PIK3IP1;PRKACB;TPM1"
"2";4,09;0,0965;"";20;"A2M;ACE;CCND1;EGR2;ENPP2;GCLC;GPR82;IGF1;IGFBP4;KCNMA1;MAF;OSBPL1A;PDK4;PER3;PRKACB;RND3;SLC7A8;SRGAP3;TMEM26;VCAM1"
"3";4,04;0,0958;"TRIM28 (directAnnotation). ";13;"A2M;C2;CCND1;CENPE;CFH;ENPP2;FRMD4A;IGF1;IGFBP4;LYVE1;MAF;PRKACB;TPM1"
"4";3,93;0,0942;"TBP (directAnnotation). ";16;"A2M;ACE;CENPE;ENPP2;FILIP1L;FRMD4A;GCLC;GPR155;IGF1;IGFBP4;LIMA1;MAF;RND3;SRGAP3;STAB1;VCAM1"
"5";3,93;0,0942;"GATA1; GATA2; GATA3 (directAnnotation). ";17;"ACE;ANTXR1;BCO2;C1QC;CCL24;FOLR2;FRMD4A;IGFBP4;ITGA9;KCNMA1;LIMA1;LPAR6;OSBPL1A;PDK4;RND3;SLC7A8;TPM1"
"6";3,91;0,0939;"CELF4 (directAnnotation). ";15;"ACE;AXL;C1QC;DAB2;FCHO2;GCNT1;GFRA2;GPR82;IGFBP4;KCNMA1;LIMA1;P2RY6;SLC40A1;SLC7A8;TPM1"
"7";3,87;0,0932;"SPIC (inferredBy_Orthology). ";15;"A2M;C1orf54;C1QA;C1QB;C1QC;CCL24;CD209;CD84;FILIP1L;FRMD4A;GPR82;LIMA1;MGAT4A;PRKACB;SRGAP3"
"8";3,85;0,0929;"BCL6B (inferredBy_Orthology). ";20;"A2M;ADORA3;AP2A2;C1orf54;CCL24;CCND1;CLIC2;EGR2;ENPP2;FCHO2;FRMD4A;GCNT1;GPR155;IGF1;KCNMA1;LGALS3BP;PDK4;PRKACB;TMEM37;TPM1"
"9";3,84;0,0927;"SPIB (directAnnotation). ";17;"A2M;ADAMDEC1;AXL;C1orf54;C1QA;C1QB;C1QC;CCL24;CD163L1;CD209;EGR2;ITM2C;LILRB5;LYVE1;PRKACB;SRGAP3;VMO1"
"10";3,79;0,092;"BCL6 (directAnnotation). ";14;"A2M;C2;CCL24;CCND1;CLIC2;EGR2;ENPP2;FRMD4A;GFRA2;LGALS3BP;LYVE1;SLC7A8;TMEM26;TPM1"
"11";3,78;0,0919;"EP300 (directAnnotation). ";22;"A2M;ACE;AXL;C1orf54;C1QC;CCL24;CD84;CLIC2;CTTNBP2;DNASE1L3;FRMD4A;GCNT1;IGF1;IGFBP4;LIMA1;PRKACB;RND3;SLC40A1;SLCO2B1;SRGAP3;STAB1;STON2"
"12";3,76;0,0915;"ZNF652 (inferredBy_Orthology). ";30;"ADORA3;APOC1;AXL;C2;CCL24;CLIC2;CTTNBP2;ENPP2;FOLR2;FRMD4A;FRMD4B;GALM;GCNT1;IGF1;ITM2C;KCNMA1;LIMA1;LPAR6;MAF;OSBPL1A;P2RY6;PRKACB;RND3;SERPINF1;SRGAP3;STON2;TMEM37;VCAM1;VMO1;VSIG4"
"13";3,75;0,0914;"";32;"ADAMDEC1;BCO2;C1QC;CCL24;CFH;DNAJC5B;EGR2;FILIP1L;FOLR2;FRMD4A;GFRA2;GPR82;IGFBP4;ITGB5;KCNMA1;LILRB5;LYVE1;MAF;MGAT4A;NRP1;OSBPL1A;P2RY6;PIK3IP1;PRKACB;QPRT;SESN1;SIGLEC1;SRGAP3;STON2;TPM1;VCAM1;VMO1"
"14";3,74;0,0912;"TEF (directAnnotation). ";20;"ACE;C2;CCND1;CENPE;CFH;EGR2;FCHO2;FILIP1L;GATM;GPR34;IGF1;KCNMA1;LIMA1;OLFML2B;PER3;PIK3IP1;PRKACB;S100B;SRGAP3;TPM1"
"15";3,7;0,0906;"MAFK (inferredBy_Orthology). ";9;"C1QB;CCL24;CLIC2;LYVE1;MAF;ME1;PRKACB;SLC7A8;TMEM37"
"16";3,68;0,0904;"STAT1 (directAnnotation). ";12;"A2M;C1QB;C1QC;CCND1;CD209;CLIC2;EGR2;ENPP2;GPR155;IGF1;LGALS3BP;TPM1"
"17";3,63;0,0896;"IRX6 (directAnnotation). ";12;"ADAMDEC1;C1orf54;CENPE;ENPP2;FRMD4A;IGF1;LIMA1;OTOA;PRKACB;S100B;SLC7A8;STON2"
"18";3,62;0,0894;"STAT1 (directAnnotation). ";13;"A2M;C1QB;C1QC;CCL24;CCND1;CLIC2;EGR2;ENPP2;GPR155;IGF1;LGALS3BP;PDK4;TPM1"
"19";3,6;0,0891;"NFE2 (directAnnotation). ";10;"CCDC152;CCL24;CLIC2;KCNMA1;LYVE1;MAF;ME1;SLC7A8;TMEM37;VCAM1"
"20";3,55;0,0884;"TAF7; TBP (directAnnotation). ";12;"ACE;CENPE;ENPP2;FILIP1L;GCLC;GPR155;IGF1;IGFBP4;MAF;RND3;STAB1;TPM1"
"21";3,54;0,0882;"SPIC (inferredBy_Orthology). ";14;"A2M;C1orf54;C1QA;C1QB;C1QC;CCL24;CD209;CD84;FILIP1L;FRMD4A;GPR82;LIMA1;PRKACB;SRGAP3"
"22";3,53;0,0882;"IL21; STAT3 (inferredBy_Orthology). ";10;"A2M;C1QB;CCND1;CLIC2;EGR2;ENPP2;GPR155;IGF1;ITM2C;TPM1"
"23";3,52;0,088;"MAFB (directAnnotation). ";12;"ADORA3;C1QB;C1QC;CLIC2;FRMD4A;LYVE1;MAF;PRKACB;SESN1;SLC7A8;STON2;TMEM37"
"24";3,51;0,0878;"TBP (directAnnotation). ";15;"ACE;CCL24;CENPE;EGR2;FILIP1L;GCLC;GPR155;IGFBP4;KCNMA1;MAF;PER3;RND3;SRGAP3;TPM1;VCAM1"
"25";3,5;0,0876;"";31;"ACE;ANTXR1;APOC1;BCO2;C1orf54;C1QA;C1QB;C1QC;CCND1;CMKLR1;DNAJC5B;EGR2;ENPP2;FILIP1L;FRMD4A;FRMD4B;GAL3ST4;IGF1;IGFBP4;LGALS3BP;LILRB5;LIMA1;ME1;OSBPL1A;P2RY6;PDK4;S100B;SLC7A8;SLCO2B1;SPRED1;STON2"
"26";3,49;0,0874;"";16;"C1QB;CCND1;EGR2;ENPP2;FCHO2;IGF1;IGFBP4;KCNMA1;LIMA1;MAF;OSBPL1A;PDK4;PER3;PIK3IP1;PRKACB;SERPINF1"
"27";3,47;0,0872;"";16;"C1QB;CCND1;EGR2;ENPP2;FCHO2;IGF1;IGFBP4;KCNMA1;LIMA1;MAF;OSBPL1A;PDK4;PER3;PIK3IP1;PRKACB;SERPINF1"
"28";3,45;0,087;"MAFF (inferredBy_Orthology). ";10;"C1QB;C1QC;CCL24;CLIC2;LYVE1;MAF;ME1;PRKACB;SLC7A8;TMEM37"
"29";3,45;0,0869;"STAT1; STAT3 (directAnnotation). ";12;"A2M;C1QB;C1QC;CCND1;CD209;CLIC2;EGR2;ENPP2;IGF1;LGALS3BP;PRKACB;TPM1"
"30";3,45;0,0869;"";10;"ANTXR1;CENPE;CLIC2;DNAJC5B;DNASE1L3;GALM;GFRA2;MAF;SRGAP3;TMEM26"
"31";3,43;0,0866;"";15;"ACE;CCL24;CENPE;EGR2;FILIP1L;GCLC;GPR155;IGFBP4;KCNMA1;MAF;PER3;RND3;SRGAP3;TPM1;VCAM1"
"32";3,42;0,0865;"";15;"ADAMDEC1;AXL;C1QC;C2;CLIC2;DAB2;ENPP2;FILIP1L;FRMD4A;KCNMA1;LIMA1;OSBPL1A;P2RY6;PER3;TPM1"
"33";3,42;0,0865;"STAT1 (directAnnotation). ";15;"A2M;C1QB;C1QC;CCL24;CCND1;CD209;CFH;CLIC2;EGR2;ENPP2;GPR155;IGF1;PIK3IP1;PRKACB;TPM1"
"34";3,4;0,0861;"IRX2 (directAnnotation). ";10;"ADAMDEC1;C1orf54;CENPE;ENPP2;FRMD4A;IGF1;LIMA1;PRKACB;S100B;SLC7A8"
"35";3,38;0,0859;"MAFF (directAnnotation). ";22;"APOE;C1orf54;C1QC;CCL24;CCND1;CFH;FRMD4A;GAL3ST4;GALM;GCNT1;IGF1;ITM2C;MAF;NRP1;OSBPL1A;PRKACB;QPRT;S100B;SERPINF1;SLC7A8;SLCO2B1;VCAM1"
"36";3,38;0,0859;"STAT3 (directAnnotation). ";11;"C1QB;C1QC;CCND1;CFH;CLIC2;EGR2;ENPP2;GPR155;P2RY6;PIK3IP1;TPM1"
"37";3,36;0,0856;"STAT1; STAT3 (directAnnotation). ";10;"A2M;C1QB;C1QC;CCND1;CD209;CLIC2;EGR2;IGF1;SLC7A8;TPM1"
"38";3,36;0,0856;"";15;"APOE;C1orf54;C1QA;EGR2;FILIP1L;FOLR2;GPR155;IGF1;KCNMA1;LYVE1;OSBPL1A;P2RY6;SLCO2B1;STON2;TPM1"
"39";3,34;0,0853;"STAT1 (directAnnotation). ";20;"AXL;BCO2;C1QA;C1QB;C1QC;C2;CCND1;CD84;CXCL12;DNASE1L3;EGR2;ENPP2;GATM;IGF1;IGFBP4;LGALS3BP;LIPA;OSBPL1A;PRKACB;VMO1"
"40";3,33;0,0851;"";31;"A2M;ACE;BCO2;C1QA;C1QC;CENPE;CFH;CTTNBP2;DAB2;DNASE1L3;EGR2;ENPP2;FILIP1L;FRMD4A;GCLC;GCNT1;IGFBP4;LIMA1;LYVE1;MAF;OLFML2B;P2RY6;PIK3IP1;QPRT;SESN1;SLCO2B1;SRGAP3;STAB1;TPM1;VCAM1;WWP1"
"41";3,33;0,0851;"";11;"ACE;C1QA;CCND1;CFH;EGR2;FRMD4B;IGF1;IGFBP4;MAF;NRP1;PRKACB"
"42";3,32;0,0849;"ZNF713 (directAnnotation). ";8;"ACE;ADORA3;DNAJC5B;GIMAP8;IGF1;LIMA1;SLC7A8;TPM1"
"43";3,31;0,0848;"ZNF343 (directAnnotation). ";28;"A2M;ADORA3;CTTNBP2;DNASE1L3;EGR2;ENPP2;FILIP1L;FOLR2;FRMD4A;FRMD4B;GALM;GCNT1;IGF1;ITM2C;LGALS3BP;LPAR6;LYVE1;MAF;ME1;MERTK;OSBPL1A;P2RY6;SIGLEC1;SLC7A8;SPRED1;SRGAP3;STAB1;VSIG4"
"44";3,31;0,0847;"ZNF28 (directAnnotation). ";9;"C2;DAB2;FRMD4A;LYVE1;OLFML2B;P2RY6;PIK3IP1;QPRT;VCAM1"
"45";3,3;0,0846;"";11;"ADORA3;C1QC;CCL24;DNAJC5B;GPR155;IGF1;ME1;PIK3IP1;SLC7A8;SRGAP3;TMEM37"
"46";3,28;0,0843;"MAFK (inferredBy_Orthology). ";12;"C1orf54;GCNT1;KCNMA1;LYVE1;MAF;OSBPL1A;PRKACB;S100B;SLC7A8;TMEM37;TPM1;VCAM1"
"47";3,27;0,0841;"ZNF93 (directAnnotation). ";19;"ACE;ANTXR1;AP2A2;C1orf54;C1QC;CD84;CLIC2;CMKLR1;CTSC;DNAJC5B;EGR2;ENPP2;FRMD4A;GCNT1;LGALS3BP;RND3;S100B;SLCO2B1;SRGAP3"
"48";3,26;0,0841;"PGR (inferredBy_Orthology). ";17;"APOE;C1QA;C1QB;C1QC;EGR2;FRMD4A;GIMAP8;IGF1;IGFBP4;LYVE1;MGAT4A;NRP1;OLFML2B;P2RY6;PLXDC1;PRKACB;SIGLEC1"
"49";3,26;0,0841;"";14;"C1orf54;C1QA;C1QB;C1QC;CENPE;DNASE1L3;FRMD4A;GCNT1;LYVE1;MAF;OLFML2B;PIK3IP1;PLTP;SESN1"
"50";3,26;0,084;"ZNF652 (inferredBy_Orthology). ";27;"ADORA3;APOC1;AXL;C2;CCL24;CLIC2;CTTNBP2;ENPP2;FOLR2;FRMD4A;GALM;GFRA2;IGF1;ITM2C;KCNMA1;LPAR6;MAF;OSBPL1A;P2RY6;PRKACB;RND3;SERPINF1;SRGAP3;STON2;VCAM1;VMO1;VSIG4"
"51";3,24;0,0837;"SIX3 (directAnnotation). ";6;"ACE;APOE;IGFBP4;KCNMA1;SLC40A1;TPM1"
"52";3,23;0,0836;"ELF5 (directAnnotation). ";22;"A2M;C1orf54;C1QA;C1QB;C1QC;CCL24;CD163L1;CD84;FILIP1L;FRMD4A;GCNT1;GPR82;IGF1;LIMA1;LYVE1;MAF;MGAT4A;OSBPL1A;PRKACB;SLCO2B1;STAB1;STON2"
"53";3,23;0,0835;"STAT3 (directAnnotation). ";17;"A2M;ADORA3;C1QB;C1QC;CCND1;CD209;CFH;CLIC2;EGR2;ENPP2;GPR155;IGF1;LGALS3BP;PDK4;PIK3IP1;PRKACB;TPM1"
