"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";6,99;0,153;"SPIB (directAnnotation). ";20;"ARPIN;BORCS5;CD101;CD72;CHMP1B;CLEC10A;CSF1R;FAM110A;GPR183;HIC1;IL18;ITGB7;LMO2;PLD4;RGS1;RGS10;RNASE6;SDS;SLAMF8;SRGAP1"
"2";6,71;0,148;"";26;"ARPIN;BORCS5;CCDC107;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;EIF3L;EVL;FAM110A;HLA-DOA;IL18;JAML;LMO2;PLD4;PTMS;RGS1;RGS10;RNASE6;SDS;SDSL;SLAMF8;SPATS2L;ZFAND5"
"3";6,59;0,146;"SPI1 (directAnnotation). ";17;"ARPIN;CD101;CD72;CHMP1B;CLEC10A;CSF1R;FAM110A;IL18;LMO2;PLD4;PTMS;RGS1;RGS10;RNASE6;SDS;SLAMF8;SPATS2L"
"4";6,58;0,146;"SPIB (directAnnotation). ";20;"ARPIN;BORCS5;CD101;CD72;CHMP1B;CLEC10A;CSF1R;EIF3L;FAM110A;IL18;LMO2;MLEC;PLD4;PTMS;RGS1;RGS10;RNASE6;SDS;SLAMF8;SPATS2L"
"5";6,38;0,143;"SPIB; TEAD4 (directAnnotation). ";26;"ALOX15B;ARPIN;BORCS5;CCDC112;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;DHRS3;EIF3L;FAM110A;HIC1;HLA-DPB1;IL18;LMO2;MLEC;PLD4;RGS1;RGS10;RNASE6;SDS;SDSL;SLAMF8;SPATS2L"
"6";6,32;0,142;"SPIC (directAnnotation). ";14;"ARPIN;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;FAM110A;LMO2;PLD4;PTMS;RGS10;RNASE6;ZFAND5"
"7";6,26;0,141;"SPIC (directAnnotation). ";14;"ARPIN;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;FAM110A;LMO2;PLD4;PTMS;RGS10;RNASE6;ZFAND5"
"8";6,17;0,139;"SPI1 (directAnnotation). ";31;"ALOX15B;ARPIN;CCDC107;CCDC112;CD101;CD72;CHMP1B;CLEC10A;CSF1R;CST3;CYSLTR1;DHRS3;FAM110A;HIC1;HLA-DOA;HLA-DPA1;HLA-DQB1;HLA-DRB1;IL18;LMO2;MLEC;OPN3;PLD4;PTMS;RGS1;RGS10;RNASE6;SDS;SDSL;SLAMF8;SPATS2L"
"9";6,05;0,137;"";22;"ARPIN;BORCS5;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;EIF3L;FAM110A;GPR183;IL18;LMO2;MLEC;PLD4;PTMS;RGS1;RGS10;RNASE6;SDS;SLAMF8;SPATS2L"
"10";5,97;0,136;"SPIB (directAnnotation). ";24;"ARPIN;BORCS5;CCDC107;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;EIF3L;FAM110A;IL18;JAML;LMO2;PLD4;PTMS;RGS1;RGS10;RNASE6;SDSL;SLAMF8;SPATS2L;SRGAP1;ZFAND5"
"11";5,88;0,134;"RELA (directAnnotation). ";16;"CCDC107;CLEC10A;CLEC11A;DHRS3;HLA-DMB;HLA-DQA1;HLA-DQA2;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"12";5,87;0,134;"RELA (directAnnotation). ";20;"CCDC107;CD72;CLEC10A;CSF1R;DBNDD2;DHRS3;FAM110A;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DQA2;IL18;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"13";5,87;0,134;"RELA (directAnnotation). ";13;"CCDC107;CLEC10A;DHRS3;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;JAML;NUCKS1;PALLD;PTMS;RGS1;SPATS2L"
"14";5,8;0,133;"RELA (directAnnotation). ";18;"CCDC107;CLEC10A;DBNDD2;DHRS3;FAM110A;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"15";5,8;0,133;"RELA (directAnnotation). ";11;"CCDC107;DHRS3;HLA-DMB;HLA-DQA1;HLA-DQA2;JAML;NUCKS1;PALLD;PLD4;PTMS;RGS1"
"16";5,8;0,133;"SPI1 (directAnnotation). ";17;"ARPIN;CD72;CHMP1B;CLEC10A;CSF1R;FAM110A;GPR183;IL18;ITGB7;LMO2;PLD4;RGS1;RGS10;RNASE6;SDS;SRGAP1;ZFAND5"
"17";5,65;0,13;"RELA (directAnnotation). ";15;"CCDC107;DHRS3;FAM110A;HLA-DMB;HLA-DQA1;HLA-DQA2;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"18";5,64;0,13;"NFKB1; RELA (directAnnotation). REL (inferredBy_Orthology). ";15;"CCDC107;CLEC10A;DHRS3;FAM110A;HLA-DMB;HLA-DQA1;HLA-DQA2;JAML;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"19";5,6;0,129;"SPIC (inferredBy_Orthology). ";23;"ARPIN;BORCS5;CCDC112;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;CYSLTR1;FAM110A;GPR183;HLA-DOA;HLA-DRB1;IL18;LMO2;PLD4;PTMS;RGS1;RGS10;RNASE6;SDS;SLAMF8"
"20";5,55;0,128;"RELA (directAnnotation). ";19;"CCDC107;CLEC10A;CLEC11A;DBNDD2;DHRS3;FAM110A;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"21";5,54;0,128;"SPIC (inferredBy_Orthology). ";22;"ARPIN;BORCS5;CCDC112;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;EIF3L;FAM110A;GPR183;HLA-DOA;IL18;LMO2;PLD4;PTMS;RGS1;RGS10;RNASE6;SDS;SLAMF8"
"22";5,54;0,128;"RELA (directAnnotation). ";20;"CCDC107;CLEC10A;CLEC11A;DBNDD2;DHRS3;FAM110A;GRASP;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"23";5,5;0,127;"RELA (directAnnotation). ";12;"CCDC107;CLEC10A;DHRS3;HLA-DMB;HLA-DQA1;HLA-DQA2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1"
"24";5,47;0,127;"IRF4; SPI1 (directAnnotation). ";14;"ARPIN;CHMP1B;CLEC10A;CSF1R;FAM110A;GPR183;HIC1;ITGB7;LMO2;PLD4;RNASE6;SDS;SRGAP1;TUBA1B"
"25";5,44;0,126;"RELA (directAnnotation). ";19;"CCDC107;CLEC10A;DBNDD2;DHRS3;FAM110A;GRASP;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"26";5,4;0,126;"RELA (directAnnotation). ";17;"CCDC107;CLEC10A;DHRS3;FAM110A;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"27";5,34;0,125;"RELA (directAnnotation). ";15;"CCDC107;DHRS3;FAM110A;HLA-DMB;HLA-DQA1;HLA-DQA2;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"28";5,33;0,125;"SALL3 (inferredBy_Orthology). ";14;"ADK;ALOX15B;CCDC107;CCDC112;CLEC10A;GLO1;HIC1;LMO2;PID1;PLD4;RGS10;SPATS2L;YPEL2;ZFAND5"
"29";5,32;0,124;"SPIB (inferredBy_Orthology). ";9;"ARPIN;CHMP1B;CLEC10A;CSF1R;FAM110A;GPR183;ITGB7;LMO2;SDS"
"30";5,3;0,124;"RELA (directAnnotation). ";20;"CCDC107;CLEC10A;CLEC11A;DBNDD2;DHRS3;FAM110A;GRASP;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"31";5,28;0,124;"SPI1 (directAnnotation). ";16;"ARPIN;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;FAM110A;GPR183;ITGB7;LMO2;PLD4;RGS1;RGS10;SDS;ZFAND5"
"32";5,23;0,123;"SPI1 (directAnnotation). ";17;"ARPIN;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;FAM110A;GPR183;IL18;ITGB7;LMO2;PLD4;RGS1;RNASE6;SDS;ZFAND5"
"33";5,22;0,123;"BCL3; NFKB1 (directAnnotation). ";19;"CCDC107;CLEC10A;DBNDD2;DHRS3;FAM110A;GRASP;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;JAML;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"34";5,21;0,123;"SPIB (directAnnotation). ";29;"ARPIN;BORCS5;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;EIF3L;FAM110A;GPR183;HIC1;HLA-DMB;IL18;ITGB7;JAML;LMO2;MLEC;PLA2G7;PLD4;RGS1;RGS10;RNASE6;SDS;SDSL;SLAMF8;SPATS2L;SRGAP1;ZFAND5"
"35";5,2;0,122;"NFKB1 (directAnnotation). ";13;"CCDC107;CLEC10A;DHRS3;FAM110A;HLA-DMB;HLA-DQA1;HLA-DQA2;NUCKS1;PALLD;PLD4;PTMS;RGS1;SPATS2L"
"36";5,12;0,121;"RELA (directAnnotation). ";22;"ARL2;CCDC107;CD72;CLEC10A;CSF1R;DBNDD2;DHRS3;FAM110A;GPR183;GRASP;HLA-DMB;HLA-DQA1;HLA-DQA2;IL18;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1;SPATS2L"
"37";5,03;0,119;"RELA (directAnnotation). ";8;"CCDC107;DHRS3;HLA-DMB;HLA-DQA1;HLA-DQA2;NUCKS1;PALLD;RGS1"
"38";5,01;0,119;"SPI1 (inferredBy_Orthology). ";28;"ARPIN;BORCS5;CCDC107;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;CYSLTR1;DNAJC4;EIF3L;FAM110A;HIC1;IL18;ITGB7;JAML;LMO2;MLEC;PLA2G7;PLD4;PTMS;RGS1;RNASE6;SDS;SDSL;SRGAP1;ZFAND5"
"39";4,99;0,119;"RELA (directAnnotation). ";14;"CCDC107;CLEC10A;DBNDD2;DHRS3;HLA-DMB;HLA-DQA1;HLA-DQA2;LMO2;NUCKS1;PALLD;PID1;PLD4;PTMS;RGS1"
"40";4,99;0,119;"SPI1 (directAnnotation). ";15;"ARPIN;CD101;CD72;CHMP1B;CLEC10A;CLEC11A;CSF1R;FAM110A;IL18;ITGB7;LMO2;PLD4;RGS1;RNASE6;SDS"
