"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,52;0,151;"";9;"AGTRAP;ALOX5AP;CAPG;CD52;FGR;GPBAR1;OSM;SLA;TNNT1"
"2";5;0,139;"";8;"FCN1;LTA4H;MTMR11;MX2;SELL;SLA;THBD;TNNT1"
"3";4,91;0,137;"";15;"ALOX5AP;ANXA1;BEX1;C11orf96;CFD;ERGIC1;FGR;OSM;RETN;SELL;THBD;TNFSF13;TNNT1;TSPO;ZBTB16"
"4";4,8;0,135;"MAFA (directAnnotation). ";11;"ANXA1;C11orf96;CAPG;CLEC4E;FGR;GPBAR1;OSM;S100A4;SLA;TNNT1;ZBTB16"
"5";4,73;0,134;"CEBPA (directAnnotation). ";8;"ANXA1;CFD;FCN1;FGR;OSM;RNASE2;SLC16A7;VNN3"
"6";4,65;0,132;"RARA (inferredBy_Orthology). ";11;"AP1S2;BEX1;CAPG;GLIPR2;MTMR11;OSM;PLCB1;RBP7;SELL;TNNT1;VNN3"
"7";4,63;0,131;"";9;"CAPG;FCN1;GPBAR1;MTMR11;PLCB1;SELL;THBD;TNFSF13;TSPO"
"8";4,6;0,131;"CEBPB (directAnnotation). ";16;"AGTRAP;ANXA1;BST1;CFD;CLEC4E;FCN1;FGR;GPBAR1;OSM;RETN;RNASE2;SLA;SLC16A7;TNFSF13;TWISTNB;VNN3"
"9";4,47;0,128;"CEBPB (directAnnotation). ";9;"ANXA1;CFD;CLEC4E;FCN1;FGR;OSM;RNASE2;SLC16A7;VNN3"
"10";4,45;0,127;"IKZF1 (directAnnotation). ";11;"BEX1;CAPG;CLEC4E;FCN1;FGR;MTMR11;OSM;RNASE2;SELL;SLA;ZBTB16"
"11";4,44;0,127;"";7;"FCN1;FGR;GPBAR1;PLCB1;SELL;VNN3;VSTM1"
"12";4,43;0,127;"CEBPB (directAnnotation). ";17;"AGTRAP;ANXA1;BST1;CAPG;CFD;CLEC4E;FCN1;FGR;GPBAR1;OSM;RETN;RNASE2;SLA;SLC16A7;TNFSF13;TWISTNB;VNN3"
"13";4,39;0,126;"CEBPB (directAnnotation). ";16;"AGTRAP;ANXA1;BST1;CAPG;CFD;CLEC4E;FCN1;FGR;GPBAR1;OSM;RETN;RNASE2;SLA;SLC16A7;TWISTNB;VNN3"
"14";4,37;0,126;"CEBPB (directAnnotation). ";10;"ANXA1;CFD;CLEC4E;FGR;OSM;RNASE2;SLC16A7;TNFSF13;TWISTNB;VNN3"
"15";4,37;0,126;"CEBPB (inferredBy_Orthology). ";8;"ANXA1;CFD;FCN1;FGR;OSM;RNASE2;SLC16A7;VNN3"
"16";4,36;0,126;"CEBPA (inferredBy_Orthology). ";8;"ANXA1;CFD;FCN1;FGR;OSM;RNASE2;SLC16A7;VNN3"
"17";4,33;0,125;"CEBPB (directAnnotation). ";13;"ANXA1;BST1;CFD;CLEC4E;FCN1;FGR;GPBAR1;OSM;RNASE2;SLC16A7;TNFSF13;TWISTNB;VNN3"
"18";4,3;0,124;"BPTF; EP300 (directAnnotation). ";10;"ALOX5AP;LTA4H;MTMR11;MX2;OSM;PLCB1;SELL;SLA;THBD;VNN3"
"19";4,29;0,124;"CEBPB (directAnnotation). ";15;"AGTRAP;ANXA1;BST1;CAPG;CFD;CLEC4E;FCN1;FGR;GPBAR1;OSM;RNASE2;SLC16A7;TNFSF13;TWISTNB;VNN3"
"20";4,28;0,124;"CEBPB (directAnnotation). ";7;"ANXA1;CFD;FCN1;FGR;OSM;SLC16A7;VNN3"
"21";4,26;0,123;"CEBPB (directAnnotation). ";8;"ANXA1;CFD;FCN1;FGR;OSM;RNASE2;SLC16A7;VNN3"
"22";4,2;0,122;"CEBPG (directAnnotation). ";9;"CLEC4E;FCN1;FGR;OSM;RNASE2;SLC16A7;TNFSF13;TWISTNB;VNN3"
"23";4,19;0,122;"CEBPA (directAnnotation). ";9;"ANXA1;CFD;CLEC4E;FCN1;FGR;OSM;RNASE2;SLC16A7;VNN3"
"24";4,17;0,122;"RUNX3 (inferredBy_Orthology). ";10;"CAPG;CLEC4E;FCN1;FGR;OSM;RETN;RNASE2;S100A4;SLA;ZBTB16"
"25";4,14;0,121;"NR3C1; SPZ1 (directAnnotation). ";8;"AGTRAP;CFD;GPBAR1;MTMR11;OSM;PLCB1;SELL;TNNT1"
"26";4,14;0,121;"MTA3 (directAnnotation). ";9;"CLEC4E;FCN1;FGR;MTMR11;OSM;RNASE2;SELL;SLA;ZBTB16"
