"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";6,69;0,168;"CEBPA (directAnnotation). ";15;"CES1;FOLR3;HPSE;KCNJ15;LRG1;MARCO;MCEMP1;MGST1;PPP1R3B;RAB27A;RSPO3;S100A12;S100A8;S100A9;TREM1"
"2";6,21;0,158;"CEBPB (directAnnotation). ";12;"CCR1;CES1;FCAR;HPSE;LRG1;MCEMP1;MGST1;RSPO3;S100A12;S100A8;S100A9;TREM1"
"3";6,05;0,155;"CEBPB (directAnnotation). ";11;"CES1;FCAR;FOLR3;HPSE;IL1RAP;LRG1;MCEMP1;S100A12;S100A8;S100A9;TREM1"
"4";5,83;0,15;"CEBPB (directAnnotation). ";16;"CCR1;CES1;FCAR;FPR2;HPSE;IL1RAP;LRG1;MCEMP1;MGST1;RSPO3;S100A12;S100A8;S100A9;TREM1;VCAN;VNN2"
"5";5,83;0,15;"SOX1 (inferredBy_Orthology). ";8;"APOBEC3A;KCNJ15;MAPK7;MGST1;RSPO3;S100A8;TREM1;VNN2"
"6";5,82;0,15;"CEBPB (directAnnotation). ";16;"CCR1;CES1;FOLR3;HPSE;IL1RAP;KCNJ15;LRG1;MARCO;MCEMP1;MGST1;PPP1R3B;RSPO3;S100A12;S100A8;S100A9;TREM1"
"7";5,57;0,145;"CEBPB (directAnnotation). ";14;"CES1;FCAR;HPSE;IL1RAP;LRG1;MCEMP1;MGST1;RSPO3;S100A12;S100A8;S100A9;TREM1;VCAN;VNN2"
"8";5,56;0,145;"CEBPB (directAnnotation). ";16;"CCR1;CES1;FCAR;FOLR3;HPSE;IL1RAP;LRG1;MCEMP1;MGST1;RAB27A;RSPO3;S100A12;S100A8;S100A9;TREM1;VNN2"
"9";5,51;0,143;"CEBPB (directAnnotation). ";12;"CES1;FCAR;HPSE;LRG1;MCEMP1;MGST1;RSPO3;S100A12;S100A8;S100A9;TREM1;VNN2"
"10";5,44;0,142;"CEBPA (inferredBy_Orthology). ";12;"CES1;FCAR;FOLR3;HPSE;LRG1;MCEMP1;MGST1;RAB27A;S100A12;S100A8;S100A9;TREM1"
"11";5,43;0,142;"CEBPB (directAnnotation). ";12;"CES1;FCAR;HPSE;LRG1;MCEMP1;MGST1;RSPO3;S100A12;S100A8;S100A9;TREM1;VNN2"
"12";5,42;0,142;"CEBPA (directAnnotation). ";19;"CCR1;CES1;ELK3;FCAR;FOLR3;HPSE;IL1RAP;KCNJ15;LRG1;MARCO;MCEMP1;MGST1;PPP1R3B;RAB27A;RSPO3;S100A12;S100A8;S100A9;TREM1"
"13";5,29;0,139;"CEBPA (directAnnotation). ";11;"CES1;FCAR;HPSE;LRG1;MCEMP1;MGST1;RAB27A;S100A12;S100A8;S100A9;TREM1"
