"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,62;0,177;"HOXB13 (directAnnotation). ";10;"BMP2;CKB;CSRP2;EHF;GEM;HELLS;IL20;IRF4;TCHH;TNFSF9"
"2";5,58;0,176;"";7;"AKAP12;EHF;GCNT2;GEM;P2RY10;SHF;TNFSF9"
"3";5,52;0,175;"";6;"AKAP12;BMP2;CALCRL;CCND2;EHF;P2RY10"
"4";5,32;0,17;"";15;"BMP2;CHML;CKB;CSRP2;EHF;GCNT2;GEM;HELLS;IL20;IRF4;MMP10;SHF;TCHH;TNFSF9;ZDBF2"
"5";4,95;0,16;"";8;"AKAP12;BMP2;CALCRL;CCND2;CKB;EHF;HELLS;TNFSF9"
"6";4,93;0,16;"";8;"AKAP12;BMP2;CALCRL;CCND2;CKB;EHF;HELLS;TNFSF9"
"7";4,72;0,154;"ZNF12 (directAnnotation). ";10;"CALCRL;CCL22;EGR4;EHF;GCNT2;GEM;IGLON5;IRF4;NSUN7;ZDBF2"
"8";4,69;0,154;"TAF7; TBP (directAnnotation). ";12;"AKAP12;BMP2;CCND2;CKB;CSRP2;EHF;GEM;HELLS;IRF4;MMP10;TCHH;TNFSF9"
"9";4,69;0,154;"";9;"BMP2;CCND2;CKB;CSRP2;GEM;HELLS;IL20;TCHH;TNFSF9"
"10";4,61;0,152;"TBP (directAnnotation). ";14;"AKAP12;BMP2;CCND2;CHML;CKB;CSRP2;EHF;GEM;HELLS;IL20;IRF4;MMP10;TCHH;TNFSF9"
"11";4,61;0,152;"HOXA13 (directAnnotation). ";10;"BMP2;CKB;CSRP2;EHF;GEM;HELLS;IL20;IRF4;TCHH;TNFSF9"
"12";4,6;0,151;"";6;"AKAP12;EHF;GCNT2;GEM;P2RY10;TNFSF9"
"13";4,55;0,15;"";7;"BMP2;CKB;CSRP2;EHF;MMP10;TCHH;TNFSF9"
"14";4,49;0,148;"TCF12 (directAnnotation). ";8;"AKAP12;CALCRL;CCND2;CSRP2;EHF;GCNT2;IGLON5;SHF"
"15";4,43;0,147;"";7;"CALCRL;CCND2;EHF;GCNT2;HELLS;TCHH;XIST"
"16";4,42;0,147;"ATF1; HOXA13 (directAnnotation). ";6;"AKAP12;CALCRL;CCND2;EGR4;EHF;TCHH"
"17";4,41;0,147;"";8;"AKAP12;BMP2;CALCRL;CCND2;CKB;EHF;HELLS;TNFSF9"
"18";4,4;0,146;"";6;"A4GALT;CCND2;CSRP2;HOMER1;IL20;ZDBF2"
"19";4,38;0,146;"HOXA13 (directAnnotation). ";10;"BMP2;CKB;CSRP2;EHF;GEM;HELLS;IL20;IRF4;TCHH;TNFSF9"
"20";4,35;0,145;"";7;"AKAP12;BMP2;CKB;CSRP2;GEM;IRF4;TNFSF9"
"21";4,35;0,145;"CDX2 (directAnnotation). ";11;"A4GALT;BMP2;CCND2;CKB;EGR4;EHF;GEM;IL20;IRF4;TCHH;TNFSF9"
"22";4,35;0,145;"HOXC13 (directAnnotation). ";12;"A4GALT;BMP2;CKB;CSRP2;EHF;GEM;HELLS;IL20;IRF4;TCHH;TNFSF9;TSIX"
"23";4,31;0,144;"HOXB13 (directAnnotation). ";13;"A4GALT;BMP2;CCND2;CKB;CSRP2;EHF;GEM;HELLS;IL20;IRF4;TCHH;TNFSF9;TSIX"
"24";4,3;0,144;"HOXC13 (directAnnotation). ";13;"A4GALT;BMP2;CCND2;CKB;CSRP2;EHF;GEM;HELLS;IL20;IRF4;TCHH;TNFSF9;TSIX"
"25";4,26;0,143;"SREBF1 (directAnnotation). ";6;"A4GALT;AKAP12;CCND2;GNB5;P2RY10;TCHH"
"26";4,25;0,142;"";9;"AKAP12;BMP2;CKB;CSRP2;EHF;HELLS;MMP10;TCHH;TNFSF9"
"27";4,21;0,141;"";12;"A4GALT;ATP6V0D2;CALCRL;CCND2;CHML;CSRP2;EGR4;EHF;GCNT2;IL20;MMP10;ST18"
"28";4,21;0,141;"HOXD13 (inferredBy_Orthology). ";14;"A4GALT;AKAP12;BMP2;CCND2;CKB;CSRP2;EHF;GEM;HELLS;IL20;IRF4;TCHH;TNFSF9;TSIX"
"29";4,18;0,141;"";5;"CALCRL;EHF;GEM;HELLS;SHF"
"30";4,18;0,141;"";7;"CCL22;CSRP2;EHF;GNB5;NSUN7;P2RY10;XIST"
"31";4,11;0,139;"HOXD13 (inferredBy_Orthology). ";14;"A4GALT;AKAP12;BMP2;CCND2;CKB;CSRP2;EHF;GEM;HELLS;IL20;IRF4;TCHH;TNFSF9;TSIX"
"32";4,11;0,139;"TBP; TBPL2 (inferredBy_Orthology). ";7;"BMP2;CKB;CSRP2;EHF;GEM;TCHH;TNFSF9"
