"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,99;0,299;"";7;"CCR7;CSF2;FGFR1;LIF;MMP9;PTTG1;TNFRSF4"
"2";5,99;0,299;"";6;"FGFR1;IL4I1;LIF;MMP14;MMP9;NRP2"
"3";5,87;0,294;"CBFB; RUNX1; RUNX2; RUNX3 (directAnnotation). ";7;"CCR7;CSF2;FGFR1;LIF;MMP9;PTTG1;TNFRSF4"
"4";5,72;0,287;"";6;"CCR7;FGFR1;LIF;MCOLN2;MMP14;NRP2"
"5";5,69;0,286;"RUNX1 (directAnnotation). ";8;"CCR7;CSF2;FGFR1;LIF;MMP14;MMP9;PTTG1;TNFRSF4"
"6";5,65;0,284;"ETS1; ZNF354C (directAnnotation). ";5;"CCR7;MMP14;MMP9;NRP2;TNFRSF4"
"7";5,6;0,282;"RUNX1 (directAnnotation). ";6;"CCR7;CSF2;LIF;MMP9;PTTG1;TNFRSF4"
"8";5,53;0,279;"RUNX2 (directAnnotation). ";6;"CCR7;CSF2;FGFR1;MMP14;MMP9;PTTG1"
"9";5,41;0,274;"RUNX1 (inferredBy_Orthology). ";7;"CCR7;CSF2;FGFR1;LIF;MMP9;PTTG1;TNFRSF4"
"10";5,38;0,273;"RUNX1 (directAnnotation). ";7;"CCR7;CSF2;FGFR1;LIF;MMP9;PTTG1;TNFRSF4"
"11";5,3;0,269;"FOS (directAnnotation). ";8;"CCR7;CSF2;FGFR1;LIF;MMP9;NRP2;PTTG1;TM4SF19"
"12";5,3;0,269;"RUNX3 (directAnnotation). ";8;"CCR7;CSF2;FGFR1;LIF;MMP14;MMP9;PTTG1;TNFRSF4"
"13";5,23;0,266;"RUNX1 (directAnnotation). ";7;"CCR7;CSF2;FGFR1;LIF;MMP9;PTTG1;TNFRSF4"
"14";5,11;0,261;"RUNX2 (directAnnotation). ";8;"CCR7;CSF2;FGFR1;LIF;MMP14;MMP9;PTTG1;TNFRSF4"
"15";5;0,256;"RUNX2 (inferredBy_Orthology). ";8;"CCR7;CSF2;FGFR1;LIF;MMP14;MMP9;PTTG1;TNFRSF4"
"16";4,98;0,255;"MAF; SMAD1 (directAnnotation). ";4;"MMP14;MMP9;NRP2;RHCG"
