"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";4,58;0,219;"CKMT1B (directAnnotation). ";11;"ARID3A;BCL11A;DUSP2;FSTL3;GFOD1;INSIG1;MAFF;NFATC1;NR4A3;PRDM8;REV3L"
"2";4,51;0,217;"";14;"ARID3A;BCL11A;CCDC71L;CDK1;FSTL3;IL10;LPXN;MMP19;NFATC1;PRDM1;RBBP8;REV3L;SFMBT2;UBASH3B"
"3";4,46;0,215;"SMAD2 (directAnnotation). ";10;"ARID3A;CCDC71L;DUSP2;FSTL3;INSIG1;MAFF;NFATC1;NR4A3;REV3L;UBASH3B"
"4";4,08;0,202;"";21;"ARID3A;BCL11A;CDK1;CHST7;DUSP2;FSTL3;GFOD1;IL10;INSIG1;KDM6B;LPXN;MAFF;NFATC1;NFKBID;NR4A3;PHLDB1;PRDM1;RAB7B;RBBP8;REV3L;SEMA6B"
"5";4,01;0,199;"";8;"BCL11A;IL10;INSIG1;MAFF;NFATC1;NR4A3;PRDM1;SFMBT2"
"6";3,97;0,198;"";11;"ARID3A;BCL11A;FSTL3;LPXN;NFATC1;PRDM1;PRDM8;RBBP8;REV3L;SFMBT2;UBASH3B"
"7";3,92;0,196;"NANOG; POU5F1 (directAnnotation). ";13;"ARID3A;BCL11A;CCDC71L;GFOD1;IL10;LPXN;MAFF;NFATC1;PRDM1;PRDM8;REV3L;TIPARP;UBASH3B"
"8";3,91;0,196;"";23;"ADA;ARID3A;BCL11A;CCDC71L;CDK1;EREG;FSTL3;GFOD1;IL10;INSIG1;KDM6B;LPXN;NFATC1;PHLDB1;PRDM1;PRDM8;RASGRP3;RBBP8;REV3L;SFMBT2;SLC16A6;THAP2;UBASH3B"
"9";3,89;0,195;"";11;"ARID3A;BCL11A;FSTL3;LPXN;NFATC1;PRDM1;PRDM8;RBBP8;REV3L;SFMBT2;UBASH3B"
"10";3,89;0,195;"HOXA9 (directAnnotation). ";13;"ARID3A;BCL11A;CHST7;EIF4E;GFOD1;MAFF;NFATC1;NR4A3;PRDM8;RASGRP3;REV3L;SFMBT2;UBASH3B"
"11";3,87;0,195;"";23;"ADA;ARID3A;BCL11A;CCDC71L;CDK1;EREG;FSTL3;GFOD1;IL10;INSIG1;KDM6B;LPXN;NFATC1;NFKBID;PRDM1;PRDM8;RASGRP3;RBBP8;REV3L;SFMBT2;TIPARP;TPRA1;UBASH3B"
"12";3,86;0,194;"";11;"ARID3A;BCL11A;FSTL3;LPXN;NFATC1;PRDM1;PRDM8;RBBP8;REV3L;SFMBT2;UBASH3B"
"13";3,83;0,193;"";23;"ADA;ARID3A;BCL11A;CCDC71L;CDK1;EREG;FSTL3;GFOD1;IL10;INSIG1;KDM6B;LPXN;NFATC1;NFKBID;PRDM1;PRDM8;RASGRP3;RBBP8;REV3L;SFMBT2;TIPARP;TPRA1;UBASH3B"
"14";3,82;0,193;"TBP (directAnnotation). ";18;"ARID3A;BCL11A;CDK1;DUSP2;EREG;FSTL3;INSIG1;LPXN;NFATC1;NFKBID;NR4A3;PRDM1;PRDM8;RBBP8;REV3L;SFMBT2;TIPARP;UBASH3B"
