"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";9,26;0,259;"RELA (directAnnotation). ";17;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL23A;IL6;LRP12;MAPK6;MIR3142HG;NCR3LG1;NLRP3;SAV1;SGPP2;TJP2"
"2";9,25;0,259;"RELA (directAnnotation). ";15;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL6;LRP12;MAPK6;MIR3142HG;NLRP3;SAV1;SGPP2;TJP2"
"3";8,87;0,25;"RELA (directAnnotation). ";15;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL6;LRP12;MAPK6;MIR3142HG;NLRP3;SAV1;SGPP2;TJP2"
"4";8,78;0,248;"RELA (inferredBy_Orthology). ";17;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;HEY1;IL23A;IL6;LRP12;MAPK6;MIR3142HG;NLRP3;SAV1;SGPP2;TJP2"
"5";8,67;0,245;"RELA (directAnnotation). ";16;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL23A;IL6;LRP12;MAPK6;MIR3142HG;NCR3LG1;NLRP3;SGPP2;TJP2"
"6";8,64;0,244;"NFKB1 (directAnnotation). ";16;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL23A;IL6;LRP12;MAPK6;MIR3142HG;NLRP3;SAV1;SGPP2;TJP2"
"7";8,59;0,243;"NFKB1 (directAnnotation). ";15;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL23A;IL6;LRP12;MAPK6;MIR3142HG;NLRP3;SGPP2;TJP2"
"8";8,48;0,241;"REL (directAnnotation). ";14;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL6;MAPK6;MIR3142HG;NLRP3;SAV1;SGPP2;TJP2"
"9";8,47;0,24;"REL; RELA; RELB (inferredBy_Orthology). ";14;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;IL23A;IL6;MAPK6;MIR3142HG;NCR3LG1;NLRP3;SAV1;TJP2"
"10";8,44;0,239;"REL (directAnnotation). ";14;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL6;MAPK6;MIR3142HG;NLRP3;SAV1;SGPP2;TJP2"
"11";8,31;0,237;"REL; RELA; RELB (inferredBy_Orthology). ";14;"BIRC3;CCL20;CD40;CXCL2;CXCL3;IL23A;IL6;MAPK6;MIR3142HG;NCR3LG1;NLRP3;SAV1;SGPP2;TJP2"
"12";8,2;0,234;"RELA (inferredBy_Orthology). ";16;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL23A;IL6;LRP12;MAPK6;MIR3142HG;NLRP3;SAV1;SGPP2;TJP2"
"13";8,12;0,232;"REL (directAnnotation). ";20;"ABCA1;BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;GPR132;IL1R1;IL6;LRP12;MAPK6;MIR3142HG;NCR3LG1;NLRP3;SAV1;SCN1B;SGPP2;TJP2"
"14";7,88;0,226;"REL (directAnnotation). ";19;"ABCA1;BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;GPR132;IL1R1;IL6;LRP12;MAPK6;MIR3142HG;NCR3LG1;NLRP3;SCN1B;SGPP2;TJP2"
"15";7,79;0,224;"RELA (directAnnotation). ";17;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;HEY1;IL23A;IL6;LRP12;MAPK6;MIR3142HG;NCR3LG1;NLRP3;SGPP2;TJP2"
"16";7,67;0,221;"RELA (directAnnotation). ";12;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL6;MAPK6;MIR3142HG;NLRP3;SGPP2"
"17";7,67;0,221;"REL; RELA; RELB (inferredBy_Orthology). ";12;"ABCA1;BIRC3;CCL20;CD40;CXCL2;CXCL3;IL6;MAPK6;MIR3142HG;NLRP3;SGPP2;TJP2"
"18";7,6;0,22;"REL; RELA; RELB (inferredBy_Orthology). ";13;"ABCA1;BIRC3;CCL20;CD40;CLCF1;CXCL2;CXCL3;IL6;MAPK6;MIR3142HG;NLRP3;SGPP2;TJP2"
"19";7,35;0,213;"REL; RELA; RELB (inferredBy_Orthology). ";16;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL1R1;IL23A;IL6;MAPK6;MIR3142HG;NCR3LG1;NLRP3;SGPP2;TJP2"
"20";7,32;0,213;"REL; RELA; RELB (inferredBy_Orthology). ";14;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL23A;IL6;MAPK6;MIR3142HG;NLRP3;SGPP2;TJP2"
"21";7,27;0,211;"";13;"BIRC3;CCL20;CD40;CXCL2;CXCL3;IL6;KANK1;MAPK6;MIR3142HG;NLRP3;SAV1;SGPP2;TJP2"
"22";7,24;0,211;"RELA (directAnnotation). ";13;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL23A;IL6;LRP12;MIR3142HG;NLRP3;SGPP2"
"23";7,21;0,21;"RELA (directAnnotation). ";12;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL23A;IL6;MIR3142HG;SCN1B;SGPP2"
"24";7,09;0,207;"NFKB2 (directAnnotation). ";14;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL23A;IL6;MAPK6;MIR3142HG;NLRP3;SGPP2;TJP2"
"25";7,07;0,207;"NFKB1 (inferredBy_Orthology). ";13;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;HEY1;IL6;MAPK6;MIR3142HG;SGPP2;TJP2"
"26";7,05;0,206;"NFKB1; REL; RELA (directAnnotation). ";13;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;HEY1;IL6;MAPK6;MIR3142HG;SGPP2;TJP2"
"27";7;0,205;"RELA (directAnnotation). ";13;"BIRC3;CCL20;CD40;CD83;CXCL2;CXCL3;DENND4A;IL6;LRP12;MAPK6;MIR3142HG;NLRP3;SGPP2"
