"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,66;0,159;"NFKB1 (directAnnotation). ";24;"ACSL1;CCL4;CCL4L2;CDKN1A;CXCL8;DRAM1;FFAR2;FLT1;HIVEP2;IL1B;ITGA5;LAMB3;MAML2;MAP4K4;MIR155HG;NFKB1;OPTN;PTGS2;RIN2;SDC4;TNF;TNFAIP8;TNIP1;TNIP3"
"2";5,6;0,158;"RELA (directAnnotation). ";20;"ACSL1;CCL4;CCL4L2;CDKN1A;CXCL8;FFAR2;HIVEP2;ITGA5;LAMB3;MAML2;MAP4K4;MIR155HG;NFKB1;OPTN;PTGS2;RIN2;SDC4;TNF;TNIP1;TNIP3"
"3";5,58;0,157;"NFKB1 (directAnnotation). ";20;"CCL4;CCL4L2;CXCL8;FFAR2;HIVEP2;IL1B;ITGA5;LAMB3;MAML2;MAP4K4;MIR155HG;NFKB1;OPTN;PTGS2;RIN2;SDC4;TNF;TNFAIP8;TNIP1;TNIP3"
"4";5,55;0,157;"REL; RELA; RELB (inferredBy_Orthology). ";22;"CCL4;CCL4L2;CDC42EP3;CXCL8;DRAM1;ECE1;FFAR2;FLT1;FNDC3B;HIVEP2;IL1B;ITGA5;MAML2;MAP4K4;MIR155HG;NFKB1;OPTN;PTGS2;SDC4;TNF;TNIP1;TNIP3"
"5";5,55;0,157;"CEBPB (directAnnotation). ";20;"ACSL1;AQP9;CCL3;CCL3L1;DRAM1;DUSP6;EHD1;GPR84;HIVEP2;IL1B;IL1RN;ITGA5;MEFV;NFKB1;PLEK;PPARG;PTGS2;RAPGEF2;TNFAIP6;ZC3H12C"
"6";5,51;0,156;"CEBPB (directAnnotation). ";18;"ACSL1;AQP9;CCL3;CCL3L1;DRAM1;DUSP6;HIVEP2;IL1B;IL1RN;ITGA5;MEFV;NFKB1;PLEK;PPARG;PTGS2;RAPGEF2;TNFAIP6;ZC3H12C"
"7";5,49;0,155;"CEBPG (directAnnotation). ";21;"ACSL1;AQP9;CCL3;CCL3L1;DRAM1;DUSP6;EHD1;GPR84;HIVEP2;IL1B;IL1RN;ITGA5;KYNU;MEFV;NFKB1;PNP;PPARG;PTGS2;RAPGEF2;TNFAIP6;ZC3H12C"
"8";5,42;0,154;"CEBPD (directAnnotation). ";21;"ACSL1;AQP9;CCL3;CCL3L1;DRAM1;DUSP6;EHD1;GPR84;HIVEP2;IL1B;IL1RN;ITGA5;MEFV;NFKB1;PLEK;PNP;PPARG;PTGS2;RAPGEF2;TNFAIP6;ZC3H12C"
"9";5,41;0,154;"CEBPE (directAnnotation). ";23;"ACSL1;AQP9;CCL3;CCL3L1;DRAM1;DUSP6;EHD1;GPR84;HIVEP2;IL1B;IL1RN;ITGA5;KYNU;MEFV;NFKB1;PLEK;PNP;PPARG;PTGS2;RAPGEF2;SIPA1L1;TNFAIP6;ZC3H12C"
"10";5,34;0,152;"CEBPE (directAnnotation). ";22;"ACSL1;AQP9;CCL3;CCL3L1;DRAM1;DUSP6;EHD1;GPR84;HIVEP2;IL1B;IL1RN;ITGA5;KYNU;MEFV;NFKB1;PLEK;PPARG;PTGS2;RAPGEF2;SIPA1L1;TNFAIP6;ZC3H12C"
