"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";6,27;0,169;"IRF4 (directAnnotation). ";19;"CCL5;CD274;CDKN2B;CNKSR3;CRIM1;CXCL5;EDN1;EMP1;GATA2;GCSAML;IDO1;ISG15;MET;P2RX7;PLOD2;RSAD2;SLC1A2;SLC7A11;TNFSF15"
"2";6,13;0,166;"IRF1; IRF2; IRF3; IRF4; IRF5; IRF6; IRF7; IRF8; IRF9 (directAnnotation). ";18;"C1orf61;CCL5;CD274;CDKN2B;CNKSR3;CRIM1;CXCL5;EDN1;GCSAML;IDO1;ISG15;MET;P2RX7;PLOD2;RSAD2;SLC39A8;SLC7A11;TNFSF15"
"3";5,46;0,151;"IRF2 (directAnnotation). ";19;"C1orf61;CCL5;CD274;CNKSR3;CRIM1;CXCL5;EDN1;ETS1;GATA2;IDO1;ISG15;MET;P2RX7;RSAD2;SDC2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"4";5,46;0,151;"IRF1 (directAnnotation). ";25;"C1orf61;CCL5;CD274;CDKN2B;CNKSR3;CRIM1;CXCL5;EDN1;EMP1;ETS1;GATA2;GCSAML;IDO1;ISG15;LINC01366;MET;MSC;P2RX7;PLOD2;RSAD2;SDC2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"5";5,45;0,151;"NFKB1 (directAnnotation). ";15;"CCL23;CCL5;CSF3;CXCL1;CXCL5;DLL1;ETS1;IL36G;INHBA;LINC01366;MSANTD3;NEURL3;SDC2;STEAP4;TNFSF15"
"6";5,44;0,151;"STAT2 (directAnnotation). ";16;"CCL5;CD274;CNKSR3;CRIM1;EMP1;IDO1;ISG15;MET;P2RX7;PLOD2;RSAD2;SLC1A2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"7";5,37;0,149;"RELA (directAnnotation). ";14;"CCL23;CCL5;CSF3;CXCL1;CXCL5;DLL1;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;PTGIR;STEAP4;TNFSF15"
"8";5,37;0,149;"NFKB1 (directAnnotation). ";15;"CCL23;CCL5;CSF3;CXCL1;CXCL5;DLL1;ETS1;IL36G;INHBA;LINC01366;MSANTD3;NEURL3;SDC2;STEAP4;TNFSF15"
"9";5,36;0,149;"RELA (inferredBy_Orthology). ";13;"CCL5;CSF3;CXCL1;CXCL5;DLL1;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;PTGIR;SDC2;TNFSF15"
"10";5,33;0,149;"RELA (directAnnotation). ";13;"CCL5;CSF3;CXCL1;CXCL5;DLL1;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;PTGIR;STEAP4;TNFSF15"
"11";5,29;0,148;"IRF1 (directAnnotation). ";19;"C1orf61;CCL5;CD274;CDKN2B;CNKSR3;CRIM1;CXCL5;EDN1;ETS1;GATA2;IDO1;ISG15;MET;P2RX7;PLOD2;RSAD2;SLC7A11;TNFSF15;ZC3HAV1"
"12";5,29;0,148;"STAT1 (directAnnotation). ";13;"C1orf61;CCL5;CD274;CNKSR3;CRIM1;IDO1;ISG15;RSAD2;SLC1A2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"13";5,23;0,146;"RELA (directAnnotation). ";14;"CCL23;CCL5;CSF3;CXCL1;CXCL5;DLL1;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;PTGIR;STEAP4;TNFSF15"
"14";5,21;0,146;"IRF3 (directAnnotation). ";18;"ARID5B;CCL5;CD274;CNKSR3;CRIM1;EDN1;ETS1;IDO1;ISG15;MET;P2RX7;RSAD2;SDC2;SLC1A2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"15";5,18;0,145;"IRF2 (directAnnotation). ";16;"C1orf61;CCL5;CD274;CDKN2B;CNKSR3;CRIM1;EDN1;ETS1;GATA2;IDO1;ISG15;MET;P2RX7;RSAD2;SLC7A11;TNFSF15"
"16";5,17;0,145;"RELA (directAnnotation). ";12;"CCL23;CCL5;CXCL1;CXCL5;DLL1;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;STEAP4;TNFSF15"
"17";5,16;0,145;"STAT2 (directAnnotation). ";26;"ARID5B;C1orf61;C2CD4B;CCL5;CD274;CDKN2B;CNKSR3;CRIM1;CXCL5;EDN1;EMP1;GATA2;HYDIN;IDO1;IL7R;ISG15;MET;P2RX7;PLOD2;RSAD2;SDC2;SLC1A2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
"18";5,14;0,145;"RELA (directAnnotation). ";12;"CCL5;CXCL1;CXCL5;DLL1;ETS1;IL36G;LINC01366;MSANTD3;NEURL3;PTGIR;STEAP4;TNFSF15"
"19";5,14;0,144;"IRF1 (directAnnotation). ";16;"C1orf61;CCL5;CD274;CNKSR3;CRIM1;ETS1;GATA2;IDO1;ISG15;MET;P2RX7;RSAD2;SLC39A8;SLC7A11;TNFSF15;ZC3HAV1"
