"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";12,9;0,481;"HSF4 (directAnnotation). ";14;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;PDK1;SLC5A3;ZFAND2A"
"2";12,9;0,479;"HSF1 (directAnnotation). ";14;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;SLC5A3;ZFAND2A"
"3";12,6;0,472;"HSF1 (directAnnotation). ";13;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;SLC5A3;ZFAND2A"
"4";12,5;0,467;"HSF1 (directAnnotation). ";14;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;SLC5A3;ZFAND2A"
"5";12,5;0,467;"HSF1 (directAnnotation). ";13;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;SLC5A3;ZFAND2A"
"6";12,3;0,461;"HSF2 (directAnnotation). ";13;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;SLC5A3;ZFAND2A"
"7";12,3;0,461;"HSF1 (directAnnotation). ";14;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;PDK1;SLC5A3;ZFAND2A"
"8";12,3;0,46;"HSF2 (directAnnotation). ";13;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;SLC5A3;ZFAND2A"
"9";12,2;0,457;"HSF2 (directAnnotation). ";14;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;SLC5A3;ZFAND2A"
"10";12,2;0,456;"";14;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;SLC5A3;TNFSF14;ZFAND2A"
"11";12,1;0,455;"HSF2 (directAnnotation). ";15;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;PDK1;SLC5A3;ZFAND2A"
"12";12,1;0,452;"HSF1 (directAnnotation). ";13;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;SLC5A3;ZFAND2A"
"13";12;0,448;"HSF2 (directAnnotation). ";14;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;SLC5A3;ZFAND2A"
"14";11,9;0,448;"HSF1 (directAnnotation). ";14;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;SLC5A3;ZFAND2A"
"15";11,9;0,447;"HSF1; HSF2; HSF4 (inferredBy_Orthology). ";13;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPH1;IER5;SLC5A3;ZFAND2A"
"16";11,9;0,447;"HSF1 (directAnnotation). ";15;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;PDK1;SLC5A3;TNFSF14;ZFAND2A"
"17";11,9;0,447;"HSF4 (directAnnotation). ";16;"BAG3;CSF1;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;SLC5A3;TNFSF14;ZFAND2A"
"18";11,8;0,444;"HSF4 (directAnnotation). ";17;"BAG3;CSF1;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG2;SLC5A3;TNFSF14;ZFAND2A"
"19";11,8;0,444;"HSF1; HSF2; HSF4 (inferredBy_Orthology). ";13;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPH1;IER5;SLC5A3;ZFAND2A"
"20";11,8;0,444;"HSF1 (directAnnotation). ";16;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;OLIG2;PDK1;SLC5A3;ZFAND2A"
"21";11,8;0,441;"HSF4 (directAnnotation). ";13;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPH1;IER5;SLC5A3;ZFAND2A"
"22";11,5;0,433;"HSF1 (directAnnotation). ";15;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;IER5;PDK1;SLC5A3;ZFAND2A"
"23";11,5;0,432;"";14;"BAG3;DNAJA4;DNAJB1;DNAJB4;HSP90AA1;HSPA1A;HSPA1B;HSPA6;HSPB1;HSPD1;HSPH1;SLC5A3;TNFSF14;ZFAND2A"
