"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";6,29;0,233;"";5;"BNIP3;BNIP3L;ENO2;LDHA;P4HA1"
"2";6,08;0,225;"";6;"FCGR2B;GPRC5A;KDM5B;LDHA;SLC2A3;TNS1"
"3";5,9;0,22;"";4;"BNIP3L;ERO1A;GPRC5A;RRAD"
"4";5,85;0,218;"ARNT (directAnnotation). ";5;"BNIP3;BNIP3L;ENO2;LDHA;P4HA1"
"5";5,64;0,211;"HIF1A (directAnnotation). ";4;"BNIP3L;ENO2;LDHA;P4HA1"
"6";5,54;0,208;"";5;"BNIP3;BNIP3L;ENO2;LDHA;P4HA1"
"7";5,43;0,204;"";4;"FCGR2B;RRAD;SCD;TNS1"
"8";5,39;0,203;"";7;"BNIP3L;ERO1A;GPRC5A;LDHA;P4HA1;RRAD;SCD"
"9";5,24;0,198;"";6;"BNIP3L;ERO1A;LDHA;P4HA1;RRAD;SCD"
"10";5,18;0,196;"HIF1A (directAnnotation). ";7;"BNIP3;BNIP3L;ENO2;ERO1A;LDHA;P4HA1;RRAD"
"11";5,16;0,195;"IKZF2; NR1H4; RXRA (directAnnotation). ";4;"CA2;FCGR2B;SCD;TNS1"
"12";5,07;0,192;"";7;"BNIP3L;ERO1A;GPRC5A;LDHA;RRAD;SCD;TNS1"
"13";4,94;0,188;"";5;"BNIP3L;ERO1A;LDHA;P4HA1;RRAD"
"14";4,9;0,187;"";4;"FCGR2B;SCD;SLC2A3;TNS1"
"15";4,88;0,186;"ARNT; HIF1A (directAnnotation). ";3;"ENO2;LDHA;P4HA1"
"16";4,87;0,186;"HIF1A (directAnnotation). ";4;"BNIP3L;ENO2;LDHA;P4HA1"
"17";4,81;0,184;"AHR; AHRR; ARNT; ARNT2; HIF1A (directAnnotation). ";5;"BNIP3;BNIP3L;ENO2;LDHA;P4HA1"
"18";4,81;0,184;"";4;"BNIP3L;ERO1A;LDHA;RRAD"
