"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL20_ITGAM","CCL20","ITGAM",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-6.08633317706447,4e-05,0.000672
"CXCL14_ITGAM","CXCL14","ITGAM",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-5.92529439319231,5e-05,0.000816666666666667
"CCL20_SIGLEC10","CCL20","SIGLEC10",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-5.45407672777583,0,0
"CCL20_TNFRSF13B","CCL20","TNFRSF13B",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-5.42617214173557,0,0
"CXCL14_SIGLEC10","CXCL14","SIGLEC10",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-5.29332279533009,7e-05,0.00108315789473684
"CXCL14_TNFRSF13B","CXCL14","TNFRSF13B",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-5.26549187061865,6e-05,0.000953513513513514
"CCL20_ITGAL","CCL20","ITGAL",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-5.08634490796824,4e-05,0.000672
"CCL20_BSG","CCL20","BSG",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-5.04078489644633,3e-05,0.000534545454545455
"CXCL14_ITGAL","CXCL14","ITGAL",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.9255901997646,0.00032,0.00342109090909091
"CCL20_IL10RA","CCL20","IL10RA",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.91642224978532,9e-05,0.00135692307692308
"CXCL14_BSG","CXCL14","BSG",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.88009217953769,0.00022,0.00281217391304348
"CCL20_TNFRSF10A","CCL20","TNFRSF10A",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.86117116497172,0.00017,0.00227181818181818
"CCL20_NCR3","CCL20","NCR3",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.76441884970581,0.00025,0.00294
"CXCL14_IL10RA","CXCL14","IL10RA",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.75572416793023,0.00039,0.00395379310344828
"CCL20_CCR6","CCL20","CCR6",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.70153851542332,0.00025,0.00294
"CXCL14_TNFRSF10A","CXCL14","TNFRSF10A",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.70044353177376,0.00064,0.00553411764705882
"CCL20_IL10RB","CCL20","IL10RB",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.67884245976281,0.00041,0.00408610169491525
"CCL20_CXCR4","CCL20","CXCR4",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.66132705155309,0.00025,0.00294
"CXCL14_NCR3","CXCL14","NCR3",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.603713383557,0.00085,0.00714
"CXCL12_ITGAM","CXCL12","ITGAM",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-4.59101018807086,1e-05,0.00021
"CCL20_CD2","CCL20","CD2",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.58155220415809,0.00337,0.0214335483870968
"CXCL14_CCR6","CXCL14","CCR6",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.54085455121993,0.00097,0.00781315068493151
"CXCL14_IL10RB","CXCL14","IL10RB",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.51812112391374,0.00125,0.00967105263157895
"CXCL14_CXCR4","CXCL14","CXCR4",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.50066249150536,0.00121,0.0094864
"CCL20_IFNGR1","CCL20","IFNGR1",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.43934754610498,0.00092,0.00761915492957746
"CD55_ITGAM","CD55","ITGAM",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-4.43611091070647,0.00029,0.00321735849056604
"CXCL14_CD2","CXCL14","CD2",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.4207843359822,0.0051,0.026985
"ICAM2_ITGAM","ICAM2","ITGAM",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-4.41238669793115,0.00011,0.00154
"CCL20_CD74","CCL20","CD74",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.37100656405843,0.00094,0.00767666666666667
"CCL20_CLEC2D","CCL20","CLEC2D",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.32401103743375,0.00133,0.0101563636363636
"CCL20_ADGRE5","CCL20","ADGRE5",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.3187533668146,0.00166,0.0113497674418605
"CCL20_IL12RB1","CCL20","IL12RB1",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.28565332540647,0.00502,0.0268341818181818
"CXCL14_IFNGR1","CXCL14","IFNGR1",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.27866770028006,0.00252,0.0166489887640449
"KLRB1_ITGAM","KLRB1","ITGAM",208,27,5.14296604940195e-06,8.30769179644974e-07,131,-4.25647121664869,0.00687,0.0336413114754098
"CXCL14_CD74","CXCL14","CD74",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.21034229219799,0.00339,0.0214335483870968
"CXCL14_CLEC2D","CXCL14","CLEC2D",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.16334122328255,0.00377,0.02309125
"CXCL14_ADGRE5","CXCL14","ADGRE5",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.15807642556535,0.00425,0.0247425742574257
"CXCL14_IL12RB1","CXCL14","IL12RB1",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-4.12488946888667,0.0081,0.03819648
"CCL20_IL6ST","CCL20","IL6ST",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-4.11234225146472,0.00641,0.0327746086956522
"IL23A_ITGAM","IL23A","ITGAM",512,74,1.26596087369894e-05,2.27692293680474e-06,87,-4.10150113829751,0.01997,0.0832791489361702
"IL10_ITGAM","IL10","ITGAM",259,40,6.403981763438e-06,1.23076915502959e-06,126,-4.0058176891991,0.00618,0.0319789473684211
"CD52_ITGAM","CD52","ITGAM",659,104,1.6294301089211e-05,3.19999980307694e-06,294,-3.97465534809685,0.00141,0.0103635
"CXCL12_SIGLEC10","CXCL12","SIGLEC10",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.95879729648049,0,0
"CXCL14_IL6ST","CXCL14","IL6ST",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-3.95163927009144,0.01059,0.046469552238806
"CXCL12_TNFRSF13B","CXCL12","TNFRSF13B",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.93090369615422,0,0
"CD58_ITGAM","CD58","ITGAM",214,37,5.29132083928854e-06,1.13846146840237e-06,169,-3.84294841981455,0.00481,0.0261633027522936
"CD55_SIGLEC10","CD55","SIGLEC10",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.803857159769,0,0
"APP_ITGAM","APP","ITGAM",122,22,3.01654739436076e-06,6.76923035266275e-07,117,-3.78221352988271,0.00047,0.00445741935483871
"ICAM2_SIGLEC10","ICAM2","SIGLEC10",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-3.7802148449879,0,0
"CD55_TNFRSF13B","CD55","TNFRSF13B",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.77595318221588,0,0
"ICAM2_TNFRSF13B","ICAM2","TNFRSF13B",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-3.75233154722872,0,0
"PPIA_ITGAM","PPIA","ITGAM",2143,404,5.29873857878287e-05,1.24307684657989e-05,695,-3.71817572184005,0.00074,0.00630608695652174
"CCL20_CD72","CCL20","CD72",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-3.65096223276942,0.03819,0.143946923076923
"CCL20_CXCR3","CCL20","CXCR3",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-3.62690719360687,0.11594,0.332549853658537
"KLRB1_SIGLEC10","KLRB1","SIGLEC10",208,27,5.14296604940195e-06,8.30769179644974e-07,131,-3.62424563340006,0.01466,0.062464347826087
"KLRB1_TNFRSF13B","KLRB1","TNFRSF13B",208,27,5.14296604940195e-06,8.30769179644974e-07,131,-3.59634871997335,0.00963,0.0437381538461538
"CXCL12_ITGAL","CXCL12","ITGAL",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.59106557848672,0,0
"OSM_ITGAM","OSM","ITGAM",134,28,3.31325697413395e-06,8.61538408520713e-07,80,-3.56965706624738,0.03889,0.145651719745223
"SEMA4D_ITGAM","SEMA4D","ITGAM",133,28,3.28853117581951e-06,8.61538408520713e-07,132,-3.55885034717937,0.00698,0.0336413114754098
"CXCL12_BSG","CXCL12","BSG",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.54551467114624,0,0
"CXCL14_CD72","CXCL14","CD72",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-3.49029138999013,0.04523,0.161183272727273
"IL23A_SIGLEC10","IL23A","SIGLEC10",512,74,1.26596087369894e-05,2.27692293680474e-06,87,-3.46924839853102,0.06031,0.201490227272727
"CXCL14_CXCR3","CXCL14","CXCR3",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-3.46600692613089,0.10127,0.2977338
"ITGB1_ITGAM","ITGB1","ITGAM",465,106,1.14974962162111e-05,3.26153826082841e-06,327,-3.44412755549021,0.00768,0.0367141463414634
"IL23A_TNFRSF13B","IL23A","TNFRSF13B",512,74,1.26596087369894e-05,2.27692293680474e-06,87,-3.44134463813933,0.05586,0.190963255813953
"VEGFA_ITGAM","VEGFA","ITGAM",1030,236,2.54675722638654e-05,7.26153801467458e-06,339,-3.43675416892079,0.01843,0.077406
"CD55_ITGAL","CD55","ITGAL",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.4361254036258,0.00023,0.00287744680851064
"CXCL12_IL10RA","CXCL12","IL10RA",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.42115127341404,0,0
"ICAM2_ITGAL","ICAM2","ITGAL",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-3.41248326132175,0.00017,0.00227181818181818
"CD55_BSG","CD55","BSG",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.39056585872798,0,0
"IL10_SIGLEC10","IL10","SIGLEC10",259,40,6.403981763438e-06,1.23076915502959e-06,126,-3.3735780045423,0.0123,0.0535733333333333
"ICAM2_BSG","ICAM2","BSG",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-3.36694086680249,3e-05,0.000534545454545455
"CXCL12_TNFRSF10A","CXCL12","TNFRSF10A",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.36589592354415,0,0
"ICAM1_ITGAM","ICAM1","ITGAM",1564,377,3.86711485637723e-05,1.15999992861539e-05,373,-3.36357498312931,0.02631,0.1043112
"IL10_TNFRSF13B","IL10","TNFRSF13B",259,40,6.403981763438e-06,1.23076915502959e-06,126,-3.34567748685249,0.00682,0.0336413114754098
"CD52_SIGLEC10","CD52","SIGLEC10",659,104,1.6294301089211e-05,3.19999980307694e-06,294,-3.34239809314778,0.00026,0.00299764705882353
"VEGFB_ITGAM","VEGFB","ITGAM",158,39,3.90667613368032e-06,1.19999992615385e-06,143,-3.32931658710257,0.00851,0.0397133333333333
"CD52_TNFRSF13B","CD52","TNFRSF13B",659,104,1.6294301089211e-05,3.19999980307694e-06,294,-3.31449319080992,2e-05,0.00040551724137931
"CCL20_FLT1","CCL20","FLT1",2766,101,6.83915581377201e-05,3.10769211644972e-06,215,-3.27898769578157,0.18424,0.481480533333333
"CXCL12_NCR3","CXCL12","NCR3",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.26914685631228,0,0
"CD55_IL10RA","CD55","IL10RA",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.26620318354718,3e-05,0.000534545454545455
"KLRB1_ITGAL","KLRB1","ITGAL",208,27,5.14296604940195e-06,8.30769179644974e-07,131,-3.25651397496528,0.08524,0.263795368421053
"ICAM2_IL10RA","ICAM2","IL10RA",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-3.24257677345744,1e-04,0.00143414634146341
"KLRB1_BSG","KLRB1","BSG",208,27,5.14296604940195e-06,8.30769179644974e-07,131,-3.21096026339873,0.0707,0.227167213114754
"CD55_TNFRSF10A","CD55","TNFRSF10A",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.21095190042169,0.00049,0.00457333333333333
"CD58_SIGLEC10","CD58","SIGLEC10",214,37,5.29132083928854e-06,1.13846146840237e-06,169,-3.21071084901157,0.00418,0.0245784
"CXCL12_CCR6","CXCL12","CCR6",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.20626963019239,0,0
"ICAM2_TNFRSF10A","ICAM2","TNFRSF10A",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-3.18731744913808,0.00042,0.004116
"CXCL12_IL10RB","CXCL12","IL10RB",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.18356822921224,1e-05,0.00021
"CD58_TNFRSF13B","CD58","TNFRSF13B",214,37,5.29132083928854e-06,1.13846146840237e-06,169,-3.18281081049553,0.00105,0.00834324324324324
"CD93_ITGAM","CD93","ITGAM",398,109,9.84086772914411e-06,3.35384594745563e-06,258,-3.17940204342047,0.00648,0.0328468965517241
"CXCL12_CXCR4","CXCL12","CXCR4",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.16606094861596,0,0
"APP_SIGLEC10","APP","SIGLEC10",122,22,3.01654739436076e-06,6.76923035266275e-07,117,-3.14999671748605,3e-05,0.000534545454545455
"APP_TNFRSF13B","APP","TNFRSF13B",122,22,3.01654739436076e-06,6.76923035266275e-07,117,-3.12210179044872,1e-05,0.00021
"CXCL14_FLT1","CXCL14","FLT1",98,4,2.42312823481438e-06,1.23076915502959e-07,48,-3.11817918346279,0.16548,0.440281628959276
"CD55_NCR3","CD55","NCR3",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.11419974961021,0.00039,0.00395379310344828
"IL23A_ITGAL","IL23A","ITGAL",512,74,1.26596087369894e-05,2.27692293680474e-06,87,-3.1015166748915,0.15816,0.426596697247706
"ICAM2_NCR3","ICAM2","NCR3",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-3.09057141761806,0.00057,0.00507818181818182
"KLRB1_IL10RA","KLRB1","IL10RA",208,27,5.14296604940195e-06,8.30769179644974e-07,131,-3.08659711252612,0.12962,0.364672535885168
"CXCL12_CD2","CXCL12","CD2",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-3.08627141812666,0.00056,0.00506584615384615
"PPIA_SIGLEC10","PPIA","SIGLEC10",2143,404,5.29873857878287e-05,1.24307684657989e-05,695,-3.08591029749958,0,0
"B2M_ITGAM","B2M","ITGAM",32466,9518,0.000802747768076364,0.000292861520439291,849,-3.08117383999617,0.00466,0.0258498113207547
"PPIA_TNFRSF13B","PPIA","TNFRSF13B",2143,404,5.29873857878287e-05,1.24307684657989e-05,695,-3.05800335298303,0,0
"IL23A_BSG","IL23A","BSG",512,74,1.26596087369894e-05,2.27692293680474e-06,87,-3.05595729017885,0.15812,0.426596697247706
"CD55_CCR6","CD55","CCR6",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.05131956119432,0.00035,0.003675
"KLRB1_TNFRSF10A","KLRB1","TNFRSF10A",208,27,5.14296604940195e-06,8.30769179644974e-07,131,-3.03134310791997,0.17461,0.46248054054054
"CD55_IL10RB","CD55","IL10RB",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.0286232703306,0.00247,0.0165040909090909
"ICAM2_CCR6","ICAM2","CCR6",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-3.02769708879571,0.00063,0.0055289552238806
"CD55_CXCR4","CD55","CXCR4",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-3.01110822167953,1e-05,0.00021
"IL10_ITGAL","IL10","ITGAL",259,40,6.403981763438e-06,1.23076915502959e-06,126,-3.00584635114192,0.07831,0.24756064516129
"ICAM2_IL10RB","ICAM2","IL10RB",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-3.00499071562377,0.00159,0.0109990588235294
"ICAM2_CXCR4","ICAM2","CXCR4",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-2.98749099660704,0.00043,0.00414491803278688
"CD52_ITGAL","CD52","ITGAL",659,104,1.6294301089211e-05,3.19999980307694e-06,294,-2.97466636149443,0.00865,0.0400488188976378
"BAG6_ITGAM","BAG6","ITGAM",113,36,2.79401520953087e-06,1.10769223952663e-06,120,-2.96119024008326,0.02175,0.0900633802816901
"IL10_BSG","IL10","BSG",259,40,6.403981763438e-06,1.23076915502959e-06,126,-2.96028962767858,0.06173,0.205069152542373
"CXCL12_IFNGR1","CXCL12","IFNGR1",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-2.94407929671348,0,0
"OSM_SIGLEC10","OSM","SIGLEC10",134,28,3.31325697413395e-06,8.61538408520713e-07,80,-2.93742883047444,0.12552,0.354835384615385
"KLRB1_NCR3","KLRB1","NCR3",208,27,5.14296604940195e-06,8.30769179644974e-07,131,-2.93459303710214,0.22586,0.560361518987342
"IL23A_IL10RA","IL23A","IL10RA",512,74,1.26596087369894e-05,2.27692293680474e-06,87,-2.93159460702509,0.2149,0.542322746781116
"CD55_CD2","CD55","CD2",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-2.93133275416543,0.05558,0.190963255813953
"CD52_BSG","CD52","BSG",659,104,1.6294301089211e-05,3.19999980307694e-06,294,-2.92910602874987,0.00149,0.0105556626506024
"SEMA4D_SIGLEC10","SEMA4D","SIGLEC10",133,28,3.28853117581951e-06,8.61538408520713e-07,132,-2.9266220889761,0.01032,0.0463218320610687
