"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL20_CD209","CCL20","CD209",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-6.33078100657877,0,0
"CXCL14_CD209","CXCL14","CD209",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-6.16971974782855,1e-05,0.000141176470588235
"CCL20_ITGAM","CCL20","ITGAM",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.79643651535514,0,0
"CXCL14_ITGAM","CXCL14","ITGAM",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-5.63518050777383,5e-05,0.000545454545454545
"CCL20_IL1RAP","CCL20","IL1RAP",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.37456766049652,0,0
"IL1A_CD209","IL1A","CD209",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-5.34616276133739,1e-05,0.000141176470588235
"CCL20_FPR3","CCL20","FPR3",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.29357042993435,0,0
"CCL20_FPR1","CCL20","FPR1",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.28512811510085,0,0
"CCL20_SIGLEC10","CCL20","SIGLEC10",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.2571602428442,0,0
"THBS1_CD209","THBS1","CD209",5434,421,0.000134229670028444,1.29020774612536e-05,454,-5.24554200007496,0,0
"CXCL14_IL1RAP","CXCL14","IL1RAP",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-5.21362692504713,1e-04,0.001
"CCL20_MERTK","CCL20","MERTK",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.17550534172342,4e-05,0.00045933014354067
"CXCL14_FPR3","CXCL14","FPR3",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-5.13279712224042,5e-05,0.000545454545454545
"CCL20_ADGRE2","CCL20","ADGRE2",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.1279543903834,0,0
"CCL20_CCR1","CCL20","CCR1",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.12609623475098,0,0
"CCL20_IL12RB1","CCL20","IL12RB1",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.12609623475098,0,0
"CXCL14_FPR1","CXCL14","FPR1",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-5.12440604279318,3e-05,0.000361809045226131
"CCL20_TNFRSF21","CCL20","TNFRSF21",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.11180747298447,0,0
"CXCL14_SIGLEC10","CXCL14","SIGLEC10",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-5.09644341074822,7e-05,0.000746666666666667
"CD1D_CD209","CD1D","CD209",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-5.08707313501032,0,0
"CCL20_PILRA","CCL20","PILRA",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.08335089327746,0,0
"TNF_CD209","TNF","CD209",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-5.04922146301446,0,0
"CCL20_IFNGR1","CCL20","IFNGR1",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-5.04274115579706,0,0
"CXCL14_MERTK","CXCL14","MERTK",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-5.01450672054621,0.00234,0.0131830985915493
"CXCL14_ADGRE2","CXCL14","ADGRE2",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.96720819653051,0.00011,0.00107317073170732
"CXCL14_CCR1","CXCL14","CCR1",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.96517223138868,0.00031,0.00252203389830508
"CXCL14_IL12RB1","CXCL14","IL12RB1",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.96517223138868,0.00026,0.00216666666666667
"CXCL14_TNFRSF21","CXCL14","TNFRSF21",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.95104385325129,0.00011,0.00107317073170732
"CCL20_SORT1","CCL20","SORT1",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-4.93847034691351,0,0
"CXCL14_PILRA","CXCL14","PILRA",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.9226209523371,0.00011,0.00107317073170732
"CCL20_CD36","CCL20","CD36",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-4.92140420752711,0,0
"CXCL14_IFNGR1","CXCL14","IFNGR1",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.88206659581682,1e-04,0.001
"CCL20_BCR","CCL20","BCR",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-4.86446978257659,0,0
"CXCL12_CD209","CXCL12","CD209",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-4.83545428015598,0,0
"CCL20_CD72","CCL20","CD72",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-4.82977062714639,0,0
"IL1A_ITGAM","IL1A","ITGAM",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-4.8118105238755,0.00016,0.00146564885496183
"CXCL14_SORT1","CXCL14","SORT1",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.77757340914038,0.00063,0.0045
"CXCL14_CD36","CXCL14","CD36",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.76068533209512,2e-04,0.00176470588235294
"CCL20_CXCR4","CCL20","CXCR4",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-4.74822334481281,0,0
"THBS1_ITGAM","THBS1","ITGAM",5434,421,0.000134229670028444,1.29020774612536e-05,454,-4.71120370302223,1e-05,0.000141176470588235
"CXCL14_BCR","CXCL14","BCR",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.70357331052573,0.00098,0.00640871934604905
"CD55_CD209","CD55","CD209",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-4.68055843051554,0,0
"CXCL14_CD72","CXCL14","CD72",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-4.66903162712049,0.00037,0.00292105263157895
"ICAM2_CD209","ICAM2","CD209",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-4.6568272164922,0,0
"CCL20_PLAUR","CCL20","PLAUR",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-4.64822375631844,0,0
"CCL20_SIRPA","CCL20","SIRPA",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-4.64039608444978,0,0
