"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CXCL14_CD36","CXCL14","CD36",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-6.1279292987233,0,0
"CXCL14_ADGRG6","CXCL14","ADGRG6",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-5.56661777000703,0,0
"CXCL14_MERTK","CXCL14","MERTK",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-5.39311725165663,0,0
"IL1A_CD36","IL1A","CD36",692,50,1.70526962567582e-05,1.54472093782109e-06,125,-5.30399455576418,0.00042,0.00662561797752809
"THBS1_CD36","THBS1","CD36",5434,421,0.000133908022339919,1.30065502964536e-05,454,-5.20334517700616,0,0
"CXCL14_CLEC2D","CXCL14","CLEC2D",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-5.15505025929856,1e-05,0.000319090909090909
"CXCL14_IL1R1","CXCL14","IL1R1",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-5.13731706405891,1e-05,0.000319090909090909
"TNF_CD36","TNF","CD36",1104,98,2.7205457611938e-05,3.02765303812934e-06,226,-5.00703726024776,1e-05,0.000319090909090909
"CXCL14_CXCR4","CXCL14","CXCR4",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-4.89663768452502,4e-05,0.000951864406779661
"CXCL14_SIRPA","CXCL14","SIRPA",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-4.8567326864551,4e-05,0.000951864406779661
"CXCL14_IGF1R","CXCL14","IGF1R",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-4.853536764274,5e-05,0.00111428571428571
"CXCL14_ACVR1","CXCL14","ACVR1",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-4.81389895624754,0.00016,0.0030772602739726
"CXCL12_CD36","CXCL12","CD36",204,21,5.02709542829288e-06,6.48782793884858e-07,137,-4.79333008061914,0,0
"CXCL14_IFNGR1","CXCL14","IFNGR1",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-4.77058097622829,2e-05,0.00054
"IL1A_ADGRG6","IL1A","ADGRG6",692,50,1.70526962567582e-05,1.54472093782109e-06,125,-4.74270216963997,0.00528,0.0487705263157895
"CXCL14_TNFRSF1A","CXCL14","TNFRSF1A",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-4.71670071252363,5e-05,0.00111428571428571
"CXCL14_SORT1","CXCL14","SORT1",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-4.69248107037479,2e-04,0.00364675324675325
"CXCL14_ACVR2A","CXCL14","ACVR2A",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-4.64788948134528,0.00049,0.00739741935483871
"CXCL14_IL10RB","CXCL14","IL10RB",98,4,2.41497721555246e-06,1.23577675025687e-07,48,-4.64597400465761,0.00015,0.00300857142857143
