"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CXCL14_PLAUR","CXCL14","PLAUR",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-6.26506431325727,8e-05,0.0020019512195122
"EREG_PLAUR","EREG","PLAUR",5226,266,0.000129316283577693,8.15244058633088e-06,322,-5.94661415448821,7e-05,0.00184153846153846
"CXCL14_NRP2","CXCL14","NRP2",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-5.90253545904134,0,0
"EREG_NRP2","EREG","NRP2",5226,266,0.000129316283577693,8.15244058633088e-06,322,-5.58404469317267,0,0
"CXCL14_CXCR4","CXCL14","CXCR4",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-5.49004474551168,3e-05,0.00114
"IL1A_PLAUR","IL1A","PLAUR",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-5.4411739132744,0.00116,0.0130786813186813
"THBS1_PLAUR","THBS1","PLAUR",5434,421,0.000134463200337004,1.29029228828771e-05,454,-5.34052789613006,6e-05,0.00175885714285714
"CXCL14_CD36","CXCL14","CD36",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-5.2070820379872,5e-05,0.001603125
"EREG_CXCR4","EREG","CXCR4",5226,266,0.000129316283577693,8.15244058633088e-06,322,-5.17154945732826,7e-05,0.00184153846153846
"TNF_PLAUR","TNF","PLAUR",1104,98,2.73182504917285e-05,3.00353074233243e-06,226,-5.14421849613994,0.00031,0.00548379310344828
"CXCL14_ACVR1","CXCL14","ACVR1",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-5.09517813598539,0.00024,0.00439714285714286
"CXCL14_ADGRG6","CXCL14","ADGRG6",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-5.09517729205392,0.00022,0.00418
"IL1A_NRP2","IL1A","NRP2",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-5.07860710092523,0.00093,0.0116363414634146
"CXCL14_BSG","CXCL14","BSG",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-5.05991385364741,7e-05,0.00184153846153846
"THBS1_NRP2","THBS1","NRP2",5434,421,0.000134463200337004,1.29029228828771e-05,454,-4.97795820414264,0,0
"CXCL14_LTBR","CXCL14","LTBR",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-4.96088297165907,0.00013,0.00303136363636364
"CXCL12_PLAUR","CXCL12","PLAUR",204,21,5.04793759086288e-06,6.43613730499807e-07,137,-4.93050426169625,6e-05,0.00175885714285714
"EREG_CD36","EREG","CD36",5226,266,0.000129316283577693,8.15244058633088e-06,322,-4.88858278034595,3e-05,0.00114
"CXCL14_TNFRSF1A","CXCL14","TNFRSF1A",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-4.83672592298194,2e-04,0.00387169811320755
"TNF_NRP2","TNF","NRP2",1104,98,2.73182504917285e-05,3.00353074233243e-06,226,-4.78165007529158,5e-05,0.001603125
"EREG_ACVR1","EREG","ACVR1",5226,266,0.000129316283577693,8.15244058633088e-06,322,-4.77668973577884,0.00077,0.0106704
"EREG_ADGRG6","EREG","ADGRG6",5226,266,0.000129316283577693,8.15244058633088e-06,322,-4.7766897231825,0.002,0.02052
"CD55_PLAUR","CD55","PLAUR",698,80,1.72718648942269e-05,2.45186183047545e-06,342,-4.77555857077638,7e-05,0.00184153846153846
"CXCL14_IL10RB","CXCL14","IL10RB",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-4.77324929889927,0.00075,0.010541095890411
"EREG_BSG","EREG","BSG",5226,266,0.000129316283577693,8.15244058633088e-06,322,-4.74141442809027,3e-05,0.00114
"IL1A_CXCR4","IL1A","CXCR4",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-4.66611216070563,0.00847,0.0583924832214765
"EREG_LTBR","EREG","LTBR",5226,266,0.000129316283577693,8.15244058633088e-06,322,-4.64238873261387,0.00044,0.00716571428571429
"CXCL14_IFNGR1","CXCL14","IFNGR1",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-4.62569995068011,0.00083,0.0107794936708861
"KLRB1_PLAUR","KLRB1","PLAUR",208,27,5.14691675931117e-06,8.27503367785466e-07,131,-4.59595076013288,0.00058,0.00862434782608696
"CXCL12_NRP2","CXCL12","NRP2",204,21,5.04793759086288e-06,6.43613730499807e-07,137,-4.56794188879897,0,0
"THBS1_CXCR4","THBS1","CXCR4",5434,421,0.000134463200337004,1.29029228828771e-05,454,-4.56546294266044,1e-05,0.000513
"IL1B_PLAUR","IL1B","PLAUR",7883,1070,0.000195063196219471,3.27936519826092e-05,493,-4.53153974368969,4e-04,0.00672786885245902
"EREG_TNFRSF1A","EREG","TNFRSF1A",5226,266,0.000129316283577693,8.15244058633088e-06,322,-4.5182282010504,0.00049,0.00761727272727273
"EREG_IL10RB","EREG","IL10RB",5226,266,0.000129316283577693,8.15244058633088e-06,322,-4.45476163020287,0.00475,0.0386163779527559
"IL23A_PLAUR","IL23A","PLAUR",512,74,1.26693335613813e-05,2.26797219318979e-06,87,-4.44094989694908,0.00968,0.0636646153846154
"CD55_NRP2","CD55","NRP2",698,80,1.72718648942269e-05,2.45186183047545e-06,342,-4.41299050714726,0,0
"IL1A_CD36","IL1A","CD36",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-4.38314574067647,0.00998,0.0652196178343949
"TNF_CXCR4","TNF","CXCR4",1104,98,2.73182504917285e-05,3.00353074233243e-06,226,-4.36915495579257,0.00215,0.0210085714285714
"CXCL14_IL1R1","CXCL14","IL1R1",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-4.34672483833899,0.00359,0.0314815384615385
"IL10_PLAUR","IL10","PLAUR",259,40,6.40890115702689e-06,1.22593091523773e-06,126,-4.34528118554253,0.00134,0.0146259574468085
"EREG_IFNGR1","EREG","IFNGR1",5226,266,0.000129316283577693,8.15244058633088e-06,322,-4.30720455867003,0.00434,0.03591
"AREG_PLAUR","AREG","PLAUR",4111,652,0.000101725840372732,1.99826739183749e-05,509,-4.30695115083351,0.00055,0.00842238805970149
"THBS1_CD36","THBS1","CD36",5434,421,0.000134463200337004,1.29029228828771e-05,454,-4.28249624296587,0,0
"IL1A_ACVR1","IL1A","ACVR1",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-4.27125199954731,0.02525,0.128224729064039
"IL1A_ADGRG6","IL1A","ADGRG6",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-4.27125193359935,0.03382,0.161025
"CXCL14_ADGRE5","CXCL14","ADGRE5",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-4.25438444695419,0.00393,0.0336015
"CXCL14_ACVR1B","CXCL14","ACVR1B",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-4.24717741670908,0.0123,0.0742341176470588
"IL1A_BSG","IL1A","BSG",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-4.23597739948245,0.01398,0.0819627428571429
"KLRB1_NRP2","KLRB1","NRP2",208,27,5.14691675931117e-06,8.27503367785466e-07,131,-4.23338662555833,0.00018,0.0036936
"CXCL14_ITGA3","CXCL14","ITGA3",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-4.22071270173237,0.00784,0.0562506293706294
"APLP2_PLAUR","APLP2","PLAUR",882,152,2.18249066428483e-05,4.65853747790336e-06,479,-4.18711198712576,2e-04,0.00387169811320755
"CD58_PLAUR","CD58","PLAUR",214,37,5.29538551198361e-06,1.1339860965949e-06,169,-4.18241424454182,0.00148,0.0158175
"THBS1_ACVR1","THBS1","ACVR1",5434,421,0.000134463200337004,1.29029228828771e-05,454,-4.17060326103976,0.00024,0.00439714285714286
"THBS1_ADGRG6","THBS1","ADGRG6",5434,421,0.000134463200337004,1.29029228828771e-05,454,-4.17060325323836,0.00112,0.0129114606741573
"IL1B_NRP2","IL1B","NRP2",7883,1070,0.000195063196219471,3.27936519826092e-05,493,-4.16896981404118,4e-05,0.0014151724137931
"CXCL14_IGF1R","CXCL14","IGF1R",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-4.16230030049591,0.00533,0.04272328125
"CXCL12_CXCR4","CXCL12","CXCR4",204,21,5.04793759086288e-06,6.43613730499807e-07,137,-4.155447445424,0,0
"IL1A_LTBR","IL1A","LTBR",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-4.13695137228271,0.02809,0.139904563106796
"THBS1_BSG","THBS1","BSG",5434,421,0.000134463200337004,1.29029228828771e-05,454,-4.13532788976527,0,0
"APP_PLAUR","APP","PLAUR",122,22,3.0188646376729e-06,6.7426200338075e-07,117,-4.12170273203577,0.00106,0.0125006896551724
