"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL20_FLT1","CCL20","FLT1",2766,101,6.82623522096013e-05,3.07470806940694e-06,215,-8.51363606649654,0,0
"CXCL14_FLT1","CXCL14","FLT1",98,4,2.41855043981957e-06,1.21770616610176e-07,48,-8.35251795052367,0,0
"IL1A_FLT1","IL1A","FLT1",692,50,1.70779275954606e-05,1.5221327076272e-06,125,-7.52901514208678,0,0
"THBS1_FLT1","THBS1","FLT1",5434,421,0.000134106153979383,1.2816357398221e-05,454,-7.42839878648394,0,0
"CD1D_FLT1","CD1D","FLT1",266,23,6.56463690808168e-06,7.00181045508511e-07,187,-7.26991937518852,0,0
"TNF_FLT1","TNF","FLT1",1104,98,2.7245711077151e-05,2.98338010694931e-06,226,-7.2320762231566,0,0
"CXCL12_FLT1","CXCL12","FLT1",204,21,5.034533568604e-06,6.39295737203423e-07,137,-7.01829912256274,0,0
"CD55_FLT1","CD55","FLT1",698,80,1.72260021121843e-05,2.43541233220352e-06,342,-6.86341246131422,0,0
"ICAM2_FLT1","ICAM2","FLT1",103,12,2.54194587042261e-06,3.65311849830527e-07,98,-6.83966216733708,0,0
"SPN_FLT1","SPN","FLT1",103,13,2.54194587042261e-06,3.95754503983071e-07,94,-6.72419710918039,0,0
"KLRB1_FLT1","KLRB1","FLT1",208,27,5.13324991308643e-06,8.21951662118686e-07,131,-6.68376347937968,0,0
"HEBP1_FLT1","HEBP1","FLT1",113,15,2.78873673162868e-06,4.56639812288159e-07,108,-6.651443999848,0,0
"IL1B_FLT1","IL1B","FLT1",7883,1070,0.000194545235888752,3.2573639943222e-05,493,-6.61941306221162,0,0
"CCL20_CALCRL","CCL20","CALCRL",2766,101,6.82623522096013e-05,3.07470806940694e-06,215,-6.55744315536342,0.00102,0.0111180861244019
"IL23A_FLT1","IL23A","FLT1",512,74,1.26356920937512e-05,2.25275640728825e-06,87,-6.52880211569794,0,0
"IL10_FLT1","IL10","FLT1",259,40,6.39188330523743e-06,1.21770616610176e-06,126,-6.43311415549942,0,0
"CD52_FLT1","CD52","FLT1",659,104,1.62635177534806e-05,3.16603603186457e-06,294,-6.4019577510765,0,0
"CXCL14_CALCRL","CXCL14","CALCRL",98,4,2.41855043981957e-06,1.21770616610176e-07,48,-6.39610414171712,0.00103,0.0111180861244019
