"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL20_MERTK","CCL20","MERTK",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-5.91883416795003,0,0
"CCL20_CD209","CCL20","CD209",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-5.83650186888542,0,0
"CXCL14_MERTK","CXCL14","MERTK",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-5.75800230271963,7e-05,0.00125487804878049
"CXCL14_CD209","CXCL14","CD209",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-5.6757337463729,0.00013,0.00184935483870968
"CCL20_CXCR4","CCL20","CXCR4",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-5.43967315786829,0,0
"CCL20_TREM2","CCL20","TREM2",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-5.37255132919517,6e-05,0.00111176470588235
"CXCL14_CXCR4","CXCL14","CXCR4",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-5.27900648841074,0.00038,0.00450483870967742
"CCL20_SIGLEC10","CCL20","SIGLEC10",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-5.23078404190134,0,0
"CXCL14_TREM2","CXCL14","TREM2",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-5.21170013925271,0.00214,0.0180793103448276
"CCL20_IFNGR1","CCL20","IFNGR1",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-5.12808050351131,0,0
"CCL20_CD72","CCL20","CD72",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-5.09330252443472,0,0
"CCL20_CD36","CCL20","CD36",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-5.08112442654101,0,0
"CXCL14_SIGLEC10","CXCL14","SIGLEC10",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-5.0700941966511,0.00068,0.00738620689655173
"CXCL14_IFNGR1","CXCL14","IFNGR1",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.96740840524381,0.00089,0.00880022421524664
"IL1A_MERTK","IL1A","MERTK",692,50,1.70227023072526e-05,1.53706555188016e-06,125,-4.93422540686773,0.00018,0.00243496932515337
"CXCL14_CD72","CXCL14","CD72",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.93259528588698,0.00143,0.0129759259259259
"CXCL14_CD36","CXCL14","CD36",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.92044641155072,0.00116,0.0109776824034335
"IL1A_CD209","IL1A","CD209",692,50,1.70227023072526e-05,1.53706555188016e-06,125,-4.8518957152097,0.00012,0.00172941176470588
"CCL20_CD74","CCL20","CD74",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.84359851300676,0,0
"THBS1_MERTK","THBS1","MERTK",5434,421,0.000133672491817357,1.29420919468309e-05,454,-4.83358793725789,0,0
"THBS1_CD209","THBS1","CD209",5434,421,0.000133672491817357,1.29420919468309e-05,454,-4.75125362555798,0,0
"CCL20_TNFRSF21","CCL20","TNFRSF21",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.68952984139525,1e-04,0.001575
"CXCL14_CD74","CXCL14","CD74",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.68293417187563,0.00208,0.0177767441860465
"CD1D_MERTK","CD1D","MERTK",266,23,6.54340869036012e-06,7.07050153864873e-07,187,-4.67515787964922,0,0
"TNF_MERTK","TNF","MERTK",1104,98,2.71576059930736e-05,3.01264848168511e-06,226,-4.63727478183516,6e-05,0.00111176470588235
"CCL20_SORT1","CCL20","SORT1",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.62660204371575,0.00014,0.00194150943396226
"CD1D_CD209","CD1D","CD209",266,23,6.54340869036012e-06,7.07050153864873e-07,187,-4.59283427224894,0,0
"TNF_CD209","TNF","CD209",1104,98,2.71576059930736e-05,3.01264848168511e-06,226,-4.55494250448042,7e-05,0.00125487804878049
"CXCL14_TNFRSF21","CXCL14","TNFRSF21",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.52880686958829,0.00854,0.0549
"CCL20_PLXNB2","CCL20","PLXNB2",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.49364892901027,0.00026,0.00320279329608939
"CXCL14_SORT1","CXCL14","SORT1",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.46587408373686,0.01075,0.0662115921787709
"IL1A_CXCR4","IL1A","CXCR4",692,50,1.70227023072526e-05,1.53706555188016e-06,125,-4.45507113447172,0.00057,0.00634772727272727
"CXCL12_MERTK","CXCL12","MERTK",204,21,5.01825328132881e-06,6.45567531789667e-07,137,-4.42354273972388,0,0
"CCL20_SIGLEC1","CCL20","SIGLEC1",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.41835885585106,0.00089,0.00880022421524664
"IL1A_TREM2","IL1A","TREM2",692,50,1.70227023072526e-05,1.53706555188016e-06,125,-4.3879418938861,0.00442,0.032705033557047
"CCL20_IL12RB1","CCL20","IL12RB1",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.35661288207179,0.00115,0.0109772727272727
"THBS1_CXCR4","THBS1","CXCR4",5434,421,0.000133672491817357,1.29420919468309e-05,454,-4.35442170761799,0,0
"CXCL12_CD209","CXCL12","CD209",204,21,5.01825328132881e-06,6.45567531789667e-07,137,-4.34122012422763,0,0
"CCL20_BSG","CCL20","BSG",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.34105067804305,0.00031,0.00373524590163934
"CXCL14_PLXNB2","CXCL14","PLXNB2",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.33293766274043,0.01523,0.0888416666666667
"CCL20_ITGAM","CCL20","ITGAM",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.2876686653184,0.00087,0.00871977272727273
"THBS1_TREM2","THBS1","TREM2",5434,421,0.000133672491817357,1.29420919468309e-05,454,-4.28730573144562,0.00011,0.00165
"CD55_MERTK","CD55","MERTK",698,80,1.71702979919976e-05,2.45930488300825e-06,342,-4.2686138357624,0,0
"CXCL14_SIGLEC1","CXCL14","SIGLEC1",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.25760070440685,0.02809,0.145395422535211
"IL1A_SIGLEC10","IL1A","SIGLEC10",692,50,1.70227023072526e-05,1.53706555188016e-06,125,-4.24618109300722,0.00142,0.0129759259259259
"ICAM2_MERTK","ICAM2","MERTK",103,12,2.53372592145523e-06,3.68895732451238e-07,98,-4.24494897079482,0,0
"CCL20_IL10RB","CCL20","IL10RB",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.23613907902214,0.00074,0.00780717703349282
"CCL20_LTBR","CCL20","LTBR",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.22545370136536,0.00072,0.00763269230769231
"CD1D_CXCR4","CD1D","CXCR4",266,23,6.54340869036012e-06,7.07050153864873e-07,187,-4.19601933551305,0,0
"CXCL14_IL12RB1","CXCL14","IL12RB1",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.19583691909035,0.03132,0.157614806378132
"CD55_CD209","CD55","CD209",698,80,1.71702979919976e-05,2.45930488300825e-06,342,-4.18628212018307,0,0
"CXCL14_BSG","CXCL14","BSG",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.18037238641329,0.02096,0.114681885856079
"CCL20_CCR6","CCL20","CCR6",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.17817397135088,0.01058,0.0657152112676056
"CCL20_FPR3","CCL20","FPR3",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.17555125555205,0.00093,0.0091546875
"ICAM2_CD209","ICAM2","CD209",103,12,2.53372592145523e-06,3.68895732451238e-07,98,-4.1626354680636,0,0
"TNF_CXCR4","TNF","CXCR4",1104,98,2.71576059930736e-05,3.01264848168511e-06,226,-4.15811381257322,0.00014,0.00194150943396226
"THBS1_SIGLEC10","THBS1","SIGLEC10",5434,421,0.000133672491817357,1.29420919468309e-05,454,-4.14553332773503,0,0
"IL1A_IFNGR1","IL1A","IFNGR1",692,50,1.70227023072526e-05,1.53706555188016e-06,125,-4.14347826516665,0.00187,0.0162336614173228
"SPN_MERTK","SPN","MERTK",103,13,2.53372592145523e-06,3.99637043488841e-07,94,-4.12947631685292,1e-05,0.000237096774193548
"CD1D_TREM2","CD1D","TREM2",266,23,6.54340869036012e-06,7.07050153864873e-07,187,-4.12887275683867,5e-05,0.000967105263157895
"CXCL14_ITGAM","CXCL14","ITGAM",98,4,2.4107295175011e-06,1.22965244150413e-07,48,-4.12696830222762,0.03138,0.157614806378132
"IL1A_CD72","IL1A","CD72",692,50,1.70227023072526e-05,1.53706555188016e-06,125,-4.10869888974055,0.00255,0.0204463636363636
"IL1A_CD36","IL1A","CD36",692,50,1.70227023072526e-05,1.53706555188016e-06,125,-4.09652195374918,0.00249,0.0201854779411765
"TNF_TREM2","TNF","TREM2",1104,98,2.71576059930736e-05,3.01264848168511e-06,226,-4.09099202886517,0.02569,0.135517822966507
"CCL20_CLEC2D","CCL20","CLEC2D",2766,101,6.80416106674289e-05,3.10487241479792e-06,215,-4.09029227744801,0.00367,0.0280012110726644
