"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL20_MERTK","CCL20","MERTK",2766,101,6.81998902785569e-05,3.10278427578972e-06,215,-5.06946210659866,1e-05,0.000254117647058824
"CXCL14_MERTK","CXCL14","MERTK",98,4,2.4163373996018e-06,1.22882545575831e-07,48,-4.90878639807006,0.00041,0.00402545454545455
"CCL20_IFNGR1","CCL20","IFNGR1",2766,101,6.81998902785569e-05,3.10278427578972e-06,215,-4.858090592971,1e-05,0.000254117647058824
"CCL20_CXCR3","CCL20","CXCR3",2766,101,6.81998902785569e-05,3.10278427578972e-06,215,-4.85127660528945,1e-05,0.000254117647058824
"CCL20_IL6ST","CCL20","IL6ST",2766,101,6.81998902785569e-05,3.10278427578972e-06,215,-4.79610983785181,1e-05,0.000254117647058824
"CCL20_TNFRSF13B","CCL20","TNFRSF13B",2766,101,6.81998902785569e-05,3.10278427578972e-06,215,-4.77829407525011,1e-05,0.000254117647058824
"CCL20_IL6R","CCL20","IL6R",2766,101,6.81998902785569e-05,3.10278427578972e-06,215,-4.73535878929974,2e-05,0.000454736842105263
"CXCL14_IFNGR1","CXCL14","IFNGR1",98,4,2.4163373996018e-06,1.22882545575831e-07,48,-4.69740957884601,0.00082,0.00694588235294118
"CXCL14_CXCR3","CXCL14","CXCR3",98,4,2.4163373996018e-06,1.22882545575831e-07,48,-4.69058829819006,0.00085,0.00706153846153846
"CCL20_ADGRE5","CCL20","ADGRE5",2766,101,6.81998902785569e-05,3.10278427578972e-06,215,-4.67066905389627,1e-05,0.000254117647058824
"CXCL14_IL6ST","CXCL14","IL6ST",98,4,2.4163373996018e-06,1.22882545575831e-07,48,-4.63544369465132,0.00073,0.0063072
"CXCL14_TNFRSF13B","CXCL14","TNFRSF13B",98,4,2.4163373996018e-06,1.22882545575831e-07,48,-4.61762702113862,0.00088,0.00712
