"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL20_NCR3","CCL20","NCR3",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.84401206412228,2e-05,0.000467924528301887
"CCL20_TNFRSF1A","CCL20","TNFRSF1A",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.76621612650723,6e-05,0.000953846153846154
"CCL20_IL10RB","CCL20","IL10RB",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.73069422172299,2e-05,0.000467924528301887
"CXCL14_NCR3","CXCL14","NCR3",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.68332214456648,0.00077,0.00728854961832061
"CCL20_CXCR4","CCL20","CXCR4",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.67657926308545,4e-05,0.000729411764705882
"CCL20_CLEC2D","CCL20","CLEC2D",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.66471957773341,4e-05,0.000729411764705882
"CCL20_CCR6","CCL20","CCR6",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.66059186164313,5e-05,0.000885714285714286
"CCL20_IL10RA","CCL20","IL10RA",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.65202863430886,4e-05,0.000729411764705882
"CCL20_IL12RB1","CCL20","IL12RB1",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.64802934901336,4e-05,0.000729411764705882
"CCL20_IL18R1","CCL20","IL18R1",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.64694203737828,4e-05,0.000729411764705882
"CCL20_KLRF1","CCL20","KLRF1",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.61619343229925,0.00011,0.00143578947368421
"CXCL14_TNFRSF1A","CXCL14","TNFRSF1A",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.605457314883,0.00124,0.0101827814569536
"CCL20_CXCR6","CCL20","CXCR6",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.60200305666088,7e-05,0.00105853658536585
"CXCL14_IL10RB","CXCL14","IL10RB",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.57000409733247,0.00146,0.01168
"CCL20_IFNGR1","CCL20","IFNGR1",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.54176081542115,0.00011,0.00143578947368421
"CCL20_BSG","CCL20","BSG",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.5172964297072,1e-04,0.00134782608695652
"CXCL14_CXCR4","CXCL14","CXCR4",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.51591489388027,0.00217,0.015464367816092
"CXCL14_CLEC2D","CXCL14","CLEC2D",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.50405268406602,0.0021,0.0153176470588235
"CXCL14_CCR6","CXCL14","CCR6",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.49992314444528,0.00193,0.0145926829268293
"CXCL14_IL10RA","CXCL14","IL10RA",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.49135778954041,0.00208,0.0152615384615385
"CXCL14_IL12RB1","CXCL14","IL12RB1",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.48735009685318,0.00199,0.0148650602409639
"CXCL14_IL18R1","CXCL14","IL18R1",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.48626621961113,0.00197,0.0148048484848485
"CCL20_IL6R","CCL20","IL6R",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.48534055839301,0.00023,0.00274230769230769
"CCL20_CD72","CCL20","CD72",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.47655196289219,0.00029,0.0033607476635514
"CCL20_ACVR1","CCL20","ACVR1",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.45700397686281,0.00034,0.00383272727272727
"CXCL14_KLRF1","CXCL14","KLRF1",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.45550100323067,0.0022,0.0155885714285714
"CXCL14_CXCR6","CXCL14","CXCR6",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.44133162221843,0.00217,0.015464367816092
"CCL20_PLAUR","CCL20","PLAUR",2766,101,6.81032395869014e-05,3.10237988783023e-06,215,-4.38320271837295,0.00042,0.00448965517241379
"CXCL14_IFNGR1","CXCL14","IFNGR1",98,4,2.41291304393215e-06,1.22866530211098e-07,48,-4.38108771806053,0.00249,0.0174157303370787
