"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL20_NCR3","CCL20","NCR3",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.87933358151615,7e-05,0.00333846153846154
"CCL20_TNFRSF1A","CCL20","TNFRSF1A",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.75106486009839,0.00041,0.00806984126984127
"CXCL14_NCR3","CXCL14","NCR3",98,4,2.42299319668014e-06,1.23282957348566e-07,48,-4.71864328066916,0.00371,0.0389864406779661
"CCL20_IL10RB","CCL20","IL10RB",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.68961464965503,0.00035,0.0076140350877193
"CCL20_CXCR4","CCL20","CXCR4",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.67742547731749,0.00032,0.00734814814814815
"CCL20_IL18R1","CCL20","IL18R1",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.66185879254507,0.00039,0.00792786885245902
"CCL20_CCR6","CCL20","CCR6",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.65757393844646,0.00041,0.00806984126984127
"CCL20_IL10RA","CCL20","IL10RA",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.65126833373904,0.00036,0.00769655172413793
"CCL20_CLEC2D","CCL20","CLEC2D",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.65117054793912,0.00037,0.00777627118644068
"CCL20_IL12RB1","CCL20","IL12RB1",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.64797469490973,0.00044,0.00851343283582089
"CCL20_KLRF1","CCL20","KLRF1",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.61904947228904,0.00074,0.0116151898734177
"CCL20_CXCR6","CCL20","CXCR6",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.60061839166147,6e-04,0.0100540540540541
"CXCL14_TNFRSF1A","CXCL14","TNFRSF1A",98,4,2.42299319668014e-06,1.23282957348566e-07,48,-4.59030526633708,0.00739,0.0664028985507246
"CCL20_IFNGR1","CCL20","IFNGR1",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.55006652964508,9e-04,0.0137777777777778
"CXCL14_IL10RB","CXCL14","IL10RB",98,4,2.42299319668014e-06,1.23282957348566e-07,48,-4.52892488414463,0.00898,0.0762684931506849
"CXCL14_CXCR4","CXCL14","CXCR4",98,4,2.42299319668014e-06,1.23282957348566e-07,48,-4.51676110899698,0.01177,0.0874682634730539
"CXCL14_IL18R1","CXCL14","IL18R1",98,4,2.42299319668014e-06,1.23282957348566e-07,48,-4.50118297914939,0.0104,0.0854039735099338
"CXCL14_CCR6","CXCL14","CCR6",98,4,2.42299319668014e-06,1.23282957348566e-07,48,-4.49690524822615,0.01083,0.0864820512820513
"CCL20_IL6R","CCL20","IL6R",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.49462375449232,0.00139,0.0186666666666667
"CCL20_BSG","CCL20","BSG",2766,101,6.83877467552783e-05,3.11289467305129e-06,215,-4.49195691917413,0.00121,0.0168584269662921
