"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"VEGFB_CD80","VEGFB","CD80",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-3.91522231546907,0.00044,0.00432978723404255
"VEGFB_ITGAM","VEGFB","ITGAM",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-3.79975699292707,0.00013,0.00154166666666667
"ICAM2_CD80","ICAM2","CD80",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-3.45623849150947,0.0017,0.014696261682243
"ICAM2_ITGAM","ICAM2","ITGAM",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-3.34077140451691,8e-04,0.00762886597938144
"VEGFB_SIGLEC10","VEGFB","SIGLEC10",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-3.16752427987616,0,0
"VEGFB_TNFRSF13B","VEGFB","TNFRSF13B",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-3.13962542920655,0,0
"VEGFB_ITGAL","VEGFB","ITGAL",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.79979271544529,7e-05,0.000875
"VEGFB_BSG","VEGFB","BSG",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.75423732578964,0,0
"IL10_CD80","IL10","CD80",406,173,1.00732191534769e-05,5.32027992914248e-06,250,-2.74838778067918,0.03542,0.195020833333333
"F11R_CD80","F11R","CD80",105,45,2.6051428845199e-06,1.38388784284053e-06,135,-2.74004990139869,0.02324,0.134096273291925
"PPIA_CD80","PPIA","CD80",2613,1122,6.48308414976237e-05,3.45049368814905e-05,1105,-2.73732127430857,0.02142,0.127009615384615
"ICAM2_SIGLEC10","ICAM2","SIGLEC10",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-2.70853323265008,5e-05,0.000651408450704225
"ICAM2_TNFRSF13B","ICAM2","TNFRSF13B",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-2.68063285577856,1e-05,0.000149193548387097
"IL10_ITGAM","IL10","ITGAM",406,173,1.00732191534769e-05,5.32027992914248e-06,250,-2.63291224807394,0.02876,0.161230303030303
"VEGFB_IL10RA","VEGFB","IL10RA",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.62987433260225,2e-05,0.000276119402985075
"F11R_ITGAM","F11R","ITGAM",105,45,2.6051428845199e-06,1.38388784284053e-06,135,-2.62457915691414,0.01685,0.104605704697987
"PPIA_ITGAM","PPIA","ITGAM",2613,1122,6.48308414976237e-05,3.45049368814905e-05,1105,-2.62184431644939,0.01528,0.0955
"VEGFB_TNFRSF10A","VEGFB","TNFRSF10A",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.57462115328008,0.00017,0.00199050632911392
"VEGFB_NCR3","VEGFB","NCR3",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.47787047988556,0.00023,0.00247383720930233
"VEGFB_CCR6","VEGFB","CCR6",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.41499167667063,0.00019,0.00214329268292683
"CD52_CD80","CD52","CD80",1553,843,3.853130380628e-05,2.59248322558793e-05,724,-2.39913978940434,0.09876,0.445122572815534
"ICAM3_CD80","ICAM3","CD80",186,101,4.61482453829239e-06,3.10605938059763e-06,222,-2.39862239893441,0.09972,0.445608695652174
"VEGFB_IL10RB","VEGFB","IL10RB",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.3922930424824,0.00109,0.00988480392156863
"VEGFB_IL27RA","VEGFB","IL27RA",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.35233621526447,0.00222,0.0177025862068966
"ICAM2_ITGAL","ICAM2","ITGAL",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-2.34080177441499,0.00218,0.0175347826086957
"ICAM2_BSG","ICAM2","BSG",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-2.295245041873,3e-04,0.00315340909090909
"VEGFB_CD2","VEGFB","CD2",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.29499972178493,0.02462,0.138862804878049
"CD52_ITGAM","CD52","ITGAM",1553,843,3.853130380628e-05,2.59248322558793e-05,724,-2.28366290731242,0.09638,0.441664603960396
"ICAM3_ITGAM","ICAM3","ITGAM",186,101,4.61482453829239e-06,3.10605938059763e-06,222,-2.28314798017186,0.0984,0.445122572815534
"APP_CD80","APP","CD80",208,123,5.16066399981084e-06,3.78262677043078e-06,262,-2.27560282716965,0.08435,0.398080357142857
"ICAM2_IL10RA","ICAM2","IL10RA",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-2.17088218015841,0.00191,0.0160613636363636
"APP_ITGAM","APP","ITGAM",208,123,5.16066399981084e-06,3.78262677043078e-06,262,-2.1601278782331,0.08005,0.379724358974359
"VEGFB_IFNGR1","VEGFB","IFNGR1",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.15280105943113,0.00196,0.0163333333333333
"SELPLG_CD80","SELPLG","CD80",111,72,2.75400819220675e-06,2.21422054854485e-06,153,-2.14216153619779,0.18695,0.720536458333333
"ICAM2_TNFRSF10A","ICAM2","TNFRSF10A",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-2.11562967201766,0.00613,0.0426334586466165
"VEGFB_CD74","VEGFB","CD74",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.08446109480194,0.00203,0.016765625
"CCL20_CD80","CCL20","CD80",2854,1950,7.08102646897122e-05,5.99684731897563e-05,506,-2.06719863045654,0.24834,0.886928571428572
"CD55_CD80","CD55","CD80",1814,1242,4.5006944690658e-05,3.81953044623986e-05,912,-2.06419634247196,0.22949,0.8313076171875
"VEGFB_CLEC2D","VEGFB","CLEC2D",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.03746521809741,0.00433,0.0317876984126984
"VEGFB_ADGRE5","VEGFB","ADGRE5",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-2.03220709841306,0.00585,0.0409943181818182
"SELPLG_ITGAM","SELPLG","ITGAM",111,72,2.75400819220675e-06,2.21422054854485e-06,153,-2.02668813411917,0.20405,0.762677419354839
"ICAM2_NCR3","ICAM2","NCR3",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-2.01887851534272,0.00834,0.0556330935251799
"IL10_SIGLEC10","IL10","SIGLEC10",406,173,1.00732191534769e-05,5.32027992914248e-06,250,-2.00064895020751,0.09074,0.421781407035176
"VEGFB_IL12RB1","VEGFB","IL12RB1",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-1.99910163807171,0.03922,0.211136627906977
"F11R_SIGLEC10","F11R","SIGLEC10",105,45,2.6051428845199e-06,1.38388784284053e-06,135,-1.99232983003471,0.04019,0.214888728323699
"PPIA_SIGLEC10","PPIA","SIGLEC10",2613,1122,6.48308414976237e-05,3.45049368814905e-05,1105,-1.98957685830129,0.0221,0.129382911392405
"IL10_TNFRSF13B","IL10","TNFRSF13B",406,173,1.00732191534769e-05,5.32027992914248e-06,250,-1.97274243275793,0.06307,0.310317819148936
"BAG6_CD80","BAG6","CD80",135,99,3.34946942295415e-06,3.04455325424917e-06,206,-1.96513487157013,0.16845,0.663047872340426
"F11R_TNFRSF13B","F11R","TNFRSF13B",105,45,2.6051428845199e-06,1.38388784284053e-06,135,-1.9644264758606,0.02021,0.121811688311688
"PPIA_TNFRSF13B","PPIA","TNFRSF13B",2613,1122,6.48308414976237e-05,3.45049368814905e-05,1105,-1.96166939735215,0.00232,0.0183418803418803
"ICAM2_CCR6","ICAM2","CCR6",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-1.95599922579767,0.00998,0.065205985915493
"CCL20_ITGAM","CCL20","ITGAM",2854,1950,7.08102646897122e-05,5.99684731897563e-05,506,-1.95172155257602,0.28245,0.974874067164179
"CD55_ITGAM","CD55","ITGAM",1814,1242,4.5006944690658e-05,3.81953044623986e-05,912,-1.94871934404925,0.25803,0.90485321969697
"ICAM2_IL10RB","ICAM2","IL10RB",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-1.93330146044969,0.023,0.133805031446541
"TNFSF13B_CD80","TNFSF13B","CD80",803,613,1.99231403454236e-05,1.88516277258054e-05,723,-1.907199029518,0.14686,0.598438325991189
"ICAM2_IL27RA","ICAM2","IL27RA",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-1.89334500625441,0.04054,0.215514367816092
"SEMA4D_CD80","SEMA4D","CD80",168,130,4.16822861523183e-06,3.99789821265042e-06,247,-1.88762857917164,0.27128,0.939827715355805
"VEGFB_TNFRSF14","VEGFB","TNFRSF14",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-1.86120301939133,0.01978,0.120371710526316
"BAG6_ITGAM","BAG6","ITGAM",135,99,3.34946942295415e-06,3.04455325424917e-06,206,-1.84966036451164,0.18359,0.710547071129707
"KLRB1_CD80","KLRB1","CD80",111,89,2.75400819220675e-06,2.73702262250683e-06,105,-1.83635739875731,0.59812,1
"VEGFB_SELL","VEGFB","SELL",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-1.83612433180952,0.02334,0.134096273291925
"ICAM2_CD2","ICAM2","CD2",115,30,2.85325173066465e-06,9.2259189522702e-07,131,-1.83600926314511,0.1289,0.539113228699552
"VEGFB_IL6ST","VEGFB","IL6ST",137,26,3.3990911921831e-06,7.99579642530084e-07,129,-1.82579450850641,0.05405,0.27171875
"ITGB1_CD80","ITGB1","CD80",547,449,1.35715538841179e-05,1.38081253652311e-05,575,-1.80251086904519,0.32596,1
