"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CD1D_CD209","CD1D","CD209",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-4.68399068771586,0,0
"CD1D_CSF3R","CD1D","CSF3R",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-4.36569943740272,0,0
"CD1D_ITGAM","CD1D","ITGAM",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-4.14963665840535,4e-05,0.000476330275229358
"VEGFB_CD209","VEGFB","CD209",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-4.00448678028082,0.00058,0.005133
"CD1D_IL1RAP","CD1D","IL1RAP",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.72778433000112,8e-05,0.000892607449856734
"VEGFB_CSF3R","VEGFB","CSF3R",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-3.68620942692805,2e-05,0.000252857142857143
"CD1D_CCRL2","CD1D","CCRL2",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.68074258146907,0,0
"CD1D_FPR3","CD1D","FPR3",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.64679550694056,0,0
"CD1D_FPR1","CD1D","FPR1",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.63835574184221,0,0
"CD1D_SIGLEC10","CD1D","SIGLEC10",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.6103881355741,0,0
"ICAM2_CD209","ICAM2","CD209",115,30,2.84206276619007e-06,9.18905037657954e-07,131,-3.54550274352462,0.00145,0.0113152304609218
"CD1D_MERTK","CD1D","MERTK",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.52871936610791,0.01337,0.0773592570579495
"CD1D_ADGRE2","CD1D","ADGRE2",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.48118086943267,0,0
"CD1D_CCR1","CD1D","CCR1",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.47931398918309,0.00038,0.00354848920863309
"CD1D_IL12RB1","CD1D","IL12RB1",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.47931398918309,0.00034,0.00322131386861314
"CD1D_AXL","CD1D","AXL",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.47102797545114,0,0
"VEGFB_ITGAM","VEGFB","ITGAM",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-3.4701242727746,0.01243,0.0726763063063063
"CD1D_TNFRSF21","CD1D","TNFRSF21",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.46503310362282,0,0
"IL18_CD209","IL18","CD209",340,95,8.40262035221412e-06,2.90986595258352e-06,294,-3.44647183829131,0.00043,0.00394910377358491
"CD1D_PILRA","CD1D","PILRA",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.43657818246376,0,0
"CD1D_IFNGR1","CD1D","IFNGR1",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.39597115408658,0,0
"CD1D_SORT1","CD1D","SORT1",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.29168962640094,0.00192,0.0146025
"CD1D_CD36","CD1D","CD36",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.27463207849872,0,0
"LRPAP1_CD209","LRPAP1","CD209",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-3.26272658500791,0.00034,0.00322131386861314
"ICAM2_CSF3R","ICAM2","CSF3R",115,30,2.84206276619007e-06,9.18905037657954e-07,131,-3.22721937619081,0.00013,0.00137934604904632
"CD1D_BCR","CD1D","BCR",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.21768916987744,0.00226,0.016826845124283
"CD1D_CD72","CD1D","CD72",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.18299756407458,2e-05,0.000252857142857143
"IL18_CSF3R","IL18","CSF3R",340,95,8.40262035221412e-06,2.90986595258352e-06,294,-3.12816550618312,0,0
"RNASET2_CD209","RNASET2","CD209",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-3.0899394637223,0.00123,0.00989590909090909
"HEBP1_CD209","HEBP1","CD209",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-3.08295435522565,0.00081,0.00684195227765727
"VEGFB_IL1RAP","VEGFB","IL1RAP",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-3.04828784501857,0.03652,0.176631066997519
"ICAM2_ITGAM","ICAM2","ITGAM",115,30,2.84206276619007e-06,9.18905037657954e-07,131,-3.01114516171393,0.02815,0.142729296875
"CD1D_PLAUR","CD1D","PLAUR",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-3.00145386069464,9e-05,0.000995625
"VEGFB_CCRL2","VEGFB","CCRL2",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-3.0012536545917,0.02051,0.110771067961165
"CD1D_IL27RA","CD1D","IL27RA",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.99471930355304,0.00349,0.0244865945945946
"CD1D_SIRPA","CD1D","SIRPA",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.99362372281429,0.00023,0.00226166666666667
"CD1D_ACVR1","CD1D","ACVR1",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.96975536633889,0.01888,0.103547492957746
"CD1D_IL10RB","CD1D","IL10RB",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.96757654830817,0.00017,0.00173748031496063
"VEGFB_FPR3","VEGFB","FPR3",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.96730672855843,0.02719,0.138583586387435
"VEGFB_FPR1","VEGFB","FPR1",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.95886927578267,0.02272,0.119556324324324
"LRPAP1_CSF3R","LRPAP1","CSF3R",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-2.94441594733635,0,0
"CD1D_TNFRSF1A","CD1D","TNFRSF1A",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.93153023459294,0.00038,0.00354848920863309
"VEGFB_SIGLEC10","VEGFB","SIGLEC10",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.9309019164534,0.01178,0.0693968532526475
"IL18_ITGAM","IL18","ITGAM",340,95,8.40262035221412e-06,2.90986595258352e-06,294,-2.91212884943895,0.01322,0.076663125
"VEGFB_MERTK","VEGFB","MERTK",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.84922074113502,0.25112,0.800132624693377
"IL10_CD209","IL10","CD209",406,173,1.00337172441145e-05,5.2990190504942e-06,250,-2.83765148853086,0.00974,0.0595409105180534
"F11R_CD209","F11R","CD209",105,45,2.59492687347789e-06,1.37835755648693e-06,135,-2.82931378820605,0.00965,0.0591765354330709
"PPIA_CD209","PPIA","CD209",2613,1122,6.45766087656926e-05,3.43670484084075e-05,1105,-2.826584928106,0.00958,0.0588399369085173
"VEGFB_ADGRE2","VEGFB","ADGRE2",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.80169342033436,0.04988,0.226642613768961
"VEGFB_CCR1","VEGFB","CCR1",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.79981876456059,0.1106,0.424730177514793
"VEGFB_IL12RB1","VEGFB","IL12RB1",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.79981876456059,0.10506,0.40922046
"CD1D_LILRB2","CD1D","LILRB2",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.79336641104204,0.00218,0.0162622988505747
"VEGFB_AXL","VEGFB","AXL",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.79154111382522,0.06002,0.261722150055991
"CD1D_CCR6","CD1D","CCR6",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.79016084714104,0.00477,0.0321912998266898
"CD1D_CD74","CD1D","CD74",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.78876272352956,1e-05,0.000134740484429066
"VEGFB_TNFRSF21","VEGFB","TNFRSF21",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.78554490571867,0.06002,0.261722150055991
"CD1D_TLR8","CD1D","TLR8",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.77711085351131,0.05738,0.254195358361775
"RNASET2_CSF3R","RNASET2","CSF3R",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-2.77162453896421,0,0
"HEBP1_CSF3R","HEBP1","CSF3R",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-2.76465520591605,0,0
"VEGFB_PILRA","VEGFB","PILRA",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.75709146950998,0.0502,0.227830769230769
"TNFSF12_CD209","TNFSF12","CD209",95,43,2.34779098076571e-06,1.31709722064307e-06,119,-2.75051110163915,0.0219,0.116183378746594
"LRPAP1_ITGAM","LRPAP1","ITGAM",501,159,1.23815082248802e-05,4.87019669958715e-06,428,-2.72838638303471,0.01364,0.0785712426035503
"VEGFB_IFNGR1","VEGFB","IFNGR1",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-2.71648684662817,0.02836,0.143234552529183
"CD1D_FPR2","CD1D","FPR2",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.68400338599026,0.10452,0.408635421686747
"THBS1_CD209","THBS1","CD209",8918,4383,0.000220395789120722,0.000134252026001827,952,-2.6317529123026,0.01881,0.103309083215797
"CD1D_ITGAL","CD1D","ITGAL",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-2.61362470110272,0.05772,0.255121089670829
