"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"VEGFB_CD36","VEGFB","CD36",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-3.97232504342125,0,0
"VEGFB_ITGA4","VEGFB","ITGA4",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-3.4827163478099,0.00028,0.00171276595744681
"VEGFB_TNFRSF12A","VEGFB","TNFRSF12A",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-3.42329798188405,1e-04,0.000668604651162791
"VEGFB_ADGRG6","VEGFB","ADGRG6",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-3.41103106505059,0,0
"VEGFB_MERTK","VEGFB","MERTK",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-3.23762569670128,0.00017,0.00109217877094972
"LRPAP1_CD36","LRPAP1","CD36",501,159,1.24174715261925e-05,4.87143024119554e-06,428,-3.23051696569591,0,0
"VEGFB_ACKR3","VEGFB","ACKR3",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-3.00272593945191,0.00034,0.00203116883116883
"VEGFB_CLEC2D","VEGFB","CLEC2D",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-2.99951179520404,4e-05,0.000288401253918495
"VEGFB_IL1R1","VEGFB","IL1R1",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-2.98171784624907,0,0
"IL10_CD36","IL10","CD36",406,173,1.00628611569544e-05,5.30036120582911e-06,250,-2.80544082717312,0,0
"PPIA_CD36","PPIA","CD36",2613,1122,6.47641778402017e-05,3.43757530227761e-05,1105,-2.79436764827315,0,0
"LRPAP1_ITGA4","LRPAP1","ITGA4",501,159,1.24174715261925e-05,4.87143024119554e-06,428,-2.74094418013713,0.00963,0.0407900552486188
"TNFSF12_CD36","TNFSF12","CD36",95,43,2.3546103692381e-06,1.31743081994596e-06,119,-2.71832377297814,0,0
"VEGFB_SIRPA","VEGFB","SIRPA",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-2.70117434338639,0.00031,0.00187631578947368
"LRPAP1_TNFRSF12A","LRPAP1","TNFRSF12A",501,159,1.24174715261925e-05,4.87143024119554e-06,428,-2.68150606076004,0.00887,0.0382757973733583
"LRPAP1_ADGRG6","LRPAP1","ADGRG6",501,159,1.24174715261925e-05,4.87143024119554e-06,428,-2.66922572407532,5e-04,0.00286069651741294
"VEGFB_ACVR1","VEGFB","ACVR1",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-2.65838233118855,0.00211,0.0104590517241379
"VEGFB_IFNGR1","VEGFB","IFNGR1",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-2.61498214475695,4e-05,0.000288401253918495
"THBS1_CD36","THBS1","CD36",8918,4383,0.000221035950240688,0.000134286029856353,952,-2.5995347288093,0,0
"VEGFB_IL27RA","VEGFB","IL27RA",137,26,3.39559600616442e-06,7.96586077176629e-07,129,-2.58525041653121,0.00039,0.00228826530612245
