"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"VEGFB_PLAUR","VEGFB","PLAUR",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-4.04269602834277,6e-05,0.000892941176470588
"VEGFB_NRP2","VEGFB","NRP2",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-3.68013317669317,0,0
"LRPAP1_PLAUR","LRPAP1","PLAUR",501,159,1.23645700131931e-05,4.87707336581464e-06,428,-3.30089508788945,0.00036,0.00433714285714286
"AREG_PLAUR","AREG","PLAUR",10806,3951,0.000266689707709709,0.000121190672127885,970,-3.09665543671466,0.00462,0.0367181151832461
"VEGFB_CD36","VEGFB","CD36",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-2.98467263032598,0,0
"LRPAP1_NRP2","LRPAP1","NRP2",501,159,1.23645700131931e-05,4.87707336581464e-06,428,-2.93832614296209,1e-05,0.0002024
"NRG1_PLAUR","NRG1","PLAUR",220,93,5.42955170240015e-06,2.85262781774064e-06,200,-2.887311244242,0.00709,0.0522457281553398
"IL10_PLAUR","IL10","PLAUR",406,173,1.00199908689748e-05,5.30650120934549e-06,250,-2.87581910339254,0.0035,0.0287189189189189
"VEGFB_ACVR1","VEGFB","ACVR1",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-2.87277795332049,0.00114,0.0116142281879195
"VEGFB_ADGRG6","VEGFB","ADGRG6",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-2.87277781553662,0.00344,0.0286275
"PPIA_PLAUR","PPIA","PLAUR",2613,1122,6.44882663562345e-05,3.4415574317258e-05,1105,-2.86474691401233,0.00842,0.0594491162790698
"VEGFB_BSG","VEGFB","BSG",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-2.83750430664632,3e-05,0.000506
"TNFSF12_PLAUR","TNFSF12","PLAUR",95,43,2.34457914421825e-06,1.31895694798761e-06,119,-2.78869855909063,0.00911,0.062859
"VEGFB_LTBR","VEGFB","LTBR",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-2.73847784309933,0.00058,0.00652177777777778
"AREG_NRP2","AREG","NRP2",10806,3951,0.000266689707709709,0.000121190672127885,970,-2.73408540226169,0.00118,0.0117844736842105
"VEGFB_NGFR","VEGFB","NGFR",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-2.71408125967947,0.00499,0.0390454639175258
"VEGFB_TNFRSF12A","VEGFB","TNFRSF12A",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-2.69720744326078,0.00404,0.0322774736842105
"THBS1_PLAUR","THBS1","PLAUR",8918,4383,0.00022009428219093,0.000134441588442551,952,-2.6699141296232,0.02072,0.12144
"LGALS9_PLAUR","LGALS9","PLAUR",518,259,1.27841262811058e-05,7.94441510532071e-06,520,-2.64511184923683,0.01469,0.0933030125523013
"VEGFB_TNFRSF1A","VEGFB","TNFRSF1A",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-2.61431783542769,0.00052,0.00593503759398496
"HBEGF_PLAUR","HBEGF","PLAUR",1290,668,3.18369168004372e-05,2.04898428199005e-05,630,-2.59456340358959,0.02238,0.128199396226415
"VEGFB_IL10RB","VEGFB","IL10RB",137,26,3.38112992376737e-06,7.97508852271577e-07,129,-2.55084980778886,0.01117,0.0752283185840708
