"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"VEGFB_PLAUR","VEGFB","PLAUR",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-4.03610975298301,5e-05,0.000825
"VEGFB_NRP2","VEGFB","NRP2",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-3.67354686900302,0,0
"LRPAP1_PLAUR","LRPAP1","PLAUR",501,159,1.23601767342444e-05,4.89764869122814e-06,428,-3.29430877873547,0.00081,0.00991596774193548
"AREG_PLAUR","AREG","PLAUR",10806,3951,0.000266594949681128,0.000121701949553726,970,-3.09006912119441,0.00562,0.0501832941176471
"VEGFB_CD36","VEGFB","CD36",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.97808631584977,3e-05,0.000542142857142857
"LRPAP1_NRP2","LRPAP1","NRP2",501,159,1.23601767342444e-05,4.89764869122814e-06,428,-2.93173982850448,4e-05,0.000697931034482759
"NRG1_PLAUR","NRG1","PLAUR",220,93,5.42762251803149e-06,2.8646624420391e-06,200,-2.88072493982776,0.00719,0.0609744134078212
"IL10_PLAUR","IL10","PLAUR",406,173,1.00164306469127e-05,5.32888819863187e-06,250,-2.86923279371953,0.02311,0.153192052401747
"VEGFB_ACVR1","VEGFB","ACVR1",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.86619164770447,0.00174,0.0184707692307692
"VEGFB_ADGRG6","VEGFB","ADGRG6",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.8661915105987,0.00488,0.04554
"PPIA_PLAUR","PPIA","PLAUR",2613,1122,6.44653529073467e-05,3.45607662362137e-05,1105,-2.85816059916766,0.01257,0.09637
"VEGFB_BSG","VEGFB","BSG",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.83091799203841,3e-05,0.000542142857142857
"TNFSF12_PLAUR","TNFSF12","PLAUR",95,43,2.34374608733178e-06,1.32452134416862e-06,119,-2.78211226792078,0.03124,0.196773112033195
"VEGFB_LTBR","VEGFB","LTBR",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.73189153274264,7e-04,0.008855
"AREG_NRP2","AREG","NRP2",10806,3951,0.000266594949681128,0.000121701949553726,970,-2.72749908652776,0.00144,0.0159556204379562
"VEGFB_NGFR","VEGFB","NGFR",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.70749494898444,0.00767,0.0637891803278688
"VEGFB_TNFRSF12A","VEGFB","TNFRSF12A",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.69062113256652,0.00617,0.0541390751445087
"THBS1_PLAUR","THBS1","PLAUR",8918,4383,0.00022001608007184,0.000135008768639327,952,-2.66332781407743,0.05124,0.288082666666667
"LGALS9_PLAUR","LGALS9","PLAUR",518,259,1.27795839288196e-05,7.97793088696911e-06,520,-2.63852553754158,0.01464,0.108938823529412
"VEGFB_TNFRSF1A","VEGFB","TNFRSF1A",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.60773152222918,0.00072,0.00895868852459016
"HBEGF_PLAUR","HBEGF","PLAUR",1290,668,3.1825604764821e-05,2.05762850675497e-05,630,-2.58797708938948,0.05305,0.296065808823529
"VEGFB_IL10RB","VEGFB","IL10RB",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.54426350288191,0.01575,0.1155
"NRG1_NRP2","NRG1","NRP2",220,93,5.42762251803149e-06,2.8646624420391e-06,200,-2.51815672392595,0.00352,0.0342523076923077
"IL10_NRP2","IL10","NRP2",406,173,1.00164306469127e-05,5.32888819863187e-06,250,-2.50666371493621,0.02136,0.1445136
"PPIA_NRP2","PPIA","NRP2",2613,1122,6.44653529073467e-05,3.45607662362137e-05,1105,-2.49559067389166,0.00539,0.0492892771084337
"VEGFB_ERBB3","VEGFB","ERBB3",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.48053943211707,0.01159,0.0897633673469388
"TNFSF12_NRP2","TNFSF12","NRP2",95,43,2.34374608733178e-06,1.32452134416862e-06,119,-2.41954617772269,0.03322,0.203338548387097
"VEGFB_ACKR3","VEGFB","ACKR3",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.4046125143138,0.02389,0.15631474137931
"VEGFB_IFNGR1","VEGFB","IFNGR1",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.39670756283058,0.01375,0.102820197044335
"APP_PLAUR","APP","PLAUR",208,123,5.13157038068432e-06,3.78874710076139e-06,262,-2.39644992118709,0.06644,0.351301041666667
"APLP2_PLAUR","APLP2","PLAUR",1099,674,2.71134415787118e-05,2.07611019992941e-05,759,-2.34389693534986,0.10449,0.486493776435045
"THBS1_NRP2","THBS1","NRP2",8918,4383,0.00022001608007184,0.000135008768639327,952,-2.30075777330508,0.06179,0.333797935943061
"LGALS9_NRP2","LGALS9","NRP2",518,259,1.27795839288196e-05,7.97793088696911e-06,520,-2.27595610963909,0.00899,0.0725894680851064
"VEGFB_AXL","VEGFB","AXL",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.25802349152651,0.01143,0.0889781538461538
"LRPAP1_CD36","LRPAP1","CD36",501,159,1.23601767342444e-05,4.89764869122814e-06,428,-2.23627801783819,0.00295,0.0294611842105263
"HBEGF_NRP2","HBEGF","NRP2",1290,668,3.1825604764821e-05,2.05762850675497e-05,630,-2.22540726102192,0.06543,0.348500842105263
"CD55_PLAUR","CD55","PLAUR",1814,1242,4.47532147623142e-05,3.82571048711028e-05,912,-2.18503546753076,0.14337,0.616531614730878
"LRPAP1_ACVR1","LRPAP1","ACVR1",501,159,1.23601767342444e-05,4.89764869122814e-06,428,-2.12438487702206,0.04417,0.255916259541985
"LRPAP1_ADGRG6","LRPAP1","ADGRG6",501,159,1.23601767342444e-05,4.89764869122814e-06,428,-2.1243848569979,0.07261,0.373633830508475
"VEGFB_IL1R1","VEGFB","IL1R1",137,26,3.37992856804688e-06,8.00873370892652e-07,129,-2.11773177250625,0.09583,0.460347911392405
