"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"APOE_FLT1","APOE","FLT1",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-7.5364618046204,0,0
"CD1D_FLT1","CD1D","FLT1",346,41,8.53234283190234e-06,1.25899815191354e-06,251,-6.83936011650618,0,0
"VEGFB_FLT1","VEGFB","FLT1",137,26,3.37841320222723e-06,7.98389071945173e-07,129,-6.15985001915209,0,0
"ICAM2_FLT1","ICAM2","FLT1",115,30,2.83589429384037e-06,9.21218159936738e-07,131,-5.70086709479646,0,0
"APOE_CALCRL","APOE","CALCRL",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-5.58027360126975,0.00092,0.00647538461538462
"LRPAP1_FLT1","LRPAP1","FLT1",501,159,1.23546351409915e-05,4.88245624766471e-06,428,-5.41810215754695,0,0
"RNASET2_FLT1","RNASET2","FLT1",1420,508,3.50171295413333e-05,1.55992941749288e-05,800,-5.24531691341925,0,0
"HEBP1_FLT1","HEBP1","FLT1",153,55,3.77297240832676e-06,1.68889995988402e-06,187,-5.2383243863584,0,0
"APOE_FPR2","APOE","FPR2",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-5.13618283328792,0,0
"APOE_CD226","APOE","CD226",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-5.03184164784526,0.00023,0.00190861575178998
"IL10_FLT1","IL10","FLT1",406,173,1.00119398547756e-05,5.31235805563519e-06,250,-4.99302704642634,0,0
"F11R_FLT1","F11R","FLT1",105,45,2.58929479002817e-06,1.38182723990511e-06,135,-4.98468138636644,0,0
"PPIA_FLT1","PPIA","FLT1",2613,1122,6.44364503461295e-05,3.4453559181634e-05,1105,-4.98196284560336,0,0
"CD1D_CALCRL","CD1D","CALCRL",346,41,8.53234283190234e-06,1.25899815191354e-06,251,-4.88315503048223,0.00092,0.00647538461538462
"THBS1_FLT1","THBS1","FLT1",8918,4383,0.000219917437499726,0.000134589973166757,952,-4.78713114542349,0,0
"SPN_FLT1","SPN","FLT1",107,53,2.63861469079061e-06,1.62748541588824e-06,120,-4.77584187462613,0,0
"CD48_FLT1","CD48","FLT1",1408,764,3.47212101367587e-05,2.34603558063889e-05,905,-4.6443304363506,0,0
"CD52_FLT1","CD52","FLT1",1553,843,3.82969029420356e-05,2.58862302942223e-05,724,-4.64378116401139,0,0
"ICAM3_FLT1","ICAM3","FLT1",186,101,4.58675077090704e-06,3.10143447178702e-06,222,-4.64325922929158,0,0
"ANXA1_FLT1","ANXA1","FLT1",2459,1373,6.06388179874215e-05,4.21610844531047e-05,990,-4.60306882073385,0,0
"APOE_IL1R1","APOE","IL1R1",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-4.5843902475605,0,0
"APP_FLT1","APP","FLT1",208,123,5.12926967929389e-06,3.77699445574063e-06,262,-4.52024041416789,0,0
"CD1D_FPR2","CD1D","FPR2",346,41,8.53234283190234e-06,1.25899815191354e-06,251,-4.43910032903552,0,0
"SELPLG_FLT1","SELPLG","FLT1",111,72,2.73725449231549e-06,2.21092358384817e-06,153,-4.38679566452829,0,0
"CD1D_CD226","CD1D","CD226",346,41,8.53234283190234e-06,1.25899815191354e-06,251,-4.33474162479152,0.00023,0.00190861575178998
"CCL20_FLT1","CCL20","FLT1",2854,1950,7.03794983880037e-05,5.9879180395888e-05,506,-4.31184032559299,0,0
"CD55_FLT1","CD55","FLT1",1814,1242,4.47331499915342e-05,3.8138431821381e-05,912,-4.30883786729164,0,0
"APOE_CLEC2D","APOE","CLEC2D",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-4.22088277236715,0,0
"GAS6_FLT1","GAS6","FLT1",67,49,1.65221667554178e-06,1.50465632789667e-06,102,-4.21367253395252,0,0
"VEGFB_CALCRL","VEGFB","CALCRL",137,26,3.37841320222723e-06,7.98389071945173e-07,129,-4.2036344941071,0.00095,0.0066063
"APOE_IFNGR1","APOE","IFNGR1",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-4.1744250456286,0,0
"SEMA4D_FLT1","SEMA4D","FLT1",168,130,4.14287166404507e-06,3.99194535972587e-06,247,-4.13226580779268,0,0
"KLRB1_FLT1","KLRB1","FLT1",111,89,2.73725449231549e-06,2.73294720781232e-06,105,-4.08099229906983,0.00077,0.00556609147609148
"CD47_FLT1","CD47","FLT1",343,276,8.45836298075868e-06,8.47520707141799e-06,415,-4.07586384765709,0,0
"ITGB1_FLT1","ITGB1","FLT1",547,449,1.34889928585277e-05,1.37875651270532e-05,575,-4.04715143818971,0,0
"LGALS3_FLT1","LGALS3","FLT1",1287,1058,3.1737356140631e-05,3.2488293773769e-05,896,-4.04500077554984,0,0
"APOE_CSF3R","APOE","CSF3R",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-4.03665111952734,0,0
"APOE_CCRL2","APOE","CCRL2",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.99532424505427,0,0
"B2M_FLT1","B2M","FLT1",41570,35581,0.00102511413734734,0.00109259544495697,1676,-3.98676568412146,0,0
"TGFB1_FLT1","TGFB1","FLT1",480,432,1.18367761829859e-05,1.3265541503089e-05,554,-3.91432901217919,0,0
"APOE_CD2","APOE","CD2",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.89822414039476,0,0
"CD1D_IL1R1","CD1D","IL1R1",346,41,8.53234283190234e-06,1.25899815191354e-06,251,-3.88731966272019,0,0
"APOE_IL6R","APOE","IL6R",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.8593831549298,0,0
"TNFSF10_FLT1","TNFSF10","FLT1",240,227,5.91838809149295e-06,6.97055074352132e-06,286,-3.84266432966184,0,0
"APOE_CD72","APOE","CD72",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.8325410688671,0,0
"APOE_ADGRE2","APOE","ADGRE2",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.82886333445805,0,0
"EBI3_FLT1","EBI3","FLT1",74,72,1.82483632821033e-06,2.21092358384817e-06,108,-3.80183379746157,0,0
"APOE_PLAUR","APOE","PLAUR",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.78295429155387,0,0
"VEGFB_FPR2","VEGFB","FPR2",137,26,3.37841320222723e-06,7.98389071945173e-07,129,-3.75960467798989,2e-05,0.000210090634441088
"CD99_FLT1","CD99","FLT1",429,434,1.05791187135437e-05,1.33269560470848e-05,545,-3.74560857899185,0,0
"ICAM2_CALCRL","ICAM2","CALCRL",115,30,2.83589429384037e-06,9.21218159936738e-07,131,-3.74465741064481,0.00212,0.0132815135135135
"APOE_CCR1","APOE","CCR1",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.71684137307578,0,0
"VEGFB_CD226","VEGFB","CD226",137,26,3.37841320222723e-06,7.98389071945173e-07,129,-3.65523442702162,0.00061,0.00457105603448276
"APOE_ITGA4","APOE","ITGA4",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.65367820952903,0,0
"OSM_FLT1","OSM","FLT1",406,440,1.00119398547756e-05,1.35111996790722e-05,345,-3.64630225615062,0,0
"APOE_CD36","APOE","CD36",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.61016454754173,0,0
"CD93_FLT1","CD93","FLT1",570,638,1.40561717172958e-05,1.95912395346546e-05,576,-3.59973279447792,0,0
"APOE_IL6ST","APOE","IL6ST",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.58925714944151,0,0
"APOE_LTBR","APOE","LTBR",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.56236448408175,0,0
"CD1D_CLEC2D","CD1D","CLEC2D",346,41,8.53234283190234e-06,1.25899815191354e-06,251,-3.52381119733725,3e-05,0.000299741379310345
"APOE_IL10RA","APOE","IL10RA",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.50900958884411,0,0
"APOE_TNFRSF21","APOE","TNFRSF21",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.48251118140119,0,0
"CD1D_IFNGR1","CD1D","IFNGR1",346,41,8.53234283190234e-06,1.25899815191354e-06,251,-3.47735949298548,0,0
"APOE_CD74","APOE","CD74",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.46912731093209,0,0
"LRPAP1_CALCRL","LRPAP1","CALCRL",501,159,1.23546351409915e-05,4.88245624766471e-06,428,-3.46191374062291,0.0014,0.00923681214421252
"APOE_IL1RAP","APOE","IL1RAP",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.45838283646817,0,0
"APOE_FPR1","APOE","FPR1",2791,204,6.88259215139868e-05,6.26428348756982e-06,141,-3.44946155481997,0,0
