"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"APOE_AXL","APOE","AXL",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-5.4954885941995,0,0
"APOE_MERTK","APOE","MERTK",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-5.04177167800724,0,0
"APOE_CD209","APOE","CD209",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-4.95943809376731,0,0
"CD1D_AXL","CD1D","AXL",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-4.79840580088078,0,0
"APOE_TREM2","APOE","TREM2",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-4.495489259843,0,0
"APOE_ACKR3","APOE","ACKR3",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-4.45366673459437,0,0
"APOE_SIGLEC10","APOE","SIGLEC10",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-4.35371868944219,0,0
"CD1D_MERTK","CD1D","MERTK",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-4.34469308499194,0,0
"CD1D_CD209","CD1D","CD209",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-4.26236474442834,0,0
"APOE_IFNGR1","APOE","IFNGR1",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-4.25101478918852,0,0
"APOE_CD72","APOE","CD72",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-4.21623752945293,0,0
"APOE_CD36","APOE","CD36",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-4.20405883351112,0,0
"VEGFB_AXL","VEGFB","AXL",137,26,3.40429287792608e-06,7.94526519033861e-07,129,-4.1189097332654,1e-05,7.02385321100917e-05
"APOE_ITGA4","APOE","ITGA4",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-4.05378747606571,0,0
"APOE_CD74","APOE","CD74",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.96653264006879,0,0
"APOE_IL27RA","APOE","IL27RA",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.85252402995803,0,0
"APOE_TNFRSF21","APOE","TNFRSF21",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.81246518067083,0,0
"CD1D_TREM2","CD1D","TREM2",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-3.79840935433812,0.00024,0.00128133891213389
"CD1D_ACKR3","CD1D","ACKR3",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-3.75657785299357,0.002,0.00873972602739726
"APOE_SORT1","APOE","SORT1",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.74953748858081,0,0
"VEGFB_MERTK","VEGFB","MERTK",137,26,3.40429287792608e-06,7.94526519033861e-07,129,-3.66520009904309,1e-04,0.000585321100917431
"ICAM2_AXL","ICAM2","AXL",115,30,2.85761810920803e-06,9.16761368115993e-07,131,-3.65992214668771,0,0
"CD1D_SIGLEC10","CD1D","SIGLEC10",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-3.65665178626123,0,0
"APOE_PLXNB2","APOE","PLXNB2",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.61658403221241,0,0
"VEGFB_CD209","VEGFB","CD209",137,26,3.40429287792608e-06,7.94526519033861e-07,129,-3.58287527047228,6e-05,0.000371050080775444
"CD1D_IFNGR1","CD1D","IFNGR1",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-3.55394930924565,0,0
"APOE_SIGLEC1","APOE","SIGLEC1",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.5412949393992,0,0
"CD1D_CD72","CD1D","CD72",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-3.51916925665036,0,0
"CD1D_CD36","CD1D","CD36",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-3.50699288490059,0,0
"APOE_IL12RB1","APOE","IL12RB1",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.47954934229042,0,0
"APOE_BSG","APOE","BSG",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.46398509692476,0,0
"APOE_ITGAM","APOE","ITGAM",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.41060354732521,0,0
"LRPAP1_AXL","LRPAP1","AXL",501,159,1.24492754148976e-05,4.85883525101476e-06,428,-3.37713051101765,0,0
"APOE_IL10RB","APOE","IL10RB",2791,204,6.93531490678226e-05,6.23397730318875e-06,141,-3.35907360113763,0,0
"CD1D_ITGA4","CD1D","ITGA4",346,41,8.59770318074763e-06,1.25290720309186e-06,251,-3.3567216336953,0,0
