"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"ICAM2_MERTK","ICAM2","MERTK",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-2.17097000638585,0.01858,0.137643673469388
"ICAM2_IFNGR1","ICAM2","IFNGR1",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.96953457006318,0.08959,0.512144409448819
"ICAM2_CXCR3","ICAM2","CXCR3",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.96020896600274,0.10662,0.582000902255639
"ICAM2_IL27RA","ICAM2","IL27RA",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.94643863593038,0.11252,0.596273868613139
"ICAM2_IL6ST","ICAM2","IL6ST",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.90156818503515,0.12522,0.640209295774648
"ICAM2_TNFRSF13B","ICAM2","TNFRSF13B",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.88722760777195,0.13859,0.698724583333333
"ICAM2_ADGRE5","ICAM2","ADGRE5",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.78205925634673,0.25084,1
"ICAM2_IL6R","ICAM2","IL6R",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.75438988485575,0.29738,1
"ICAM2_BSG","ICAM2","BSG",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.65801198633538,0.43041,1
"ICAM2_CCR6","ICAM2","CCR6",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.61700060925349,0.50479,1
"ICAM2_CD74","ICAM2","CD74",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.61614623609778,0.50407,1
"ICAM2_IL10RB","ICAM2","IL10RB",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.55923827825957,0.59657,1
"ICAM2_ITGAL","ICAM2","ITGAL",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.48800622863102,0.70395,1
"ICAM2_CLEC2D","ICAM2","CLEC2D",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.48154320147926,0.71159,1
"IL10_MERTK","IL10","MERTK",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-1.46307923832319,0.33194,1
"F11R_MERTK","F11R","MERTK",105,45,2.57163037618617e-06,1.374259640523e-06,135,-1.4547635022948,0.31062,1
"PPIA_MERTK","PPIA","MERTK",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-1.45200613732681,0.48933,1
"ICAM2_IL10RA","ICAM2","IL10RA",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.44717554352379,0.77439,1
"ICAM2_TNFRSF14","ICAM2","TNFRSF14",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.36199713555113,0.87355,1
"ICAM2_IL15RA","ICAM2","IL15RA",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.31293031574617,0.88359,1
"ICAM2_IL12RB1","ICAM2","IL12RB1",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.30721417719903,0.88216,1
"ICAM2_ITGA4","ICAM2","ITGA4",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.29807276129299,0.92389,1
"IL10_IFNGR1","IL10","IFNGR1",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-1.26164421429793,0.65272,1
"F11R_IFNGR1","F11R","IFNGR1",105,45,2.57163037618617e-06,1.374259640523e-06,135,-1.25332831964454,0.63459,1
"IL10_CXCR3","IL10","CXCR3",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-1.252319215387,0.65811,1
"PPIA_IFNGR1","PPIA","IFNGR1",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-1.2505711609719,0.9239,1
"F11R_CXCR3","F11R","CXCR3",105,45,2.57163037618617e-06,1.374259640523e-06,135,-1.24400305444259,0.6398,1
"PPIA_CXCR3","PPIA","CXCR3",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-1.24124624178909,0.89816,1
"IL10_IL27RA","IL10","IL27RA",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-1.23854845859338,0.68259,1
"F11R_IL27RA","F11R","IL27RA",105,45,2.57163037618617e-06,1.374259640523e-06,135,-1.23023248971084,0.66538,1
"PPIA_IL27RA","PPIA","IL27RA",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-1.22747542752513,0.9251,1
"ICAM2_CD2","ICAM2","CD2",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-1.20754185493599,0.9479,1
"IL10_IL6ST","IL10","IL6ST",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-1.19367658650119,0.7646,1
"F11R_IL6ST","F11R","IL6ST",105,45,2.57163037618617e-06,1.374259640523e-06,135,-1.18536124558404,0.7504,1
"PPIA_IL6ST","PPIA","IL6ST",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-1.18260336743898,0.9939,1
"IL10_TNFRSF13B","IL10","TNFRSF13B",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-1.17933608372369,0.78066,1
"F11R_TNFRSF13B","F11R","TNFRSF13B",105,45,2.57163037618617e-06,1.374259640523e-06,135,-1.17102071093868,0.76962,1
"PPIA_TNFRSF13B","PPIA","TNFRSF13B",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-1.16826287420985,0.99453,1
"ICAM3_MERTK","ICAM3","MERTK",186,101,4.55545952352979e-06,3.08444941539606e-06,222,-1.11331880354914,0.99752,1
"IL10_ADGRE5","IL10","ADGRE5",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-1.07416778144361,0.89542,1
"F11R_ADGRE5","F11R","ADGRE5",105,45,2.57163037618617e-06,1.374259640523e-06,135,-1.06585239222715,0.88916,1
"PPIA_ADGRE5","PPIA","ADGRE5",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-1.06309457688986,0.99976,1
"IL10_IL6R","IL10","IL6R",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-1.0464992468155,0.90329,1
"F11R_IL6R","F11R","IL6R",105,45,2.57163037618617e-06,1.374259640523e-06,135,-1.03818351478616,0.89738,1
"PPIA_IL6R","PPIA","IL6R",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-1.03542614509884,0.9985,1
"APP_MERTK","APP","MERTK",208,123,5.09427731663547e-06,3.75630968409619e-06,262,-0.990296745705535,0.95218,1
"ICAM2_PLAUR","ICAM2","PLAUR",115,30,2.81654755487057e-06,9.16173093681997e-07,131,-0.950453122417077,0.99679,1
"IL10_BSG","IL10","BSG",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-0.950120324605697,0.97065,1
"F11R_BSG","F11R","BSG",105,45,2.57163037618617e-06,1.374259640523e-06,135,-0.94180501543547,0.96835,1
"PPIA_BSG","PPIA","BSG",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-0.939047096069085,1,1
"ICAM3_IFNGR1","ICAM3","IFNGR1",186,101,4.55545952352979e-06,3.08444941539606e-06,222,-0.911883769687246,0.99996,1
"IL10_CCR6","IL10","CCR6",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-0.909111192916674,0.94853,1
"IL10_CD74","IL10","CD74",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-0.908254488744575,0.98332,1
"ICAM3_CXCR3","ICAM3","CXCR3",186,101,4.55545952352979e-06,3.08444941539606e-06,222,-0.902558736494861,0.99979,1
"F11R_CCR6","F11R","CCR6",105,45,2.57163037618617e-06,1.374259640523e-06,135,-0.900795019118737,0.94557,1
"F11R_CD74","F11R","CD74",105,45,2.57163037618617e-06,1.374259640523e-06,135,-0.899939213430415,0.98165,1
"PPIA_CCR6","PPIA","CCR6",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-0.898038224213335,0.99748,1
"PPIA_CD74","PPIA","CD74",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-0.897181250041617,1,1
"ICAM3_IL27RA","ICAM3","IL27RA",186,101,4.55545952352979e-06,3.08444941539606e-06,222,-0.888788006416393,0.99989,1
"SELPLG_MERTK","SELPLG","MERTK",111,72,2.71858068339681e-06,2.19881542483679e-06,153,-0.856862299934023,0.99024,1
"IL10_IL10RB","IL10","IL10RB",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-0.851347510675405,0.98613,1
"ICAM3_IL6ST","ICAM3","IL6ST",186,101,4.55545952352979e-06,3.08444941539606e-06,222,-0.843916216363796,1,1
"F11R_IL10RB","F11R","IL10RB",105,45,2.57163037618617e-06,1.374259640523e-06,135,-0.843031869918242,0.98457,1
"PPIA_IL10RB","PPIA","IL10RB",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-0.840274381898711,1,1
"ICAM3_TNFRSF13B","ICAM3","TNFRSF13B",186,101,4.55545952352979e-06,3.08444941539606e-06,222,-0.82957570990562,1,1
"APP_IFNGR1","APP","IFNGR1",208,123,5.09427731663547e-06,3.75630968409619e-06,262,-0.788861733946942,0.99682,1
"CCL20_MERTK","CCL20","MERTK",2854,1950,6.9899362796527e-05,5.95512510893298e-05,506,-0.781882915192616,1,1
"IL10_ITGAL","IL10","ITGAL",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-0.780115520865317,0.99395,1
"APP_CXCR3","APP","CXCR3",208,123,5.09427731663547e-06,3.75630968409619e-06,262,-0.779536734880047,0.99353,1
"CD55_MERTK","CD55","MERTK",1814,1242,4.44279762133497e-05,3.79295660784347e-05,912,-0.778880981220449,1,1
"IL10_CLEC2D","IL10","CLEC2D",406,173,9.94363745458654e-06,5.28326484023285e-06,250,-0.773652161823632,0.99429,1
"F11R_ITGAL","F11R","ITGAL",105,45,2.57163037618617e-06,1.374259640523e-06,135,-0.771799875108352,0.99305,1
"PPIA_ITGAL","PPIA","ITGAL",2613,1122,6.39968587902331e-05,3.42648737037067e-05,1105,-0.76904239375174,1,1
"APP_IL27RA","APP","IL27RA",208,123,5.09427731663547e-06,3.75630968409619e-06,262,-0.765765980522381,0.9963,1
