"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"ICAM2_NCR3","ICAM2","NCR3",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.26559004484617,0.00057,0.00443224137931034
"ICAM2_PDCD1","ICAM2","PDCD1",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.19008330315453,0.00157,0.0114574433656958
"ICAM2_CD226","ICAM2","CD226",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.17725802023308,0.00107,0.00785944625407166
"IL18_NCR3","IL18","NCR3",340,95,8.34950558893802e-06,2.90578659872632e-06,294,-2.16652747292774,0.00066,0.00506224489795918
"ICAM2_TNFRSF1A","ICAM2","TNFRSF1A",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.13819200106945,0.00423,0.0276335260115607
"IL18_PDCD1","IL18","PDCD1",340,95,8.34950558893802e-06,2.90578659872632e-06,294,-2.09102099552881,0.00224,0.015785
"IL18_CD226","IL18","CD226",340,95,8.34950558893802e-06,2.90578659872632e-06,294,-2.07819465377864,0.00153,0.0112017857142857
"ICAM2_IL10RB","ICAM2","IL10RB",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.07592128552191,0.00398,0.0264746312684366
"ICAM2_CCR6","ICAM2","CCR6",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.04523311782749,0.00461,0.0293659604519774
"IL18_TNFRSF1A","IL18","TNFRSF1A",340,95,8.34950558893802e-06,2.90578659872632e-06,294,-2.03913306746208,0.01032,0.0593663265306122
"ICAM2_IL12RB1","ICAM2","IL12RB1",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.03113737020841,0.00581,0.0358946575342466
"ICAM2_CLEC2D","ICAM2","CLEC2D",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.0308893486045,0.00501,0.0314694986072423
"ICAM2_IL10RA","ICAM2","IL10RA",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.02635300001738,0.00537,0.0333590909090909
"ICAM2_IL18R1","ICAM2","IL18R1",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.0230885843249,0.0061,0.0372777777777778
"ICAM2_KLRF1","ICAM2","KLRF1",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-2.00395182033086,0.0121,0.06821375
"IL18_IL10RB","IL18","IL10RB",340,95,8.34950558893802e-06,2.90578659872632e-06,294,-1.97685862766057,0.00811,0.0481106020942408
"ICAM2_CXCR6","ICAM2","CXCR6",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-1.97487783223235,0.01019,0.0587684143222506
"IL18_CCR6","IL18","CCR6",340,95,8.34950558893802e-06,2.90578659872632e-06,294,-1.94616925144386,0.00859,0.0504438802083333
"ICAM2_IFNGR1","ICAM2","IFNGR1",115,30,2.82409747861139e-06,9.17616820650416e-07,131,-1.93398097305574,0.01475,0.0813233496332518
"IL18_IL12RB1","IL18","IL12RB1",340,95,8.34950558893802e-06,2.90578659872632e-06,294,-1.93207410362818,0.01207,0.06821375
"IL18_CLEC2D","IL18","CLEC2D",340,95,8.34950558893802e-06,2.90578659872632e-06,294,-1.93182537733586,0.0091,0.0531619170984456
