"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"ICAM2_NCR3","ICAM2","NCR3",115,30,2.82732660829524e-06,9.21603774889062e-07,131,-2.27843324611622,0.0454,0.202726732673267
"IL18_NCR3","IL18","NCR3",340,95,8.35905258104679e-06,2.91841195381536e-06,294,-2.17937067554827,0.00056,0.00393395638629283
"ICAM2_CD226","ICAM2","CD226",115,30,2.82732660829524e-06,9.21603774889062e-07,131,-2.16852618152239,0.09143,0.372156407942238
"ICAM2_PDCD1","ICAM2","PDCD1",115,30,2.82732660829524e-06,9.21603774889062e-07,131,-2.15991201108248,0.10805,0.42522294938918
"ICAM2_TNFRSF1A","ICAM2","TNFRSF1A",115,30,2.82732660829524e-06,9.21603774889062e-07,131,-2.11207994590128,0.16546,0.601079146537842
"ICAM2_IL10RB","ICAM2","IL10RB",115,30,2.82732660829524e-06,9.21603774889062e-07,131,-2.07771159439605,0.17041,0.611323688394277
"IL18_CD226","IL18","CD226",340,95,8.35905258104679e-06,2.91841195381536e-06,294,-2.06946281567368,0.00189,0.0118717270194986
"IL18_PDCD1","IL18","PDCD1",340,95,8.35905258104679e-06,2.91841195381536e-06,294,-2.06084969065095,0.00338,0.0195433333333333
"ICAM2_CCR6","ICAM2","CCR6",115,30,2.82732660829524e-06,9.21603774889062e-07,131,-2.05365547945044,0.1861,0.656737871674491
"ICAM2_IL18R1","ICAM2","IL18R1",115,30,2.82732660829524e-06,9.21603774889062e-07,131,-2.04038290776057,0.20412,0.707501920122888
"ICAM2_CLEC2D","ICAM2","CLEC2D",115,30,2.82732660829524e-06,9.21603774889062e-07,131,-2.02873510748407,0.21198,0.733151687116564
"ICAM2_IL12RB1","ICAM2","IL12RB1",115,30,2.82732660829524e-06,9.21603774889062e-07,131,-2.02316887904805,0.22403,0.76893097412481
